        Accel-X: -2.78808594	Y: 4.19006348	Z: -2.85339355	|  Gyro-X: 90.48431396	Y: -9.13665771	Z: 199.13726807
        Accel-X: -4.58984375	Y: 7.10693359	Z: -3.14880371	|  Gyro-X: 80.92895508	Y: -7.86560059	Z: 144.51171875
        Accel-X: -5.83435059	Y: 7.67700195	Z: -3.44177246	|  Gyro-X: 68.22586060	Y: 0.97946167	Z: 97.31811523
        Accel-X: -7.50366211	Y: 7.01843262	Z: -2.72277832	|  Gyro-X: 65.35476685	Y: 3.61129761	Z: 62.48367310
        Accel-X: -8.89282227	Y: 5.39489746	Z: -0.43273926	|  Gyro-X: 66.99218750	Y: 2.93090820	Z: 33.61572266
        Accel-X: -9.82299805	Y: 4.81628418	Z: 0.55541992	|  Gyro-X: 62.31918335	Y: 5.83938599	Z: 13.35357666
        Accel-X: -10.73303223	Y: 3.60717773	Z: 0.63598633	|  Gyro-X: 53.45169067	Y: 7.31231689	Z: -0.97198486
        Accel-X: -11.69616699	Y: 2.64282227	Z: 0.55480957	|  Gyro-X: 35.79147339	Y: 7.02072144	Z: -12.14233398
        Accel-X: -11.91711426	Y: 1.05834961	Z: 0.89965820	|  Gyro-X: 22.34817505	Y: 5.69732666	Z: -19.58175659
        Accel-X: -12.01049805	Y: 0.10131836	Z: 1.28295898	|  Gyro-X: 18.22845459	Y: 5.18142700	Z: -24.95010376
        Accel-X: -11.92260742	Y: 0.17517090	Z: 1.60583496	|  Gyro-X: 9.19647217	Y: 7.36465454	Z: -22.22106934
        Accel-X: -11.76452637	Y: -0.24780273	Z: 1.00158691	|  Gyro-X: -0.53085327	Y: 9.12918091	Z: -18.49761963
        Accel-X: -11.72241211	Y: -1.21337891	Z: 0.87036133	|  Gyro-X: 3.02810669	Y: 7.64129639	Z: -15.89569092
        Accel-X: -11.60278320	Y: -0.90087891	Z: 0.72875977	|  Gyro-X: 16.45645142	Y: 5.18142700	Z: -14.27322388
        Accel-X: -11.27197266	Y: -0.11535645	Z: 0.60729980	|  Gyro-X: 20.65093994	Y: 3.21502686	Z: -10.59463501
        Accel-X: -11.50512695	Y: 0.08850098	Z: 0.29968262	|  Gyro-X: 18.21350098	Y: 2.80380249	Z: -7.17773438
        Accel-X: -11.60461426	Y: 0.23925781	Z: 0.04333496	|  Gyro-X: 15.99288940	Y: 1.00189209	Z: -1.65237427
        Accel-X: -11.41418457	Y: 0.08361816	Z: 0.40832520	|  Gyro-X: 21.49581909	Y: -3.13278198	Z: 1.06170654
        Accel-X: -11.31713867	Y: 0.86120605	Z: 0.68176270	|  Gyro-X: 21.11450195	Y: -2.04864502	Z: 3.01315308
        Accel-X: -11.11389160	Y: 0.89355469	Z: 0.62683105	|  Gyro-X: 6.44500732	Y: -0.74768066	Z: 4.50851440
        Accel-X: -11.11877441	Y: 0.60668945	Z: 0.61096191	|  Gyro-X: -1.48788452	Y: 0.11215210	Z: 6.26556396
        Accel-X: -11.15051270	Y: 0.33813477	Z: 0.88867188	|  Gyro-X: 0.73272705	Y: 0.31402588	Z: 5.36834717
        Accel-X: -11.04003906	Y: 0.39001465	Z: 1.07666016	|  Gyro-X: 6.43005371	Y: 0.05233765	Z: 2.07107544
        Accel-X: -11.08032227	Y: 0.78674316	Z: 0.98266602	|  Gyro-X: 6.64688110	Y: 1.13647461	Z: 0.08972168
        Accel-X: -11.23352051	Y: 0.31127930	Z: 0.63537598	|  Gyro-X: 1.18133545	Y: 2.79632568	Z: -1.08413696
        Accel-X: -11.15173340	Y: -0.14343262	Z: 0.99060059	|  Gyro-X: 1.00189209	Y: 1.44302368	Z: -2.76641846
        Accel-X: -11.18347168	Y: -0.21789551	Z: 1.10351562	|  Gyro-X: 9.14413452	Y: 1.43554688	Z: -3.73840332
        Accel-X: -11.30249023	Y: -0.02929688	Z: 1.04736328	|  Gyro-X: 7.66372681	Y: 2.53463745	Z: -3.46176147
        Accel-X: -11.34033203	Y: 0.03540039	Z: 1.02050781	|  Gyro-X: 1.44302368	Y: 4.18701172	Z: -2.18322754
        Accel-X: -11.24755859	Y: -0.50598145	Z: 0.85510254	|  Gyro-X: -1.25610352	Y: 3.75335693	Z: -0.62057495
        Accel-X: -11.31042480	Y: -0.41564941	Z: 0.95581055	|  Gyro-X: 1.28601074	Y: 3.36456299	Z: 0.71029663
        Accel-X: -11.27868652	Y: -0.13000488	Z: 0.99426270	|  Gyro-X: 4.32907104	Y: 2.54959106	Z: 1.68228149
        Accel-X: -11.36108398	Y: 0.04455566	Z: 0.89416504	|  Gyro-X: 3.98513794	Y: 2.59445190	Z: 2.41500854
        Accel-X: -11.24877930	Y: 0.13671875	Z: 0.71228027	|  Gyro-X: 5.09918213	Y: 1.54022217	Z: 1.70471191
        Accel-X: -11.26098633	Y: 0.11169434	Z: 0.71411133	|  Gyro-X: 3.39447021	Y: 0.90469360	Z: 1.18133545
        Accel-X: -11.16516113	Y: 0.10070801	Z: 0.96191406	|  Gyro-X: 4.85244751	Y: 0.60562134	Z: 0.50094604
        Accel-X: -11.15417480	Y: 0.14404297	Z: 0.98205566	|  Gyro-X: 7.49176025	Y: 1.39068604	Z: 0.11962891
        Accel-X: -11.36535645	Y: 0.21362305	Z: 0.69335938	|  Gyro-X: 7.83569336	Y: 2.29537964	Z: -0.94955444
        Accel-X: -11.18347168	Y: 0.18127441	Z: 0.93078613	|  Gyro-X: 9.43572998	Y: 1.30844116	Z: -1.62246704
        Accel-X: -11.19995117	Y: 0.36560059	Z: 0.92285156	|  Gyro-X: 8.14224243	Y: 2.06359863	Z: -2.63183594
        Accel-X: -11.21582031	Y: 0.20202637	Z: 0.78979492	|  Gyro-X: 3.65615845	Y: 2.40005493	Z: -2.87857056
        Accel-X: -11.20971680	Y: 0.01098633	Z: 0.87341309	|  Gyro-X: 4.50103760	Y: 2.08602905	Z: -3.46923828
