Accel-X: 8.55285645	Y: -2.15820312	Z: 1.74133301	|  Gyro-X: 2.88604736	Y: 3.07296753	Z: -8.87496948
        Accel-X: 8.66882324	Y: -2.10998535	Z: 1.68762207	|  Gyro-X: 3.10287476	Y: 2.45986938	Z: -9.60769653
        Accel-X: 8.65112305	Y: -2.11791992	Z: 1.62475586	|  Gyro-X: 1.90658569	Y: 2.71408081	Z: -9.42825317
        Accel-X: 8.62915039	Y: -2.26684570	Z: 1.63696289	|  Gyro-X: 2.20565796	Y: 1.98135376	Z: -8.86749268
        Accel-X: 8.63281250	Y: -2.09472656	Z: 1.51489258	|  Gyro-X: 2.37014771	Y: 1.19628906	Z: -8.88244629
        Accel-X: 9.09729004	Y: -1.98730469	Z: 1.73767090	|  Gyro-X: 1.33834839	Y: -0.64300537	Z: -9.27124023
        Accel-X: 8.88977051	Y: -2.00622559	Z: 1.71142578	|  Gyro-X: -1.57012939	Y: 1.65985107	Z: -6.66183472
        Accel-X: 8.62304688	Y: -2.08923340	Z: 1.56677246	|  Gyro-X: -1.41311646	Y: 0.56823730	Z: -5.74218750
        Accel-X: 9.19433594	Y: -2.25097656	Z: 1.70532227	|  Gyro-X: 2.30285645	Y: -1.76452637	Z: -6.31042480
        Accel-X: 9.11437988	Y: -1.94213867	Z: 1.87866211	|  Gyro-X: 6.30294800	Y: 0.85235596	Z: -6.51977539
        Accel-X: 8.96545410	Y: -1.83593750	Z: 1.91955566	|  Gyro-X: 6.87866211	Y: 2.21313477	Z: -6.37771606
        Accel-X: 9.12231445	Y: -1.91833496	Z: 1.91772461	|  Gyro-X: 5.59265137	Y: 4.21691895	Z: -6.47491455
        Accel-X: 9.01062012	Y: -1.97631836	Z: 1.83227539	|  Gyro-X: 10.78155518	Y: 7.23007202	Z: -7.60391235
        Accel-X: 9.03808594	Y: -1.88659668	Z: 2.13745117	|  Gyro-X: 16.50131226	Y: 6.80389404	Z: -9.05441284
        Accel-X: 9.11010742	Y: -1.87622070	Z: 2.16247559	|  Gyro-X: 24.43420410	Y: 6.37771606	Z: -11.46194458
        Accel-X: 8.82507324	Y: -1.57836914	Z: 1.97509766	|  Gyro-X: 29.26422119	Y: 6.62445068	Z: -15.06576538
        Accel-X: 8.50036621	Y: -1.46606445	Z: 1.99707031	|  Gyro-X: 31.61193848	Y: 8.13476562	Z: -19.95559692
        Accel-X: 8.33007812	Y: -1.97387695	Z: 2.00317383	|  Gyro-X: 31.07360840	Y: 8.37402344	Z: -24.41177368
