        Accel-X: 4.23278809	Y: 5.35705566	Z: -1.00524902	|  Gyro-X: 130.80673218	Y: 92.80960083	Z: 236.95495605
        Accel-X: -1.19995117	Y: 6.91589355	Z: -3.65051270	|  Gyro-X: 141.40136719	Y: 113.77456665	Z: 161.22985840
        Accel-X: -6.63452148	Y: 10.05981445	Z: -6.14929199	|  Gyro-X: 46.11694336	Y: 96.15173340	Z: 92.26379395
        Accel-X: -7.36755371	Y: 6.73278809	Z: -4.60144043	|  Gyro-X: -18.04901123	Y: 54.58816528	Z: 57.28729248
        Accel-X: -7.26379395	Y: 2.65930176	Z: -3.57421875	|  Gyro-X: -9.39834595	Y: 29.18197632	Z: 13.51058960
        Accel-X: -8.68408203	Y: 0.71166992	Z: -2.19604492	|  Gyro-X: 30.03433228	Y: 28.45672607	Z: -15.23773193
        Accel-X: -10.00244141	Y: 1.71508789	Z: -2.23754883	|  Gyro-X: 51.50024414	Y: 30.25115967	Z: -19.23782349
        Accel-X: -10.15075684	Y: 1.01257324	Z: -0.74829102	|  Gyro-X: 38.46069336	Y: 16.25457764	Z: -21.89208984
        Accel-X: -10.36132812	Y: 0.10742188	Z: -0.32470703	|  Gyro-X: 22.40798950	Y: 16.99478149	Z: -23.88839722
        Accel-X: -10.99548340	Y: -0.91735840	Z: -0.66223145	|  Gyro-X: 12.50122070	Y: 26.23611450	Z: -23.77624512
        Accel-X: -11.55578613	Y: -1.43432617	Z: -1.46728516	|  Gyro-X: 16.76300049	Y: 29.84741211	Z: -13.92929077
        Accel-X: -11.48925781	Y: -0.60363770	Z: -1.66137695	|  Gyro-X: 14.06387329	Y: 26.03424072	Z: -8.28430176
        Accel-X: -11.46667480	Y: -0.58837891	Z: -1.29943848	|  Gyro-X: 0.50842285	Y: 25.12954712	Z: -4.88983154
        Accel-X: -11.83227539	Y: -1.59667969	Z: -0.88256836	|  Gyro-X: -5.94406128	Y: 22.34069824	Z: -3.55148315
        Accel-X: -11.81457520	Y: -2.09594727	Z: -1.85729980	|  Gyro-X: 4.68795776	Y: 16.80038452	Z: -0.61309814
        Accel-X: -11.93115234	Y: -0.91918945	Z: -2.41760254	|  Gyro-X: 16.57608032	Y: 15.19287109	Z: 1.65237427
        Accel-X: -11.80541992	Y: -0.16784668	Z: -2.07031250	|  Gyro-X: 12.61337280	Y: 6.96090698	Z: 2.82623291
        Accel-X: -11.30981445	Y: -0.17822266	Z: -2.18200684	|  Gyro-X: 1.58508301	Y: 0.81497192	Z: 1.01684570
        Accel-X: -10.97412109	Y: -0.40039062	Z: -2.11303711	|  Gyro-X: 0.52337646	Y: -1.18881226	Z: -2.58697510
        Accel-X: -11.11816406	Y: -0.33569336	Z: -2.02575684	|  Gyro-X: 7.88055420	Y: -2.55706787	Z: -5.91415405
        Accel-X: -10.99487305	Y: -0.15441895	Z: -1.45812988	|  Gyro-X: 7.43942261	Y: -5.71975708	Z: -9.15161133
        Accel-X: -10.72082520	Y: -0.33630371	Z: -1.30920410	|  Gyro-X: 5.30853271	Y: -5.32348633	Z: -11.39465332
        Accel-X: -10.68298340	Y: -0.57678223	Z: -1.26892090	|  Gyro-X: 3.02062988	Y: -5.79452515	Z: -13.57040405
        Accel-X: -10.71166992	Y: -1.02905273	Z: -1.29760742	|  Gyro-X: 1.60751343	Y: -5.84686279	Z: -15.31997681
        Accel-X: -10.70251465	Y: -1.11999512	Z: -0.85266113	|  Gyro-X: 1.31591797	Y: -4.07485962	Z: -16.09756470
        Accel-X: -10.74035645	Y: -1.46545410	Z: -0.90026855	|  Gyro-X: 0.21682739	Y: -0.90469360	Z: -14.34799194
        Accel-X: -10.70861816	Y: -1.89941406	Z: -1.17309570	|  Gyro-X: 2.17575073	Y: 0.73272705	Z: -12.38906860
        Accel-X: -10.82092285	Y: -1.82617188	Z: -1.10534668	|  Gyro-X: 6.13098145	Y: 2.57949829	Z: -11.38717651
        Accel-X: -11.07788086	Y: -1.25549316	Z: -1.02416992	|  Gyro-X: 4.39636230	Y: 2.80380249	Z: -9.71984863
        Accel-X: -11.17980957	Y: -1.34338379	Z: -1.14257812	|  Gyro-X: -1.40563965	Y: 2.75894165	Z: -7.62634277
        Accel-X: -11.05773926	Y: -1.65649414	Z: -1.06872559	|  Gyro-X: -1.71218872	Y: 1.27105713	Z: -6.55715942
        Accel-X: -11.11450195	Y: -1.76696777	Z: -1.29699707	|  Gyro-X: 1.88415527	Y: 3.08044434	Z: -5.80200195
        Accel-X: -11.17614746	Y: -1.48498535	Z: -1.28051758	|  Gyro-X: 2.99072266	Y: 1.80191040	Z: -5.13656616
        Accel-X: -10.91735840	Y: -1.35131836	Z: -1.33422852	|  Gyro-X: -0.56823730	Y: 0.43365479	Z: -3.70101929
        Accel-X: -10.92834473	Y: -1.51916504	Z: -1.44470215	|  Gyro-X: -3.26736450	Y: 1.54022217	Z: -2.85614014
        Accel-X: -10.97045898	Y: -1.68334961	Z: -1.37268066	|  Gyro-X: -1.82434082	Y: 0.75515747	Z: -3.23745728
        Accel-X: -10.73669434	Y: -1.37878418	Z: -1.10656738	|  Gyro-X: 0.39627075	Y: -0.77011108	Z: -3.41690063
        Accel-X: -10.68603516	Y: -1.58874512	Z: -1.09252930	|  Gyro-X: -1.95144653	Y: 2.51220703	Z: -2.80380249
        Accel-X: -10.82763672	Y: -1.66992188	Z: -1.21643066	|  Gyro-X: 1.56265259	Y: 4.53842163	Z: -2.86361694
        Accel-X: -10.84655762	Y: -1.41662598	Z: -1.20178223	|  Gyro-X: 2.69912720	Y: 2.58697510	Z: -3.21502686
        Accel-X: -10.85388184	Y: -1.62292480	Z: -1.19384766	|  Gyro-X: 2.29537964	Y: 3.71597290	Z: -3.67111206
        Accel-X: -11.06262207	Y: -1.29150391	Z: -1.32934570	|  Gyro-X: 4.04495239	Y: 4.50851440	Z: -3.52905273
        Accel-X: -11.02966309	Y: -1.50085449	Z: -1.32995605	|  Gyro-X: -1.32339478	Y: 3.46176147	Z: -3.37203979
        Accel-X: -11.03332520	Y: -1.67114258	Z: -1.30615234	|  Gyro-X: -0.56823730	Y: 3.72344971	Z: -2.93838501
        Accel-X: -10.93566895	Y: -1.28723145	Z: -1.50878906	|  Gyro-X: 3.12530518	Y: 3.21502686	Z: -3.57391357
        Accel-X: -10.82092285	Y: -1.60095215	Z: -1.38732910	|  Gyro-X: -0.00747681	Y: 2.07855225	Z: -3.97766113
        Accel-X: -10.91064453	Y: -1.73400879	Z: -1.14746094	|  Gyro-X: 4.51599121	Y: 1.41311646	Z: -4.67300415
        Accel-X: -10.79101562	Y: -1.41052246	Z: -1.08154297	|  Gyro-X: 7.34222412	Y: 0.02990723	Z: -5.24871826
        Accel-X: -10.82092285	Y: -1.55700684	Z: -1.28479004	|  Gyro-X: 7.17025757	Y: 1.45050049	Z: -5.40573120
        Accel-X: -10.88073730	Y: -1.23718262	Z: -1.36962891	|  Gyro-X: 6.13098145	Y: 2.20565796	Z: -6.25808716
        Accel-X: -10.69824219	Y: -1.46606445	Z: -1.21826172	|  Gyro-X: 0.01495361	Y: 0.25421143	Z: -7.21511841
        Accel-X: -10.93383789	Y: -1.29638672	Z: -1.25122070	|  Gyro-X: 1.31591797	Y: 3.09539795	Z: -8.03009033
        Accel-X: -11.08825684	Y: -1.31958008	Z: -1.24694824	|  Gyro-X: 2.10098267	Y: 1.91406250	Z: -8.20953369
        Accel-X: -11.09802246	Y: -1.52404785	Z: -1.18835449	|  Gyro-X: 2.07107544	Y: 0.56823730	Z: -6.95343018
        Accel-X: -10.91857910	Y: -1.26098633	Z: -1.30493164	|  Gyro-X: 2.94586182	Y: -0.63552856	Z: -6.20574951
        
