        Accel-X: -9.36340332	Y: 4.57763672	Z: -1.26831055	|  Gyro-X: 31.00631714	Y: 7.75344849	Z: 25.68283081
        Accel-X: -10.37597656	Y: 4.84741211	Z: -0.25085449	|  Gyro-X: 45.83282471	Y: -2.33276367	Z: 2.19818115
        Accel-X: -10.84411621	Y: 4.30847168	Z: 1.16455078	|  Gyro-X: 51.08901978	Y: -8.72543335	Z: -10.82641602
        Accel-X: -11.09802246	Y: 3.67980957	Z: 2.33276367	|  Gyro-X: 41.96731567	Y: -8.66561890	Z: -18.28826904
        Accel-X: -11.93359375	Y: 3.54675293	Z: 2.48474121	|  Gyro-X: 22.30331421	Y: -6.01135254	Z: -18.16116333
        Accel-X: -12.20153809	Y: 2.07275391	Z: 2.91564941	|  Gyro-X: 6.60202026	Y: -2.78884888	Z: -17.61535645
        Accel-X: -11.93969727	Y: 1.33300781	Z: 3.12927246	|  Gyro-X: 8.51608276	Y: 1.42807007	Z: -15.09567261
        Accel-X: -11.95007324	Y: 1.63085938	Z: 2.48168945	|  Gyro-X: 17.74993896	Y: 5.60012817	Z: -10.99090576
        Accel-X: -11.54357910	Y: 1.95861816	Z: 2.06481934	|  Gyro-X: 20.50140381	Y: 6.18331909	Z: -8.63571167
        Accel-X: -11.22741699	Y: 2.06726074	Z: 1.51062012	|  Gyro-X: 12.18719482	Y: 6.31042480	Z: -5.60760498
        Accel-X: -11.11145020	Y: 2.06604004	Z: 1.14624023	|  Gyro-X: 5.60012817	Y: 5.08422852	Z: -2.96829224
        Accel-X: -10.85937500	Y: 1.91345215	Z: 0.97778320	|  Gyro-X: 11.50680542	Y: 0.91964722	Z: -2.51220703
        Accel-X: -10.63537598	Y: 2.14477539	Z: 0.89965820	|  Gyro-X: 17.47329712	Y: -2.20565796	Z: -3.86550903
        Accel-X: -10.57800293	Y: 2.51892090	Z: 1.22253418	|  Gyro-X: 21.24160767	Y: -4.62814331	Z: -5.35339355
        Accel-X: -10.66101074	Y: 2.60253906	Z: 1.28540039	|  Gyro-X: 15.14053345	Y: -4.85992432	Z: -4.17205811
        Accel-X: -10.61462402	Y: 2.52868652	Z: 1.60095215	|  Gyro-X: 6.76651001	Y: -3.54400635	Z: -3.36456299
        Accel-X: -10.97717285	Y: 2.45422363	Z: 1.57592773	|  Gyro-X: 3.32717896	Y: -1.44302368	Z: -2.80380249
        Accel-X: -11.04675293	Y: 2.22167969	Z: 1.58569336	|  Gyro-X: 4.46365356	Y: -0.91964722	Z: -2.97576904
        Accel-X: -11.05834961	Y: 2.43225098	Z: 1.82678223	|  Gyro-X: 12.56103516	Y: -1.45050049	Z: -4.08233643
        Accel-X: -10.98327637	Y: 2.85827637	Z: 1.93969727	|  Gyro-X: 9.30862427	Y: -0.23925781	Z: -4.82254028
        Accel-X: -10.96435547	Y: 2.51159668	Z: 1.89453125	|  Gyro-X: -1.59255981	Y: 1.12152100	Z: -4.98703003
        Accel-X: -11.12548828	Y: 1.90856934	Z: 1.84326172	|  Gyro-X: -2.72155762	Y: 1.32339478	Z: -4.38888550
        Accel-X: -11.03149414	Y: 1.68945312	Z: 1.83837891	|  Gyro-X: 4.69543457	Y: 0.41122437	Z: -6.13845825
        Accel-X: -10.99853516	Y: 1.87500000	Z: 1.82861328	|  Gyro-X: 10.19836426	Y: 0.21682739	Z: -6.07116699
        Accel-X: -11.01379395	Y: 2.25463867	Z: 1.71386719	|  Gyro-X: 6.43753052	Y: 0.94955444	Z: -5.52536011
        Accel-X: -10.99060059	Y: 1.71813965	Z: 1.62231445	|  Gyro-X: -2.07855225	Y: 1.06918335	Z: -4.11972046
        Accel-X: -11.09191895	Y: 1.66931152	Z: 1.78161621	|  Gyro-X: 2.43743896	Y: -0.23178101	Z: -4.52346802
        Accel-X: -11.05957031	Y: 1.69067383	Z: 1.56982422	|  Gyro-X: 6.20574951	Y: -1.12152100	Z: -4.40383911
        Accel-X: -10.82885742	Y: 1.76574707	Z: 1.77246094	|  Gyro-X: 7.13287354	Y: -1.13647461	Z: -3.86550903
        Accel-X: -10.86486816	Y: 1.75109863	Z: 1.73217773	|  Gyro-X: 6.83380127	Y: -0.71029663	Z: -2.60192871
        Accel-X: -10.86608887	Y: 1.90673828	Z: 1.83837891	|  Gyro-X: 7.34970093	Y: -1.22619629	Z: -2.97576904
        Accel-X: -10.89355469	Y: 2.00378418	Z: 1.74682617	|  Gyro-X: 6.31042480	Y: -0.99441528	Z: -2.48977661
        Accel-X: -10.91918945	Y: 1.99218750	Z: 1.73034668	|  Gyro-X: 7.82821655	Y: 0.83740234	Z: -2.99819946
        Accel-X: -10.89721680	Y: 2.04895020	Z: 1.77185059	|  Gyro-X: 5.86929321	Y: 0.45608521	Z: -4.06738281
        Accel-X: -11.03393555	Y: 2.01171875	Z: 1.75842285	|  Gyro-X: 3.72344971	Y: 0.91217041	Z: -3.91036987
        Accel-X: -10.95886230	Y: 1.91101074	Z: 1.77917480	|  Gyro-X: 3.03558350	Y: 0.11962891	Z: -4.43374634
        Accel-X: -10.98266602	Y: 2.00073242	Z: 1.67114258	|  Gyro-X: 5.89920044	Y: 0.02243042	Z: -5.68984985
        Accel-X: -10.91552734	Y: 1.86767578	Z: 1.77795410	|  Gyro-X: 8.62075806	Y: -0.31402588	Z: -6.80389404
        Accel-X: -10.96435547	Y: 2.16918945	Z: 1.85424805	|  Gyro-X: 8.14971924	Y: -0.85983276	Z: -7.76092529
        Accel-X: -10.86791992	Y: 1.86645508	Z: 1.88903809	|  Gyro-X: 2.55706787	Y: -0.23178101	Z: -8.07495117
        Accel-X: -10.98754883	Y: 1.56433105	Z: 1.89941406	|  Gyro-X: 3.28231812	Y: -0.11962891	Z: -7.64129639
        Accel-X: -11.00646973	Y: 1.59423828	Z: 1.91223145	|  Gyro-X: 8.96469116	Y: 0.21682739	Z: -7.49923706
        Accel-X: -11.20300293	Y: 1.94641113	Z: 1.72912598	|  Gyro-X: 10.75912476	Y: -1.21124268	Z: -7.32727051
        Accel-X: -11.10107422	Y: 1.91101074	Z: 1.71997070	|  Gyro-X: 8.85253906	Y: -1.26358032	Z: -7.34970093
        Accel-X: -10.96862793	Y: 1.86523438	Z: 1.98974609	|  Gyro-X: 6.01135254	Y: -0.98693848	Z: -6.60949707
        Accel-X: -11.06140137	Y: 1.75292969	Z: 1.95251465	|  Gyro-X: 6.72912598	Y: -0.62805176	Z: -5.65246582
        Accel-X: -11.24328613	Y: 1.74499512	Z: 1.78649902	|  Gyro-X: 8.93478394	Y: -1.63742065	Z: -4.78515625
        Accel-X: -11.10107422	Y: 1.81518555	Z: 1.94030762	|  Gyro-X: 9.05441284	Y: -2.66921997	Z: -4.72534180
        Accel-X: -10.88623047	Y: 1.96777344	Z: 1.99462891	|  Gyro-X: 9.65255737	Y: -2.18322754	Z: -4.59075928
        Accel-X: -10.88378906	Y: 1.89208984	Z: 1.96655273	|  Gyro-X: 8.44879150	Y: -1.62994385	Z: -3.71597290
        Accel-X: -10.89233398	Y: 1.90185547	Z: 1.82189941	|  Gyro-X: 8.29925537	Y: -1.62994385	Z: -4.27673340
        Accel-X: -10.78613281	Y: 1.76818848	Z: 1.83288574	|  Gyro-X: 8.00765991	Y: -2.01873779	Z: -4.40383911
        Accel-X: -10.77148438	Y: 1.77917480	Z: 1.93908691	|  Gyro-X: 8.23196411	Y: -1.65237427	Z: -4.02252197
        Accel-X: -10.61279297	Y: 1.97570801	Z: 1.99951172	|  Gyro-X: 5.39825439	Y: -0.88226318	Z: -3.64120483
        Accel-X: -10.75561523	Y: 1.76879883	Z: 1.78283691	|  Gyro-X: 4.07485962	Y: -0.19439697	Z: -3.17016602
        
