Accel-X: 8.78295898	Y: -2.87292480	Z: -0.02929688	|  Gyro-X: 0.02243042	Y: 3.30474854	Z: -1.55517578
        Accel-X: 8.78906250	Y: -2.76916504	Z: -0.09582520	|  Gyro-X: 0.08972168	Y: 2.89352417	Z: -1.51031494
        Accel-X: 8.75793457	Y: -2.81860352	Z: 0.00366211	|  Gyro-X: -0.63552856	Y: 3.14773560	Z: -1.81686401
        Accel-X: 8.75122070	Y: -2.91076660	Z: -0.07629395	|  Gyro-X: -0.94955444	Y: 2.62435913	Z: -1.53274536
        Accel-X: 8.79089355	Y: -2.89733887	Z: -0.02868652	|  Gyro-X: -0.19439697	Y: 2.58697510	Z: -2.59445190
        Accel-X: 8.68225098	Y: -2.86376953	Z: -0.00122070	|  Gyro-X: -0.08972168	Y: 3.14025879	Z: -2.22061157
        Accel-X: 8.73229980	Y: -2.97790527	Z: -0.08850098	|  Gyro-X: 0.17944336	Y: 2.25799561	Z: -2.12341309
        Accel-X: 8.86657715	Y: -2.91381836	Z: -0.10375977	|  Gyro-X: 0.74768066	Y: 1.86172485	Z: -2.45239258
        Accel-X: 8.87329102	Y: -2.85766602	Z: -0.08911133	|  Gyro-X: 0.97946167	Y: 2.56454468	Z: -2.81127930
        Accel-X: 8.85864258	Y: -2.83996582	Z: -0.09826660	|  Gyro-X: -0.05981445	Y: 3.13278198	Z: -3.05053711
        Accel-X: 8.79272461	Y: -2.86254883	Z: -0.10375977	|  Gyro-X: -0.53085327	Y: 3.03558350	Z: -2.29537964
        Accel-X: 8.78540039	Y: -2.77770996	Z: -0.07019043	|  Gyro-X: -0.68038940	Y: 2.13836670	Z: -2.33276367
        Accel-X: 8.90014648	Y: -2.81616211	Z: -0.05004883	|  Gyro-X: 0.01495361	Y: 2.84866333	Z: -2.33276367
        Accel-X: 8.92028809	Y: -2.77648926	Z: -0.08728027	|  Gyro-X: -0.91217041	Y: 2.60940552	Z: -2.70660400
        Accel-X: 8.85803223	Y: -2.77282715	Z: -0.08972168	|  Gyro-X: -2.34771729	Y: 3.20755005	Z: -2.16079712
        Accel-X: 8.84643555	Y: -2.84179688	Z: -0.11840820	|  Gyro-X: -3.60382080	Y: 3.04306030	Z: -1.80938721
        Accel-X: 8.84765625	Y: -2.88513184	Z: -0.12695312	|  Gyro-X: -5.32348633	Y: 3.19259644	Z: -1.16638184
        Accel-X: 8.81347656	Y: -2.88452148	Z: -0.00122070	|  Gyro-X: -5.12161255	Y: 3.17016602	Z: -1.36825562
        Accel-X: 8.79455566	Y: -2.88269043	Z: -0.07141113	|  Gyro-X: -3.53652954	Y: 2.60940552	Z: -1.65985107
        Accel-X: 8.73596191	Y: -2.98217773	Z: -0.14892578	|  Gyro-X: -2.11593628	Y: 2.25051880	Z: -1.09161377
        Accel-X: 8.75854492	Y: -3.00231934	Z: -0.04821777	|  Gyro-X: -1.61499023	Y: 2.54959106	Z: -1.42807007
        Accel-X: 8.73840332	Y: -2.91809082	Z: -0.02624512	|  Gyro-X: -1.28601074	Y: 2.35519409	Z: -1.77200317
        Accel-X: 8.87512207	Y: -2.82104492	Z: 0.03356934	|  Gyro-X: -1.27853394	Y: 2.18322754	Z: -1.59255981
        Accel-X: 8.97583008	Y: -2.57690430	Z: 0.09277344	|  Gyro-X: -4.07485962	Y: 2.50473022	Z: -0.94207764
        Accel-X: 9.19982910	Y: -2.54272461	Z: -0.18371582	|  Gyro-X: -6.60949707	Y: 3.06549072	Z: 1.83929443
        Accel-X: 9.08752441	Y: -2.55859375	Z: -0.13244629	|  Gyro-X: -10.08621216	Y: 3.15521240	Z: 4.09729004
        Accel-X: 8.99658203	Y: -2.23693848	Z: 0.73486328	|  Gyro-X: -13.57040405	Y: 5.69732666	Z: 5.35339355
        Accel-X: 10.29479980	Y: -1.90734863	Z: 1.03027344	|  Gyro-X: -23.06594849	Y: 5.46554565	Z: 8.40393066
        Accel-X: 9.89074707	Y: -1.74560547	Z: 2.01843262	|  Gyro-X: -35.40267944	Y: 16.08261108	Z: 17.70507812
        Accel-X: 12.44628906	Y: -1.77368164	Z: 8.32397461	|  Gyro-X: -53.28720093	Y: 25.45852661	Z: 17.16674805
        Accel-X: 13.24401855	Y: -4.87487793	Z: 9.33471680	|  Gyro-X: 15.13305664	Y: 45.75805664	Z: 9.27124023
        Accel-X: 12.59765625	Y: -1.31958008	Z: 11.48925781	|  Gyro-X: 97.09381104	Y: 76.50268555	Z: -28.35952759
        Accel-X: 14.02160645	Y: 5.91491699	Z: 16.02539062	|  Gyro-X: 88.12164307	Y: 118.95599365	Z: -109.05670166
        Accel-X: 19.69360352	Y: 5.55786133	Z: 14.38293457	|  Gyro-X: 7.37960815	Y: 139.80133057	Z: -115.90545654
        Accel-X: 19.99511719	Y: 1.13098145	Z: 12.73681641	|  Gyro-X: -94.12551880	Y: 201.31301880	Z: -93.97598267
        Accel-X: 19.99511719	Y: -3.82080078	Z: 11.13647461	|  Gyro-X: -57.99011230	Y: 228.99215698	Z: -94.34234619
        Accel-X: 19.99511719	Y: -3.67126465	Z: 10.61401367	|  Gyro-X: 6.64688110	Y: 243.75137329	Z: -110.19317627
        Accel-X: 19.99511719	Y: 0.55236816	Z: 11.22131348	|  Gyro-X: 3.58886719	Y: 244.88037109	Z: -131.36749268
        Accel-X: 19.99511719	Y: -1.51550293	Z: 4.74914551	|  Gyro-X: -88.28613281	Y: 244.88037109	Z: -99.06768799
        Accel-X: 19.77661133	Y: -5.65856934	Z: 3.59069824	|  Gyro-X: -194.44183350	Y: 244.88037109	Z: -38.87191772
        Accel-X: 15.23925781	Y: -7.64892578	Z: 0.35034180	|  Gyro-X: -53.99002075	Y: 244.88037109	Z: 4.11224365
        Accel-X: 12.86010742	Y: -5.11779785	Z: -1.41845703	|  Gyro-X: 55.31341553	Y: 241.57562256	Z: -10.81893921
        Accel-X: 10.23010254	Y: -2.34497070	Z: -1.84387207	|  Gyro-X: 88.82446289	Y: 211.57119751	Z: -17.03964233
        Accel-X: 6.69982910	Y: -2.56347656	Z: -0.30761719	|  Gyro-X: 87.40386963	Y: 199.20455933	Z: -26.80435181
        Accel-X: 4.84252930	Y: -1.45996094	Z: -0.68237305	|  Gyro-X: 74.29702759	Y: 177.76107788	Z: -35.49240112
        Accel-X: 3.24645996	Y: -1.16333008	Z: -0.85449219	|  Gyro-X: 63.29864502	Y: 153.09509277	Z: -39.70932007
        Accel-X: 0.88745117	Y: -1.23535156	Z: 0.01586914	|  Gyro-X: 56.03866577	Y: 129.40856934	Z: -39.73175049
        Accel-X: 0.45715332	Y: -0.20751953	Z: -0.10253906	|  Gyro-X: 36.02325439	Y: 101.79672241	Z: -37.82516479
        Accel-X: -2.38342285	Y: -0.87341309	Z: 0.71899414	|  Gyro-X: 0.85235596	Y: 92.24884033	Z: -23.58932495
        Accel-X: -2.76367188	Y: -0.99731445	Z: 1.95861816	|  Gyro-X: -14.95361328	Y: 71.49322510	Z: -8.23196411
        Accel-X: -2.94982910	Y: -0.52673340	Z: 2.95532227	|  Gyro-X: 3.36456299	Y: 52.05352783	Z: -3.63372803
        Accel-X: -3.64868164	Y: 0.71228027	Z: 2.97790527	|  Gyro-X: 24.52392578	Y: 34.60266113	Z: -5.61508179
        Accel-X: -3.87817383	Y: 1.32690430	Z: 4.42810059	|  Gyro-X: 22.97622681	Y: 19.71633911	Z: -4.93469238
        Accel-X: -3.42163086	Y: 0.26428223	Z: 5.73486328	|  Gyro-X: 23.70895386	Y: 12.37411499	Z: -6.87118530
        Accel-X: -3.86352539	Y: 0.85083008	Z: 6.75964355	|  Gyro-X: 31.21566772	Y: 5.32348633	Z: -7.64129639
        Accel-X: -3.58459473	Y: 1.29272461	Z: 7.12585449	|  Gyro-X: 13.69750977	Y: -2.20565796	Z: 1.74957275
        Accel-X: -3.46313477	Y: 1.16943359	Z: 7.90466309	|  Gyro-X: 5.89172363	Y: -4.70291138	Z: 3.25988770
        Accel-X: -3.42834473	Y: 1.22985840	Z: 8.86962891	|  Gyro-X: 11.50680542	Y: -7.37960815	Z: 1.56265259
        Accel-X: -3.34228516	Y: 1.74682617	Z: 8.97277832	|  Gyro-X: 12.81524658	Y: -8.78524780	Z: 1.18881226
        Accel-X: -3.13110352	Y: 1.49414062	Z: 9.71069336	|  Gyro-X: 9.28619385	Y: -8.98712158	Z: 1.67480469
        Accel-X: -2.86315918	Y: 1.32080078	Z: 10.27587891	|  Gyro-X: 11.23016357	Y: -9.33853149	Z: -0.81497192
        Accel-X: -2.90588379	Y: 1.66259766	Z: 10.02685547	|  Gyro-X: 9.36096191	Y: -7.67868042	Z: -1.44302368
        Accel-X: -2.53234863	Y: 1.42761230	Z: 10.25085449	|  Gyro-X: -1.35330200	Y: -4.86740112	Z: 1.76452637
        Accel-X: -2.66235352	Y: 1.46362305	Z: 10.22949219	|  Gyro-X: -2.15332031	Y: -2.53463745	Z: 1.83181763
        Accel-X: -2.70690918	Y: 1.36535645	Z: 9.97802734	|  Gyro-X: 3.67858887	Y: -3.09539795	Z: -0.68786621
        Accel-X: -2.54638672	Y: 1.43493652	Z: 9.78149414	|  Gyro-X: 1.82434082	Y: -3.14025879	Z: 0.00000000
        Accel-X: -2.54150391	Y: 1.17431641	Z: 9.77172852	|  Gyro-X: -6.15341187	Y: -2.21313477	Z: 4.11224365
        Accel-X: -2.47131348	Y: 1.34094238	Z: 9.94323730	|  Gyro-X: -3.74588013	Y: -2.10845947	Z: 4.33654785
        Accel-X: -2.67150879	Y: 1.29577637	Z: 9.84985352	|  Gyro-X: 6.00387573	Y: -2.71408081	Z: 0.49346924
        Accel-X: -2.56835938	Y: 1.49841309	Z: 9.76562500	|  Gyro-X: 7.89550781	Y: -2.48977661	Z: -0.15701294
        Accel-X: -2.40966797	Y: 1.49780273	Z: 10.19592285	|  Gyro-X: -4.81506348	Y: -0.76263428	Z: 2.04116821
        Accel-X: -2.54089355	Y: 1.33850098	Z: 10.03845215	|  Gyro-X: -4.84497070	Y: -0.14953613	Z: -0.70281982
        Accel-X: -2.52563477	Y: 1.26098633	Z: 9.90783691	|  Gyro-X: -7.17025757	Y: 0.53085327	Z: -0.44860840
        Accel-X: -2.35839844	Y: 1.30798340	Z: 9.75891113	|  Gyro-X: -13.09936523	Y: 1.12899780	Z: 2.19070435
        Accel-X: -2.43774414	Y: 1.17614746	Z: 9.88159180	|  Gyro-X: -9.54040527	Y: 0.30654907	Z: 0.36636353
        Accel-X: -2.40905762	Y: 1.06201172	Z: 9.84558105	|  Gyro-X: -3.85803223	Y: -1.01684570	Z: -2.26547241
        Accel-X: -2.36816406	Y: 1.33666992	Z: 9.63623047	|  Gyro-X: -5.63751221	Y: -1.22619629	Z: -1.38320923
        Accel-X: -2.42553711	Y: 1.15051270	Z: 9.77783203	|  Gyro-X: -9.25628662	Y: -1.55517578	Z: 0.12710571
        Accel-X: -2.34558105	Y: 1.03027344	Z: 9.73449707	|  Gyro-X: -1.48788452	Y: -2.96081543	Z: -3.83560181
        Accel-X: -2.38952637	Y: 1.01379395	Z: 9.71862793	|  Gyro-X: -0.94955444	Y: -3.55148315	Z: -3.64868164
        Accel-X: -2.37121582	Y: 1.16394043	Z: 9.87609863	|  Gyro-X: -4.45617676	Y: -4.78515625	Z: -2.63931274
        Accel-X: -2.29431152	Y: 0.75500488	Z: 10.28320312	|  Gyro-X: -3.30474854	Y: -4.49356079	Z: -4.26177979
        Accel-X: -2.30712891	Y: 0.63903809	Z: 10.21911621	|  Gyro-X: -1.51779175	Y: -3.04306030	Z: -4.70291138
        Accel-X: -2.31994629	Y: 0.75683594	Z: 10.17395020	|  Gyro-X: -2.89352417	Y: -1.79443359	Z: -2.58697510
