Accel-X: 8.47106934	Y: -4.03442383	Z: -0.28198242	|  Gyro-X: 0.45608521	Y: 5.51040649	Z: -6.95343018
        Accel-X: 8.46435547	Y: -3.83789062	Z: -0.14160156	|  Gyro-X: 2.34024048	Y: 4.82254028	Z: -7.24502563
        Accel-X: 8.50219727	Y: -3.60534668	Z: -0.18676758	|  Gyro-X: 0.29159546	Y: 5.32348633	Z: -7.08801270
        Accel-X: 8.47900391	Y: -3.64929199	Z: -0.00915527	|  Gyro-X: -2.19818115	Y: 5.45059204	Z: -5.45059204
        Accel-X: 8.59741211	Y: -3.61389160	Z: -0.00854492	|  Gyro-X: -2.01873779	Y: 4.64309692	Z: -5.27862549
        Accel-X: 8.78234863	Y: -3.58886719	Z: 0.00915527	|  Gyro-X: -2.87857056	Y: 5.42816162	Z: -4.49356079
        Accel-X: 8.68469238	Y: -3.63281250	Z: -0.05187988	|  Gyro-X: -5.95153809	Y: 6.94595337	Z: -3.11035156
        Accel-X: 8.47167969	Y: -3.53942871	Z: -0.07873535	|  Gyro-X: -6.54220581	Y: 7.23754883	Z: -3.41690063
        Accel-X: 8.39172363	Y: -3.50341797	Z: -0.00732422	|  Gyro-X: -5.30853271	Y: 6.38519287	Z: -3.18511963
        Accel-X: 8.43627930	Y: -3.51318359	Z: 0.01586914	|  Gyro-X: -4.39636230	Y: 5.23376465	Z: -3.12530518
        Accel-X: 8.46679688	Y: -3.47351074	Z: -0.00610352	|  Gyro-X: -4.02252197	Y: 4.72534180	Z: -3.40942383
        Accel-X: 8.47595215	Y: -3.69628906	Z: 0.05126953	|  Gyro-X: -3.61129761	Y: 4.69543457	Z: -2.28790283
        Accel-X: 8.41979980	Y: -3.73107910	Z: 0.09704590	|  Gyro-X: -0.32150269	Y: 4.15710449	Z: -2.63183594
        Accel-X: 8.42651367	Y: -3.54736328	Z: 0.11840820	|  Gyro-X: 2.45986938	Y: 2.32528687	Z: -3.64868164
        Accel-X: 8.58459473	Y: -3.25317383	Z: -0.07751465	|  Gyro-X: 2.79632568	Y: 2.40753174	Z: -4.82254028
        Accel-X: 8.50952148	Y: -3.32275391	Z: -0.11291504	|  Gyro-X: 0.80749512	Y: 3.46176147	Z: -4.25430298
        Accel-X: 8.59375000	Y: -3.36303711	Z: -0.05981445	|  Gyro-X: -1.50283813	Y: 3.49166870	Z: -4.85244751
        Accel-X: 8.66027832	Y: -3.49426270	Z: -0.21545410	|  Gyro-X: -3.00567627	Y: 2.84118652	Z: -4.32159424
        Accel-X: 8.64990234	Y: -3.45764160	Z: -0.05065918	|  Gyro-X: -2.45239258	Y: 3.47671509	Z: -3.55148315
        Accel-X: 8.69201660	Y: -3.18969727	Z: 0.03051758	|  Gyro-X: -1.83181763	Y: 3.34213257	Z: -3.85803223
        Accel-X: 8.77075195	Y: -2.93823242	Z: 0.02380371	|  Gyro-X: -4.83001709	Y: 3.68606567	Z: -3.76831055
        Accel-X: 8.70849609	Y: -3.20983887	Z: 0.06896973	|  Gyro-X: -12.51617432	Y: 5.60760498	Z: -1.66732788
        Accel-X: 8.66699219	Y: -3.48693848	Z: 0.19042969	|  Gyro-X: -14.38537598	Y: 7.24502563	Z: -1.17385864
        Accel-X: 8.36303711	Y: -3.43688965	Z: 0.31921387	|  Gyro-X: -14.19845581	Y: 8.53851318	Z: -0.26168823
        Accel-X: 8.91418457	Y: -3.31848145	Z: 0.44128418	|  Gyro-X: -13.40591431	Y: 5.74966431	Z: -1.45797729
        Accel-X: 9.66186523	Y: -2.48474121	Z: 0.08544922	|  Gyro-X: -23.26782227	Y: 6.17584229	Z: -2.19818115
        Accel-X: 9.51293945	Y: -1.42211914	Z: 0.61706543	|  Gyro-X: -41.76544189	Y: 18.66958618	Z: -0.32150269
        Accel-X: 9.73022461	Y: -1.42456055	Z: 2.24365234	|  Gyro-X: -61.66870117	Y: 26.78939819	Z: 2.35519409
        Accel-X: 10.31555176	Y: -1.26831055	Z: 3.00476074	|  Gyro-X: -72.97363281	Y: 28.03802490	Z: 0.32150269
        Accel-X: 11.53991699	Y: -3.35327148	Z: 4.64721680	|  Gyro-X: -84.27108765	Y: 49.88525391	Z: -0.37384033
        Accel-X: 11.89758301	Y: -4.23950195	Z: 8.00659180	|  Gyro-X: -68.41278076	Y: 78.19244385	Z: -15.23773193
        Accel-X: 12.40661621	Y: -3.42407227	Z: 12.03491211	|  Gyro-X: -15.54428101	Y: 94.64141846	Z: -41.39907837
        Accel-X: 14.68627930	Y: -3.66210938	Z: 14.09179688	|  Gyro-X: 40.38223267	Y: 109.16137695	Z: -64.39773560
