        Accel-X: 19.99511719	Y: -19.99511719	Z: -19.99511719	|  Gyro-X: 222.09854126	Y: -174.39651489	Z: 45.78796387
        Accel-X: 3.26049805	Y: -9.51416016	Z: -19.99511719	|  Gyro-X: 122.22335815	Y: -184.14627075	Z: 111.08291626
        Accel-X: 19.90478516	Y: -19.99511719	Z: -19.99511719	|  Gyro-X: -90.12542725	Y: -215.93017578	Z: 244.52148438
        Accel-X: 12.93701172	Y: -19.99511719	Z: -19.99511719	|  Gyro-X: -54.73770142	Y: -210.65902710	Z: 244.52148438
        Accel-X: 19.99511719	Y: -19.99511719	Z: -19.99511719	|  Gyro-X: 135.08346558	Y: -243.32519531	Z: 244.52148438
        Accel-X: 19.99511719	Y: -12.17834473	Z: -19.99511719	|  Gyro-X: 7.34222412	Y: -243.32519531	Z: 244.52148438
        Accel-X: 19.99511719	Y: -13.28552246	Z: -19.99511719	|  Gyro-X: -141.22940063	Y: -243.32519531	Z: 244.52148438
        Accel-X: 19.99511719	Y: -19.86999512	Z: -19.99511719	|  Gyro-X: -39.44015503	Y: -243.32519531	Z: 244.52148438
        Accel-X: 19.99511719	Y: 2.91687012	Z: -18.69018555	|  Gyro-X: 111.16516113	Y: -243.32519531	Z: 215.01800537
        Accel-X: 19.99511719	Y: 7.81677246	Z: -11.68273926	|  Gyro-X: 142.65747070	Y: -243.32519531	Z: 154.41101074
        Accel-X: 19.99511719	Y: 3.09570312	Z: -5.22888184	|  Gyro-X: 127.30010986	Y: -235.47454834	Z: 108.09219360
        Accel-X: 19.99511719	Y: 6.36413574	Z: -1.06323242	|  Gyro-X: 170.05996704	Y: -146.50802612	Z: 52.25540161
        Accel-X: 19.74060059	Y: 3.62731934	Z: -0.58654785	|  Gyro-X: 204.49066162	Y: -83.20938110	Z: 27.20062256
        Accel-X: 13.55346680	Y: 10.48767090	Z: 4.06311035	|  Gyro-X: 224.04251099	Y: -22.60238647	Z: 0.04486084
        Accel-X: 5.97778320	Y: 12.12402344	Z: 4.03259277	|  Gyro-X: 151.88385010	Y: 26.42303467	Z: 2.50473022
        Accel-X: 0.18371582	Y: 9.87304688	Z: 5.47180176	|  Gyro-X: 48.87588501	Y: 75.26901245	Z: 4.75524902
