        Accel-X: -2.23693848	Y: 0.98266602	Z: 9.73693848	|  Gyro-X: 15.31250000	Y: 0.80749512	Z: 2.32528687
        Accel-X: -2.09045410	Y: 1.44592285	Z: 9.56726074	|  Gyro-X: 17.12936401	Y: 0.00000000	Z: 4.77020264
        Accel-X: -2.22412109	Y: 1.73706055	Z: 9.50744629	|  Gyro-X: 8.09738159	Y: 0.26168823	Z: 6.20574951
        Accel-X: -1.96899414	Y: 1.57043457	Z: 10.07812500	|  Gyro-X: 13.49563599	Y: -2.99072266	Z: 1.66732788
        Accel-X: -2.21191406	Y: 1.46667480	Z: 9.84375000	|  Gyro-X: 16.92749023	Y: -0.68038940	Z: -0.28411865
        Accel-X: -1.74499512	Y: 1.91284180	Z: 9.84497070	|  Gyro-X: 9.39086914	Y: -3.05801392	Z: 2.16079712
        Accel-X: -1.88537598	Y: 1.87805176	Z: 10.28259277	|  Gyro-X: 3.14773560	Y: -2.23556519	Z: 1.04675293
        Accel-X: -1.85302734	Y: 1.57897949	Z: 10.04577637	|  Gyro-X: 4.76272583	Y: -2.96081543	Z: -3.96270752
        Accel-X: -1.89086914	Y: 1.84631348	Z: 9.83825684	|  Gyro-X: 1.21124268	Y: -1.75704956	Z: -4.26925659
        Accel-X: -1.89331055	Y: 1.57165527	Z: 10.30639648	|  Gyro-X: -11.26754761	Y: -1.32339478	Z: -5.39077759
        Accel-X: -1.86950684	Y: 1.07177734	Z: 10.46813965	|  Gyro-X: -0.11962891	Y: 1.23367310	Z: -7.82073975
        Accel-X: -1.97570801	Y: 1.01013184	Z: 10.05737305	|  Gyro-X: 4.23934937	Y: 1.79443359	Z: -5.93658447
        Accel-X: -1.80969238	Y: 1.47521973	Z: 9.82604980	|  Gyro-X: 1.80938721	Y: 2.16827393	Z: -3.01315308
        Accel-X: -1.66992188	Y: 0.93505859	Z: 9.94323730	|  Gyro-X: -1.09161377	Y: 3.05801392	Z: -5.63003540
        Accel-X: -1.71142578	Y: 0.89477539	Z: 9.74121094	|  Gyro-X: -1.27105713	Y: 1.62246704	Z: -4.11224365
        Accel-X: -1.82067871	Y: 1.24267578	Z: 9.72229004	|  Gyro-X: -9.12918091	Y: 1.82434082	Z: -0.94207764
        Accel-X: -1.54296875	Y: 0.73059082	Z: 9.77172852	|  Gyro-X: -15.34988403	Y: 1.07666016	Z: -1.18881226
        Accel-X: -1.72729492	Y: 0.36804199	Z: 9.77294922	|  Gyro-X: -1.43554688	Y: 2.32528687	Z: -3.50662231
        Accel-X: -1.75292969	Y: 0.58410645	Z: 9.78698730	|  Gyro-X: 4.13467407	Y: -0.23925781	Z: -0.88226318
        Accel-X: -1.58264160	Y: 0.92834473	Z: 9.83642578	|  Gyro-X: 9.33105469	Y: -0.07476807	Z: 0.62805176
        Accel-X: -1.65100098	Y: 0.71289062	Z: 9.75524902	|  Gyro-X: 13.82461548	Y: 0.98693848	Z: -0.52337646
        Accel-X: -1.71997070	Y: 1.09191895	Z: 9.84741211	|  Gyro-X: 13.19656372	Y: 0.90469360	Z: 0.97946167
