Accel-X: 7.53479004	Y: -4.60144043	Z: -3.20861816	|  Gyro-X: 61.91543579	Y: -31.02874756	Z: -52.65914917
        Accel-X: 7.98889160	Y: -3.56750488	Z: -3.42529297	|  Gyro-X: 85.87112427	Y: -46.01974487	Z: -44.48699951
        Accel-X: 7.96386719	Y: -2.73559570	Z: -3.67309570	|  Gyro-X: 81.01867676	Y: -47.58987427	Z: -31.70913696
        Accel-X: 8.05541992	Y: -2.42858887	Z: -4.01855469	|  Gyro-X: 62.15469360	Y: -46.23657227	Z: -17.02468872
        Accel-X: 8.55041504	Y: -2.00744629	Z: -4.64233398	|  Gyro-X: 42.01217651	Y: -40.57662964	Z: -3.40194702
        Accel-X: 8.16223145	Y: -1.71997070	Z: -4.86267090	|  Gyro-X: 22.79678345	Y: -27.94082642	Z: 10.01144409
        Accel-X: 7.91931152	Y: -1.79321289	Z: -4.87609863	|  Gyro-X: 4.34402466	Y: -17.58544922	Z: 18.57238770
        Accel-X: 8.42285156	Y: -1.71203613	Z: -5.06164551	|  Gyro-X: -10.87875366	Y: -11.82830811	Z: 22.76687622
        Accel-X: 8.00903320	Y: -1.78039551	Z: -5.07202148	|  Gyro-X: -22.78930664	Y: 0.97198486	Z: 25.36880493
        Accel-X: 7.84240723	Y: -1.79992676	Z: -4.95544434	|  Gyro-X: -37.75039673	Y: 8.78524780	Z: 22.78930664
        Accel-X: 8.05725098	Y: -1.48498535	Z: -5.22460938	|  Gyro-X: -45.25711060	Y: 10.81893921	Z: 17.53311157
        Accel-X: 7.97058105	Y: -1.31958008	Z: -5.29724121	|  Gyro-X: -53.51898193	Y: 17.24151611	Z: 13.00964355
        Accel-X: 7.53417969	Y: -1.32995605	Z: -4.91027832	|  Gyro-X: -63.05938721	Y: 21.15188599	Z: 6.28799438
        Accel-X: 7.35107422	Y: -1.05041504	Z: -4.16015625	|  Gyro-X: -64.20333862	Y: 23.45474243	Z: -2.04864502
        Accel-X: 6.87866211	Y: -0.65002441	Z: -3.38867188	|  Gyro-X: -58.73779297	Y: 22.45285034	Z: -10.28060913
        Accel-X: 5.80810547	Y: 1.23413086	Z: -2.73010254	|  Gyro-X: -62.39395142	Y: 15.88073730	Z: -15.06576538
        Accel-X: 5.47241211	Y: 1.73583984	Z: -3.01269531	|  Gyro-X: -83.17199707	Y: 17.20413208	Z: -14.27322388
        Accel-X: 4.40246582	Y: 0.79345703	Z: -2.90649414	|  Gyro-X: -101.40792847	Y: 35.09613037	Z: -15.06576538
        Accel-X: 3.83605957	Y: -0.69885254	Z: -2.13928223	|  Gyro-X: -103.44161987	Y: 52.25540161	Z: -29.26422119
