Accel-X: 8.67370605	Y: -2.74414062	Z: -0.02868652	|  Gyro-X: -39.70184326	Y: 9.37591553	Z: -13.35357666
        Accel-X: 8.74206543	Y: -2.80212402	Z: 0.03173828	|  Gyro-X: -35.31295776	Y: 4.91973877	Z: -17.02468872
        Accel-X: 8.96057129	Y: -2.59094238	Z: -0.21911621	|  Gyro-X: -30.72219849	Y: 3.53652954	Z: -20.78552246
        Accel-X: 9.07226562	Y: -2.29125977	Z: -0.02563477	|  Gyro-X: -29.92965698	Y: 5.58517456	Z: -24.91271973
        Accel-X: 9.16870117	Y: -2.11914062	Z: -0.12268066	|  Gyro-X: -33.43627930	Y: 4.90478516	Z: -26.91650391
        Accel-X: 9.12597656	Y: -2.23693848	Z: -0.24414062	|  Gyro-X: -37.27935791	Y: 7.56652832	Z: -26.56509399
        Accel-X: 9.03503418	Y: -2.24853516	Z: -0.35827637	|  Gyro-X: -41.43646240	Y: 9.24133301	Z: -27.83615112
        Accel-X: 9.09790039	Y: -2.24365234	Z: -0.30090332	|  Gyro-X: -46.93191528	Y: 9.98153687	Z: -30.10162354
        Accel-X: 9.16198730	Y: -2.47009277	Z: -0.39733887	|  Gyro-X: -47.19360352	Y: 10.32546997	Z: -30.31845093
        Accel-X: 9.07043457	Y: -2.42065430	Z: -0.33508301	|  Gyro-X: -44.33746338	Y: 12.43392944	Z: -32.24746704
        Accel-X: 9.32434082	Y: -1.85485840	Z: -0.27038574	|  Gyro-X: -49.04037476	Y: 9.32357788	Z: -33.13720703
        Accel-X: 9.19189453	Y: -1.93298340	Z: -0.74462891	|  Gyro-X: -55.22369385	Y: 13.24890137	Z: -28.34457397
        Accel-X: 8.72375488	Y: -2.22595215	Z: -0.69946289	|  Gyro-X: -60.61447144	Y: 19.82101440	Z: -24.96505737
        Accel-X: 8.41735840	Y: -2.25952148	Z: -0.62988281	|  Gyro-X: -65.33981323	Y: 17.88452148	Z: -24.17999268
        Accel-X: 8.48815918	Y: -2.07885742	Z: -0.73608398	|  Gyro-X: -71.20162964	Y: 14.35546875	Z: -21.69769287
        Accel-X: 8.08471680	Y: -2.11975098	Z: -1.11511230	|  Gyro-X: -79.02984619	Y: 18.45275879	Z: -18.92379761
        Accel-X: 7.59582520	Y: -2.36206055	Z: -1.12304688	|  Gyro-X: -87.83004761	Y: 23.68652344	Z: -11.50680542
        Accel-X: 6.95739746	Y: -2.28027344	Z: -1.03271484	|  Gyro-X: -92.98904419	Y: 25.53329468	Z: -10.56472778
        Accel-X: 6.20422363	Y: -1.87438965	Z: -0.85449219	|  Gyro-X: -102.20794678	Y: 28.44177246	Z: -10.13107300
        Accel-X: 5.55786133	Y: -1.72424316	Z: -1.42211914	|  Gyro-X: -119.23263550	Y: 31.78390503	Z: -5.94406128
        Accel-X: 5.07080078	Y: -2.32238770	Z: -2.01416016	|  Gyro-X: -138.88916016	Y: 33.04000854	Z: 2.10098267
        Accel-X: 5.33752441	Y: -3.11340332	Z: -2.11120605	|  Gyro-X: -156.29516602	Y: 31.50726318	Z: 7.44689941
        Accel-X: 5.95886230	Y: -4.13208008	Z: -3.33251953	|  Gyro-X: -162.63549805	Y: 27.08847046	Z: 9.53292847
        Accel-X: 7.91625977	Y: -6.17675781	Z: -5.03295898	|  Gyro-X: -144.11544800	Y: 15.12557983	Z: 17.18917847
        Accel-X: 9.68505859	Y: -7.39257812	Z: -5.99975586	|  Gyro-X: -131.55441284	Y: 2.42248535	Z: 22.69958496
        Accel-X: 11.16088867	Y: -7.77160645	Z: -8.16467285	|  Gyro-X: -127.80853271	Y: -11.91802979	Z: 39.04388428
        Accel-X: 13.15429688	Y: -9.80285645	Z: -11.05285645	|  Gyro-X: -131.41235352	Y: -40.98037720	Z: 53.21990967
        Accel-X: 14.19738770	Y: -12.29675293	Z: -10.53161621	|  Gyro-X: -128.25714111	Y: -74.54376221	Z: 66.48376465
        Accel-X: 19.27673340	Y: -13.32092285	Z: -12.86499023	|  Gyro-X: -110.43243408	Y: -119.79339600	Z: 85.52719116
        Accel-X: 19.53125000	Y: -15.47851562	Z: -14.46044922	|  Gyro-X: -103.75564575	Y: -154.62036133	Z: 102.09579468
        Accel-X: 19.56787109	Y: -15.30395508	Z: -15.73547363	|  Gyro-X: -65.53421021	Y: -193.32031250	Z: 112.37640381
        Accel-X: 19.48547363	Y: -17.38586426	Z: -19.99511719	|  Gyro-X: -72.09884644	Y: -241.17187500	Z: 151.68945312
        Accel-X: 16.66687012	Y: -19.99389648	Z: -19.99511719	|  Gyro-X: -84.81689453	Y: -243.32519531	Z: 172.59460449
        Accel-X: 18.74084473	Y: -19.99511719	Z: -19.99511719	|  Gyro-X: -59.01443481	Y: -243.32519531	Z: 198.82324219
        Accel-X: 19.99511719	Y: -19.99511719	Z: -19.99511719	|  Gyro-X: -26.11648560	Y: -243.32519531	Z: 218.74145508
        Accel-X: 19.99511719	Y: -19.00939941	Z: -19.99511719	|  Gyro-X: -6.39266968	Y: -243.32519531	Z: 242.72705078
        Accel-X: 19.99511719	Y: -14.69055176	Z: -19.99511719	|  Gyro-X: -2.07107544	Y: -243.32519531	Z: 244.52148438
        Accel-X: 19.99511719	Y: -12.05993652	Z: -17.78991699	|  Gyro-X: 43.37295532	Y: -243.32519531	Z: 244.52148438
        Accel-X: 19.99511719	Y: -8.98498535	Z: -14.25476074	|  Gyro-X: 120.35415649	Y: -243.32519531	Z: 244.52148438
        Accel-X: 19.99511719	Y: -0.62438965	Z: -11.72546387	|  Gyro-X: 65.39215088	Y: -243.32519531	Z: 242.45788574
        Accel-X: 18.68041992	Y: -3.05236816	Z: 0.05187988	|  Gyro-X: 72.23342896	Y: -243.30276489	Z: 197.87368774
        Accel-X: 15.12451172	Y: 3.38928223	Z: 2.38525391	|  Gyro-X: 140.42190552	Y: -192.21374512	Z: 131.60675049
        Accel-X: 11.57165527	Y: 6.00219727	Z: 3.72436523	|  Gyro-X: 139.14337158	Y: -121.32614136	Z: 98.40972900
        Accel-X: 7.83020020	Y: 5.89843750	Z: 3.10729980	|  Gyro-X: 129.31884766	Y: -81.41494751	Z: 80.71212769
        Accel-X: 3.92822266	Y: 5.15380859	Z: 3.58947754	|  Gyro-X: 132.27218628	Y: -64.08370972	Z: 58.93966675
        Accel-X: 1.06018066	Y: 6.27075195	Z: 3.62548828	|  Gyro-X: 138.26858521	Y: -51.82922363	Z: 42.61032104
        Accel-X: -1.76818848	Y: 4.67529297	Z: 2.63732910	|  Gyro-X: 125.76736450	Y: -25.15945435	Z: 17.53311157
        Accel-X: -4.20654297	Y: 4.11926270	Z: 2.30834961	|  Gyro-X: 123.80844116	Y: -19.55932617	Z: 4.05242920
        Accel-X: -6.91711426	Y: 5.25695801	Z: 3.73840332	|  Gyro-X: 111.08291626	Y: -15.57418823	Z: -3.35708618
        Accel-X: -8.09814453	Y: 4.61486816	Z: 3.94104004	|  Gyro-X: 80.64483643	Y: -8.07495117	Z: -14.53491211
        Accel-X: -9.55688477	Y: 2.13745117	Z: 3.16284180	|  Gyro-X: 61.36962891	Y: -1.53274536	Z: -28.92776489
