Accel-X: 8.84704590	Y: -2.63366699	Z: 0.47241211	|  Gyro-X: 3.46923828	Y: 3.24493408	Z: -1.12152100
        Accel-X: 8.89404297	Y: -2.56225586	Z: 0.48278809	|  Gyro-X: 3.40942383	Y: 1.54769897	Z: -2.04116821
        Accel-X: 8.90563965	Y: -2.61169434	Z: 0.48706055	|  Gyro-X: 3.02810669	Y: 1.06918335	Z: -2.76641846
        Accel-X: 8.84948730	Y: -2.65563965	Z: 0.49194336	|  Gyro-X: 4.00756836	Y: 1.21124268	Z: -3.20007324
        Accel-X: 8.76708984	Y: -2.66357422	Z: 0.64941406	|  Gyro-X: 4.31411743	Y: 0.29907227	Z: -3.94027710
        Accel-X: 8.80310059	Y: -2.57385254	Z: 0.66345215	|  Gyro-X: 4.94216919	Y: 0.23178101	Z: -4.78515625
        Accel-X: 8.83972168	Y: -2.62023926	Z: 0.60668945	|  Gyro-X: 4.23187256	Y: 0.42617798	Z: -4.11224365
        Accel-X: 8.89465332	Y: -2.87048340	Z: 0.51513672	|  Gyro-X: 3.85055542	Y: 0.29907227	Z: -3.50662231
        Accel-X: 8.94348145	Y: -2.89367676	Z: 0.36499023	|  Gyro-X: 5.24871826	Y: 0.02990723	Z: -3.71597290
        Accel-X: 8.86596680	Y: -2.75268555	Z: 0.44067383	|  Gyro-X: 5.03189087	Y: 0.77758789	Z: -2.55706787
        Accel-X: 8.75122070	Y: -2.74108887	Z: 0.40771484	|  Gyro-X: 3.70849609	Y: 1.24862671	Z: -2.20565796
        Accel-X: 8.71765137	Y: -2.79113770	Z: 0.44189453	|  Gyro-X: 2.34024048	Y: 1.18881226	Z: -1.92153931
        Accel-X: 8.76281738	Y: -2.78930664	Z: 0.52612305	|  Gyro-X: 3.21502686	Y: 0.38131714	Z: -2.68417358
        Accel-X: 8.72436523	Y: -2.81372070	Z: 0.61157227	|  Gyro-X: 4.73281860	Y: -0.29907227	Z: -2.90100098
        Accel-X: 8.65417480	Y: -2.88757324	Z: 0.70678711	|  Gyro-X: 7.32727051	Y: -0.26916504	Z: -2.25051880
        Accel-X: 8.72985840	Y: -2.91748047	Z: 0.83190918	|  Gyro-X: 9.27124023	Y: -1.83929443	Z: -2.28790283
        Accel-X: 8.78601074	Y: -2.89978027	Z: 0.76660156	|  Gyro-X: 11.52923584	Y: -2.25799561	Z: -1.74209595
        Accel-X: 8.79516602	Y: -3.14697266	Z: 0.85449219	|  Gyro-X: 15.35736084	Y: -2.01873779	Z: -0.80001831
        Accel-X: 8.46679688	Y: -3.11584473	Z: 1.00341797	|  Gyro-X: 23.94821167	Y: -4.10476685	Z: -0.80001831
        Accel-X: 8.57360840	Y: -4.24377441	Z: 1.57714844	|  Gyro-X: 34.94659424	Y: -7.46185303	Z: -2.21313477
        Accel-X: 8.08715820	Y: -4.64050293	Z: 1.74621582	|  Gyro-X: 78.05038452	Y: -7.41699219	Z: -7.35717773
        Accel-X: 7.70263672	Y: -4.65454102	Z: 2.07397461	|  Gyro-X: 129.79736328	Y: -9.18151855	Z: -12.06008911
        Accel-X: 8.32092285	Y: -3.93371582	Z: 1.57775879	|  Gyro-X: 155.26336670	Y: -16.34429932	Z: -24.20989990
        Accel-X: 8.42346191	Y: -6.24389648	Z: 1.32324219	|  Gyro-X: 178.94989014	Y: -6.21322632	Z: -20.48645020
        Accel-X: 8.45031738	Y: -8.53210449	Z: 3.77136230	|  Gyro-X: 209.21600342	Y: 1.69723511	Z: -15.76858521
        Accel-X: 9.57885742	Y: -8.29956055	Z: 5.74584961	|  Gyro-X: 194.74838257	Y: 3.25988770	Z: -2.22808838
        Accel-X: 10.83190918	Y: -10.58471680	Z: 5.61279297	|  Gyro-X: 133.97689819	Y: 23.38745117	Z: 54.52835083
        Accel-X: 12.23083496	Y: -13.74389648	Z: 7.58422852	|  Gyro-X: 67.57537842	Y: 49.66094971	Z: 130.35812378
        Accel-X: 13.94775391	Y: -19.47021484	Z: 8.96789551	|  Gyro-X: 11.15539551	Y: 102.72384644	Z: 236.61849976
        Accel-X: 15.66833496	Y: -19.99511719	Z: 9.06005859	|  Gyro-X: 16.32186890	Y: 113.01940918	Z: 244.52148438
        Accel-X: 19.67346191	Y: -19.99511719	Z: 9.55383301	|  Gyro-X: 4.28421021	Y: 118.07373047	Z: 244.52148438
        Accel-X: 19.99511719	Y: -19.99511719	Z: 8.36181641	|  Gyro-X: -48.57681274	Y: 127.57675171	Z: 244.52148438
        Accel-X: 19.99511719	Y: -19.99511719	Z: 6.13220215	|  Gyro-X: -105.13137817	Y: 126.50009155	Z: 244.52148438
        Accel-X: 19.99206543	Y: -19.41040039	Z: 5.40283203	|  Gyro-X: -98.25271606	Y: 114.17831421	Z: 244.52148438
        Accel-X: 19.99511719	Y: -13.83483887	Z: 4.03808594	|  Gyro-X: -83.42620850	Y: 91.23947144	Z: 244.52148438
        Accel-X: 19.99511719	Y: -9.59106445	Z: 1.53015137	|  Gyro-X: -72.20352173	Y: 77.62420654	Z: 244.52148438
        Accel-X: 19.99511719	Y: -5.87280273	Z: 0.50537109	|  Gyro-X: -16.77795410	Y: 65.66879272	Z: 244.52148438
        Accel-X: 18.60168457	Y: -1.62292480	Z: -1.95251465	|  Gyro-X: 30.58761597	Y: 49.04037476	Z: 244.52148438
        Accel-X: 12.76428223	Y: 3.29956055	Z: -3.71032715	|  Gyro-X: 61.68365479	Y: 44.54681396	Z: 244.52148438
