Accel-X: 8.69628906	Y: -2.37182617	Z: 0.48889160	|  Gyro-X: 8.49365234	Y: 1.24114990	Z: -3.72344971
        Accel-X: 8.81286621	Y: -2.23327637	Z: 0.51818848	|  Gyro-X: 9.38339233	Y: 0.50094604	Z: -4.77020264
        Accel-X: 9.04479980	Y: -2.30102539	Z: 0.55114746	|  Gyro-X: 8.03756714	Y: 0.84487915	Z: -5.95153809
        Accel-X: 8.98559570	Y: -2.27661133	Z: 0.59204102	|  Gyro-X: 8.06747437	Y: 2.92343140	Z: -6.34033203
        Accel-X: 8.79943848	Y: -2.21679688	Z: 0.60180664	|  Gyro-X: 7.82073975	Y: 3.62625122	Z: -6.81137085
        Accel-X: 8.96423340	Y: -2.21618652	Z: 0.51391602	|  Gyro-X: 8.83010864	Y: 3.09539795	Z: -7.67868042
        Accel-X: 9.09667969	Y: -2.16430664	Z: 0.57128906	|  Gyro-X: 10.78155518	Y: 3.38699341	Z: -8.48617554
        Accel-X: 9.02709961	Y: -1.93664551	Z: 0.61218262	|  Gyro-X: 9.38339233	Y: 4.02999878	Z: -8.18710327
        Accel-X: 9.07165527	Y: -1.80541992	Z: 0.65673828	|  Gyro-X: 7.67120361	Y: 4.40383911	Z: -9.18899536
        Accel-X: 9.10217285	Y: -1.80603027	Z: 0.69824219	|  Gyro-X: 7.46185303	Y: 4.62066650	Z: -10.76660156
        Accel-X: 9.12231445	Y: -1.84936523	Z: 0.70373535	|  Gyro-X: 6.96838379	Y: 4.26177979	Z: -11.97036743
        Accel-X: 9.06677246	Y: -1.83410645	Z: 0.75805664	|  Gyro-X: 7.80578613	Y: 5.04684448	Z: -12.23953247
        Accel-X: 9.01428223	Y: -1.63635254	Z: 0.69946289	|  Gyro-X: 10.12359619	Y: 5.12908936	Z: -13.24142456
        Accel-X: 9.06433105	Y: -1.65283203	Z: 0.72692871	|  Gyro-X: 13.50311279	Y: 4.59075928	Z: -13.56292725
        Accel-X: 9.02954102	Y: -1.58325195	Z: 0.68115234	|  Gyro-X: 13.27880859	Y: 4.74029541	Z: -13.14422607
        Accel-X: 8.94226074	Y: -1.48315430	Z: 0.65490723	|  Gyro-X: 12.41897583	Y: 4.38140869	Z: -14.05639648
        Accel-X: 9.07287598	Y: -1.51489258	Z: 0.56091309	|  Gyro-X: 10.43762207	Y: 3.31222534	Z: -14.26574707
        Accel-X: 9.03015137	Y: -1.71264648	Z: 0.63049316	|  Gyro-X: 10.84884644	Y: 3.97766113	Z: -14.58724976
        Accel-X: 9.03137207	Y: -1.68579102	Z: 0.74279785	|  Gyro-X: 13.62274170	Y: 2.90847778	Z: -15.00595093
        Accel-X: 9.05700684	Y: -1.46484375	Z: 0.78063965	|  Gyro-X: 17.00973511	Y: 2.40005493	Z: -16.71813965
        Accel-X: 9.04052734	Y: -1.37634277	Z: 0.82397461	|  Gyro-X: 16.07513428	Y: 2.31781006	Z: -16.28448486
        Accel-X: 9.02954102	Y: -1.33483887	Z: 0.77270508	|  Gyro-X: 13.91433716	Y: 2.60192871	Z: -17.23403931
        Accel-X: 9.03625488	Y: -1.50573730	Z: 0.76171875	|  Gyro-X: 16.75552368	Y: 2.51220703	Z: -19.02847290
        Accel-X: 9.01000977	Y: -1.48071289	Z: 0.84289551	|  Gyro-X: 21.62292480	Y: 2.28042603	Z: -19.68643188
        Accel-X: 8.93981934	Y: -1.27685547	Z: 1.02050781	|  Gyro-X: 25.24917603	Y: 2.13088989	Z: -20.68084717
        Accel-X: 8.81896973	Y: -1.33483887	Z: 1.33789062	|  Gyro-X: 31.08108521	Y: 3.11782837	Z: -21.98181152
        Accel-X: 9.08264160	Y: -1.86096191	Z: 1.29211426	|  Gyro-X: 42.80471802	Y: 1.56265259	Z: -24.08279419
