Accel-X: 9.07470703	Y: -1.36962891	Z: -1.04492188	|  Gyro-X: 3.36456299	Y: 2.30285645	Z: -0.78506470
        Accel-X: 9.21020508	Y: -1.23107910	Z: -1.06140137	|  Gyro-X: 4.49356079	Y: 1.16638184	Z: -1.13647461
        Accel-X: 9.10339355	Y: -1.22863770	Z: -1.10473633	|  Gyro-X: 2.96081543	Y: 2.13836670	Z: -1.89163208
        Accel-X: 9.25537109	Y: -1.31164551	Z: -1.26647949	|  Gyro-X: 3.00567627	Y: -0.12710571	Z: -2.48229980
        Accel-X: 9.45068359	Y: -1.16638184	Z: -1.28479004	|  Gyro-X: 3.25988770	Y: 1.18133545	Z: -2.54211426
        Accel-X: 9.16809082	Y: -1.09985352	Z: -1.08825684	|  Gyro-X: 2.67669678	Y: 3.71597290	Z: -2.79632568
        Accel-X: 9.12963867	Y: -1.25122070	Z: -1.14990234	|  Gyro-X: 3.79074097	Y: 1.92153931	Z: -3.14773560
        Accel-X: 9.24682617	Y: -1.30065918	Z: -1.16210938	|  Gyro-X: 6.31042480	Y: 0.39627075	Z: -3.73840332
        Accel-X: 9.27551270	Y: -1.12182617	Z: -1.19140625	|  Gyro-X: 8.00018311	Y: 0.99441528	Z: -4.38140869
        Accel-X: 9.17297363	Y: -1.16333008	Z: -1.20666504	|  Gyro-X: 7.41699219	Y: 1.88415527	Z: -4.29168701
        Accel-X: 9.11071777	Y: -1.13586426	Z: -1.19262695	|  Gyro-X: 8.34411621	Y: 0.36636353	Z: -5.31600952
        Accel-X: 9.28466797	Y: -1.14440918	Z: -1.20605469	|  Gyro-X: 8.12728882	Y: 0.45608521	Z: -6.03378296
        Accel-X: 9.26757812	Y: -1.24816895	Z: -1.25915527	|  Gyro-X: 9.13665771	Y: 1.65985107	Z: -6.23565674
        Accel-X: 9.31640625	Y: -1.35559082	Z: -1.26342773	|  Gyro-X: 11.86569214	Y: 1.47293091	Z: -6.75903320
        Accel-X: 9.25170898	Y: -1.15478516	Z: -1.21948242	|  Gyro-X: 12.13485718	Y: 1.74209595	Z: -6.75155640
        Accel-X: 9.11865234	Y: -1.08947754	Z: -1.18164062	|  Gyro-X: 11.10305786	Y: 2.48977661	Z: -6.63192749
        Accel-X: 9.05639648	Y: -1.07177734	Z: -1.08642578	|  Gyro-X: 9.36096191	Y: 1.64489746	Z: -5.27114868
        Accel-X: 9.04052734	Y: -1.38854980	Z: -1.22070312	|  Gyro-X: 11.09558105	Y: 1.54022217	Z: -4.05990601
        Accel-X: 9.12719727	Y: -1.85974121	Z: -1.01684570	|  Gyro-X: 21.42105103	Y: 2.74398804	Z: -6.25061035
        Accel-X: 8.96667480	Y: -1.56005859	Z: -0.96252441	|  Gyro-X: 28.21746826	Y: 1.59255981	Z: -6.57211304
        Accel-X: 8.84887695	Y: -1.69982910	Z: -0.81726074	|  Gyro-X: 26.98379517	Y: -0.68038940	Z: -5.88424683
        Accel-X: 8.91418457	Y: -2.29370117	Z: -0.59753418	|  Gyro-X: 31.97082520	Y: -1.92901611	Z: -8.59832764
        Accel-X: 8.73657227	Y: -2.65625000	Z: -0.72082520	|  Gyro-X: 46.58050537	Y: -2.13836670	Z: -13.86947632
