        Accel-X: -10.40588379	Y: 1.12487793	Z: -0.44738770	|  Gyro-X: 20.23223877	Y: -0.96450806	Z: -33.40637207
        Accel-X: -11.14624023	Y: 0.56457520	Z: 0.74340820	|  Gyro-X: 5.89172363	Y: 0.19439697	Z: -35.61950684
        Accel-X: -11.24572754	Y: 0.08911133	Z: 0.37536621	|  Gyro-X: -4.83001709	Y: 4.26925659	Z: -28.12774658
        Accel-X: -11.08520508	Y: -0.96984863	Z: 0.42541504	|  Gyro-X: -14.98352051	Y: 6.83380127	Z: -24.77066040
        Accel-X: -11.63146973	Y: -1.66931152	Z: -0.18615723	|  Gyro-X: -0.13458252	Y: 16.11251831	Z: -20.65841675
        Accel-X: -12.05688477	Y: -0.77331543	Z: -0.50842285	|  Gyro-X: 8.54598999	Y: 15.85083008	Z: -16.83029175
        Accel-X: -11.67541504	Y: -0.94482422	Z: -0.32348633	|  Gyro-X: -1.33834839	Y: 4.35150146	Z: -13.99658203
        Accel-X: -11.43127441	Y: -1.22741699	Z: -0.54687500	|  Gyro-X: -1.53274536	Y: 6.06369019	Z: -10.47500610
        Accel-X: -11.58325195	Y: -1.06567383	Z: -0.75439453	|  Gyro-X: 3.43933105	Y: 7.02072144	Z: -7.35717773
        Accel-X: -11.34765625	Y: -1.19506836	Z: -0.51696777	|  Gyro-X: 11.26754761	Y: 0.52337646	Z: -3.71597290
        Accel-X: -11.33361816	Y: -0.25939941	Z: -0.79833984	|  Gyro-X: 11.97036743	Y: 1.13647461	Z: -0.58319092
        Accel-X: -11.27868652	Y: -0.29663086	Z: -0.58288574	|  Gyro-X: 1.80191040	Y: -1.21124268	Z: 0.16448975
        Accel-X: -11.16027832	Y: -0.54443359	Z: -0.64514160	|  Gyro-X: -0.22430420	Y: -2.44491577	Z: -0.11215210
        Accel-X: -11.01318359	Y: -0.71289062	Z: -0.62744141	|  Gyro-X: 7.13287354	Y: -3.30474854	Z: -2.39257812
        Accel-X: -10.83129883	Y: -0.23803711	Z: -0.34912109	|  Gyro-X: 8.94226074	Y: -4.71038818	Z: -4.71786499
        Accel-X: -10.85510254	Y: 0.03051758	Z: -0.28381348	|  Gyro-X: 2.37014771	Y: -2.16079712	Z: -7.11791992
        Accel-X: -10.81237793	Y: -0.66345215	Z: -0.15441895	|  Gyro-X: -0.79254150	Y: -1.27853394	Z: -7.78335571
