Accel-X: 9.06494141	Y: -1.62597656	Z: -0.78002930	|  Gyro-X: 14.12368774	Y: 1.78695679	Z: -7.01324463
        Accel-X: 8.82934570	Y: -1.57104492	Z: -0.62011719	|  Gyro-X: 13.39096069	Y: 3.24493408	Z: -8.32916260
        Accel-X: 9.05578613	Y: -1.64855957	Z: -0.82946777	|  Gyro-X: 11.23016357	Y: 0.55328369	Z: -8.18710327
        Accel-X: 9.23095703	Y: -1.80358887	Z: -0.96618652	|  Gyro-X: 8.84506226	Y: -0.29159546	Z: -8.02261353
        Accel-X: 9.12414551	Y: -1.89270020	Z: -1.03210449	|  Gyro-X: 7.32727051	Y: 2.96829224	Z: -7.21511841
        Accel-X: 9.14916992	Y: -2.03796387	Z: -1.02844238	|  Gyro-X: 8.78524780	Y: 2.23556519	Z: -7.04315186
        Accel-X: 9.24377441	Y: -1.76513672	Z: -0.90454102	|  Gyro-X: 12.03765869	Y: -0.00747681	Z: -6.89361572
        Accel-X: 9.19372559	Y: -1.67724609	Z: -0.82458496	|  Gyro-X: 9.21890259	Y: 3.08044434	Z: -5.12161255
        Accel-X: 9.04846191	Y: -1.74194336	Z: -0.83068848	|  Gyro-X: 7.79083252	Y: 4.14962769	Z: -4.41879272
        Accel-X: 9.12780762	Y: -1.64489746	Z: -0.75683594	|  Gyro-X: 8.96469116	Y: 2.66921997	Z: -3.95523071
        Accel-X: 9.11560059	Y: -1.55456543	Z: -0.82275391	|  Gyro-X: 8.39645386	Y: 3.20007324	Z: -3.91784668
        Accel-X: 9.09118652	Y: -1.62963867	Z: -0.89233398	|  Gyro-X: 6.07864380	Y: 3.63372803	Z: -3.17016602
        Accel-X: 9.18823242	Y: -1.71997070	Z: -0.98449707	|  Gyro-X: 4.53094482	Y: 3.23745728	Z: -2.64678955
        Accel-X: 9.21691895	Y: -1.74621582	Z: -1.03698730	|  Gyro-X: 3.28979492	Y: 3.54400635	Z: -2.51968384
        Accel-X: 9.25659180	Y: -1.84875488	Z: -0.92712402	|  Gyro-X: 3.94027710	Y: 4.01504517	Z: -2.97576904
        Accel-X: 9.16259766	Y: -1.88415527	Z: -0.85083008	|  Gyro-X: 5.37582397	Y: 5.51788330	Z: -3.49914551
        Accel-X: 9.05883789	Y: -1.94274902	Z: -0.68420410	|  Gyro-X: 11.34231567	Y: 6.53472900	Z: -4.83001709
        Accel-X: 9.21020508	Y: -1.68395996	Z: -0.45715332	|  Gyro-X: 13.42086792	Y: 2.84866333	Z: -5.89920044
        Accel-X: 9.47998047	Y: -1.81335449	Z: -0.32775879	|  Gyro-X: 13.91433716	Y: 2.20565796	Z: -5.09918213
        Accel-X: 9.46166992	Y: -2.32177734	Z: -0.24536133	|  Gyro-X: 20.63598633	Y: 8.37402344	Z: -5.23376465
        Accel-X: 9.33166504	Y: -1.73339844	Z: 0.08728027	|  Gyro-X: 33.26431274	Y: 8.33663940	Z: -7.79083252
        Accel-X: 9.52758789	Y: -1.61499023	Z: 0.65795898	|  Gyro-X: 37.72048950	Y: 7.92541504	Z: -8.07495117
        Accel-X: 9.71618652	Y: -1.29760742	Z: 0.80017090	|  Gyro-X: 40.81588745	Y: 7.85812378	Z: -6.11602783
        Accel-X: 9.73693848	Y: -1.08825684	Z: 1.11206055	|  Gyro-X: 52.75634766	Y: 7.32727051	Z: -11.86569214
        Accel-X: 9.62097168	Y: -0.73730469	Z: 0.84228516	|  Gyro-X: 61.46682739	Y: 10.40771484	Z: -23.84353638
        Accel-X: 9.40673828	Y: 0.63598633	Z: 0.92895508	|  Gyro-X: 59.56024170	Y: 16.86767578	Z: -40.60653687
        Accel-X: 9.45129395	Y: 0.58166504	Z: 0.62561035	|  Gyro-X: 34.05685425	Y: 24.44915771	Z: -50.81985474
        Accel-X: 9.39819336	Y: 0.37963867	Z: 0.52734375	|  Gyro-X: 8.88244629	Y: 31.94091797	Z: -55.04425049
        Accel-X: 9.42382812	Y: -0.81542969	Z: 0.50109863	|  Gyro-X: -7.88055420	Y: 33.25683594	Z: -57.37701416
        Accel-X: 9.91577148	Y: -2.48474121	Z: 0.06958008	|  Gyro-X: -9.74975586	Y: 29.61563110	Z: -54.96948242
        Accel-X: 9.16687012	Y: -2.23327637	Z: -0.53466797	|  Gyro-X: 17.95181274	Y: 34.76715088	Z: -58.90975952
        Accel-X: 8.82690430	Y: -3.01635742	Z: -0.07019043	|  Gyro-X: 33.12225342	Y: 35.79147339	Z: -52.25540161
        Accel-X: 8.57299805	Y: -3.80249023	Z: -0.19897461	|  Gyro-X: 53.27972412	Y: 32.32971191	Z: -47.64221191
        Accel-X: 8.59191895	Y: -7.65808105	Z: -0.77270508	|  Gyro-X: 95.52368164	Y: 37.75787354	Z: -44.50942993
        Accel-X: 9.17663574	Y: -11.48315430	Z: 0.34729004	|  Gyro-X: 150.53802490	Y: 42.43835449	Z: -28.93524170
