Accel-X: 8.33740234	Y: -3.50036621	Z: 0.45471191	|  Gyro-X: -34.04937744	Y: 12.38159180	Z: 7.30484009
        Accel-X: 8.50036621	Y: -3.61267090	Z: 0.23254395	|  Gyro-X: -34.09423828	Y: 10.77407837	Z: 7.54409790
        Accel-X: 8.42285156	Y: -3.57971191	Z: 0.20080566	|  Gyro-X: -34.19891357	Y: 12.26196289	Z: 6.19079590
        Accel-X: 8.30444336	Y: -3.56262207	Z: 0.29174805	|  Gyro-X: -33.52600098	Y: 12.07504272	Z: 4.88235474
        Accel-X: 8.45703125	Y: -3.64929199	Z: 0.28991699	|  Gyro-X: -32.57644653	Y: 9.80957031	Z: 3.20007324
        Accel-X: 8.41552734	Y: -3.52294922	Z: 0.26306152	|  Gyro-X: -28.82308960	Y: 10.34042358	Z: 1.22619629
        Accel-X: 8.33251953	Y: -3.34045410	Z: 0.25451660	|  Gyro-X: -30.78948975	Y: 11.17782593	Z: -1.74209595
        Accel-X: 8.46801758	Y: -3.39172363	Z: 0.32409668	|  Gyro-X: -37.13729858	Y: 11.56661987	Z: -2.56454468
        Accel-X: 8.59558105	Y: -3.57177734	Z: 0.25939941	|  Gyro-X: -39.73922729	Y: 11.68624878	Z: -3.97018433
        Accel-X: 8.74755859	Y: -3.61755371	Z: 0.26916504	|  Gyro-X: -39.69436646	Y: 12.59841919	Z: -4.90478516
        Accel-X: 8.51257324	Y: -3.56201172	Z: 0.33569336	|  Gyro-X: -39.48501587	Y: 14.04891968	Z: -6.64688110
        Accel-X: 8.41735840	Y: -3.61206055	Z: 0.36010742	|  Gyro-X: -38.99902344	Y: 14.59472656	Z: -8.65066528
        Accel-X: 8.50891113	Y: -3.73718262	Z: 0.36254883	|  Gyro-X: -33.12225342	Y: 13.06198120	Z: -11.23764038
        Accel-X: 8.70788574	Y: -3.68164062	Z: 0.34362793	|  Gyro-X: -29.95956421	Y: 14.26574707	Z: -13.82461548
        Accel-X: 8.59436035	Y: -3.42651367	Z: 0.32104492	|  Gyro-X: -31.20071411	Y: 15.46203613	Z: -15.29754639
        Accel-X: 8.51013184	Y: -3.33679199	Z: 0.26794434	|  Gyro-X: -35.23818970	Y: 15.54428101	Z: -16.86767578
        Accel-X: 8.83239746	Y: -3.66638184	Z: 0.22216797	|  Gyro-X: -38.90182495	Y: 14.96856689	Z: -16.92001343
        Accel-X: 8.84765625	Y: -3.40881348	Z: 0.11962891	|  Gyro-X: -39.84390259	Y: 15.14801025	Z: -17.05459595
        Accel-X: 8.58337402	Y: -3.04809570	Z: 0.23254395	|  Gyro-X: -43.44024658	Y: 18.36303711	Z: -17.39105225
        Accel-X: 8.72924805	Y: -3.16040039	Z: 0.43273926	|  Gyro-X: -51.67968750	Y: 18.05648804	Z: -18.37799072
        Accel-X: 8.78112793	Y: -3.01696777	Z: 0.27954102	|  Gyro-X: -56.52465820	Y: 21.54815674	Z: -19.75372314
        Accel-X: 8.60229492	Y: -2.78320312	Z: 0.06347656	|  Gyro-X: -62.76031494	Y: 25.39871216	Z: -20.69580078
