Accel-X: 9.04418945	Y: -1.88720703	Z: 0.27404785	|  Gyro-X: 6.69174194	Y: 0.90469360	Z: -2.57949829
        Accel-X: 9.05029297	Y: -1.68823242	Z: 0.30700684	|  Gyro-X: 13.24142456	Y: 0.80749512	Z: -2.22808838
        Accel-X: 9.00207520	Y: -1.02661133	Z: 0.33935547	|  Gyro-X: 15.81344604	Y: 1.01684570	Z: -3.50662231
        Accel-X: 8.98193359	Y: -0.85083008	Z: 0.36743164	|  Gyro-X: 9.91424561	Y: 1.25610352	Z: -2.19070435
        Accel-X: 9.06860352	Y: -1.06994629	Z: 0.29052734	|  Gyro-X: 6.52725220	Y: 0.72525024	Z: -2.04864502
        Accel-X: 9.16809082	Y: -1.11450195	Z: 0.13122559	|  Gyro-X: 5.61508179	Y: 0.81497192	Z: -2.70660400
        Accel-X: 8.98742676	Y: -1.29455566	Z: 0.17761230	|  Gyro-X: 6.02630615	Y: 1.41311646	Z: -1.90658569
        Accel-X: 9.03869629	Y: -1.40075684	Z: 0.18615723	|  Gyro-X: 8.23196411	Y: 0.68038940	Z: -2.91595459
        Accel-X: 9.12231445	Y: -1.25244141	Z: 0.16967773	|  Gyro-X: 5.57022095	Y: -0.29907227	Z: -3.85803223
        Accel-X: 9.03137207	Y: -1.50207520	Z: 0.15930176	|  Gyro-X: -3.56643677	Y: -0.66543579	Z: -0.92712402
        Accel-X: 8.89343262	Y: -1.86279297	Z: 0.16967773	|  Gyro-X: -0.57571411	Y: -1.15890503	Z: -0.41870117
        Accel-X: 8.91784668	Y: -1.56921387	Z: 0.26611328	|  Gyro-X: 3.03558350	Y: -1.86172485	Z: -1.27105713
        Accel-X: 9.09606934	Y: -1.63452148	Z: 0.27709961	|  Gyro-X: 2.17575073	Y: -2.25051880	Z: -0.68038940
        Accel-X: 9.10339355	Y: -1.69860840	Z: 0.32226562	|  Gyro-X: 1.64489746	Y: -1.63742065	Z: -0.08972168
        Accel-X: 9.19128418	Y: -1.65527344	Z: 0.25207520	|  Gyro-X: 5.54779053	Y: -2.30285645	Z: -1.00189209
        Accel-X: 9.21447754	Y: -1.30432129	Z: 0.32775879	|  Gyro-X: 9.36843872	Y: -1.78695679	Z: -1.63742065
