        Accel-X: 3.22021484	Y: 5.06652832	Z: 11.29638672	|  Gyro-X: 141.70791626	Y: -101.47521973	Z: -12.33673096
        Accel-X: -2.50488281	Y: 7.61596680	Z: 8.41125488	|  Gyro-X: 113.95401001	Y: -80.93643188	Z: -22.23602295
        Accel-X: -6.19445801	Y: 6.39892578	Z: 10.36254883	|  Gyro-X: 48.63662720	Y: -72.41287231	Z: -14.52743530
        Accel-X: -7.56225586	Y: 0.28198242	Z: 8.59436035	|  Gyro-X: 4.44869995	Y: -40.02334595	Z: -23.29772949
        Accel-X: -8.78723145	Y: -0.07507324	Z: 6.25793457	|  Gyro-X: 30.80444336	Y: -14.03396606	Z: -30.56518555
        Accel-X: -10.55847168	Y: 1.28601074	Z: 3.34106445	|  Gyro-X: 18.77426147	Y: -3.76831055	Z: -33.33160400
        Accel-X: -10.00427246	Y: -2.15454102	Z: 2.64221191	|  Gyro-X: -23.66409302	Y: -2.75146484	Z: -27.09594727
        Accel-X: -10.08300781	Y: -4.45251465	Z: 3.14941406	|  Gyro-X: -8.93478394	Y: 4.50851440	Z: -24.59121704
        Accel-X: -9.98046875	Y: -3.16101074	Z: 2.10998535	|  Gyro-X: -0.68038940	Y: 9.98901367	Z: -16.25457764
        Accel-X: -10.71533203	Y: -1.66320801	Z: 0.32836914	|  Gyro-X: -19.73129272	Y: 13.45825195	Z: -5.92163086
        Accel-X: -11.29760742	Y: -3.21899414	Z: 0.30578613	|  Gyro-X: -31.76147461	Y: 12.48626709	Z: -4.23934937
        Accel-X: -11.00891113	Y: -3.36853027	Z: 0.82336426	|  Gyro-X: -8.86001587	Y: 12.04513550	Z: -4.36645508
        Accel-X: -10.65002441	Y: -1.48193359	Z: 0.61706543	|  Gyro-X: -6.04125977	Y: 15.43960571	Z: -3.78326416
        Accel-X: -11.48559570	Y: -2.18200684	Z: -0.35522461	|  Gyro-X: -9.42077637	Y: 19.49203491	Z: -5.54031372
        Accel-X: -11.24694824	Y: -1.92443848	Z: -0.52001953	|  Gyro-X: -6.88613892	Y: 18.37799072	Z: -6.63192749
        Accel-X: -10.69763184	Y: -1.44042969	Z: -0.89721680	|  Gyro-X: -5.26367188	Y: 19.05090332	Z: -5.45806885
        Accel-X: -10.54626465	Y: -1.64001465	Z: -1.16638184	|  Gyro-X: -11.30493164	Y: 17.92190552	Z: -5.14404297
        Accel-X: -10.98510742	Y: -2.37487793	Z: -0.61767578	|  Gyro-X: -10.47500610	Y: 16.09756470	Z: -5.87677002
        Accel-X: -10.83557129	Y: -2.18139648	Z: -1.50085449	|  Gyro-X: 6.58706665	Y: 18.10134888	Z: -8.63571167
        Accel-X: -10.85937500	Y: -1.59912109	Z: -1.88781738	|  Gyro-X: 4.74029541	Y: 16.71066284	Z: -8.61328125
        Accel-X: -11.14501953	Y: -2.00134277	Z: -1.41235352	|  Gyro-X: -8.74786377	Y: 14.39285278	Z: -7.97027588
        Accel-X: -10.95581055	Y: -2.33459473	Z: -1.36230469	|  Gyro-X: -10.79650879	Y: 13.10684204	Z: -7.71606445
        Accel-X: -10.78674316	Y: -2.42431641	Z: -1.70471191	|  Gyro-X: -2.01873779	Y: 11.49185181	Z: -8.20953369
        Accel-X: -10.96801758	Y: -1.89147949	Z: -1.76147461	|  Gyro-X: -6.04125977	Y: 8.24691772	Z: -6.44500732
        Accel-X: -11.07238770	Y: -2.20397949	Z: -1.19384766	|  Gyro-X: -9.57778931	Y: 6.74407959	Z: -5.72723389
        Accel-X: -10.83618164	Y: -2.66723633	Z: -1.61926270	|  Gyro-X: -0.16448975	Y: 8.32168579	Z: -8.05252075
        Accel-X: -10.82641602	Y: -1.71997070	Z: -1.65832520	|  Gyro-X: -1.38320923	Y: 7.19268799	Z: -7.17025757
        Accel-X: -10.92712402	Y: -2.12585449	Z: -1.62902832	|  Gyro-X: -8.24691772	Y: 5.98144531	Z: -6.57211304
        Accel-X: -10.68847656	Y: -2.24975586	Z: -1.73522949	|  Gyro-X: -5.58517456	Y: 5.36834717	Z: -6.93099976
        Accel-X: -10.82824707	Y: -2.23449707	Z: -1.32141113	|  Gyro-X: -2.13088989	Y: 4.30664062	Z: -7.28240967
        Accel-X: -10.88256836	Y: -2.27722168	Z: -1.25732422	|  Gyro-X: 4.52346802	Y: 4.04495239	Z: -7.32727051
        Accel-X: -10.80627441	Y: -1.73217773	Z: -1.68212891	|  Gyro-X: 5.58517456	Y: 3.74588013	Z: -6.12350464
        Accel-X: -10.89111328	Y: -1.45202637	Z: -1.76086426	|  Gyro-X: -4.89730835	Y: 4.44869995	Z: -5.00946045
        Accel-X: -10.89050293	Y: -2.52441406	Z: -1.33361816	|  Gyro-X: -13.51058960	Y: 3.92532349	Z: -4.91226196
