Accel-X: 8.69445801	Y: -3.39538574	Z: 0.27832031	|  Gyro-X: -1.03179932	Y: 3.17016602	Z: -0.60562134
        Accel-X: 8.63159180	Y: -3.36669922	Z: 0.38269043	|  Gyro-X: -1.16638184	Y: 2.93090820	Z: -0.28411865
        Accel-X: 8.62670898	Y: -3.43811035	Z: 0.39855957	|  Gyro-X: -0.54580688	Y: 3.13278198	Z: -1.09161377
        Accel-X: 8.60778809	Y: -3.41613770	Z: 0.50903320	|  Gyro-X: -0.26916504	Y: 3.01315308	Z: -2.03369141
        Accel-X: 8.62976074	Y: -3.43566895	Z: 0.45104980	|  Gyro-X: 1.04675293	Y: 2.21313477	Z: -3.08044434
        Accel-X: 8.59436035	Y: -3.45458984	Z: 0.39306641	|  Gyro-X: 1.54769897	Y: 2.19070435	Z: -3.64868164
        Accel-X: 8.60534668	Y: -3.55895996	Z: 0.49438477	|  Gyro-X: 2.14584351	Y: 2.37014771	Z: -4.08981323
        Accel-X: 8.71643066	Y: -3.50708008	Z: 0.44860840	|  Gyro-X: 3.08792114	Y: 1.49536133	Z: -4.62814331
        Accel-X: 8.81591797	Y: -3.40576172	Z: 0.54687500	|  Gyro-X: 3.65615845	Y: 2.05612183	Z: -3.65615845
        Accel-X: 8.74328613	Y: -3.45458984	Z: 0.50354004	|  Gyro-X: 4.29168701	Y: 2.31781006	Z: -1.58508301
        Accel-X: 8.62792969	Y: -3.37768555	Z: 0.53894043	|  Gyro-X: 5.50292969	Y: 1.77947998	Z: -1.30844116
        Accel-X: 8.70056152	Y: -3.31237793	Z: 0.66223145	|  Gyro-X: 6.75903320	Y: 0.91964722	Z: -1.10656738
        Accel-X: 8.83728027	Y: -3.36914062	Z: 0.83374023	|  Gyro-X: 8.75534058	Y: 0.91964722	Z: -0.98693848
        Accel-X: 8.64624023	Y: -3.35510254	Z: 0.89965820	|  Gyro-X: 11.55166626	Y: 1.11404419	Z: -0.96450806
        Accel-X: 8.59863281	Y: -3.26110840	Z: 0.99853516	|  Gyro-X: 15.05081177	Y: 1.57760620	Z: -3.80569458
        Accel-X: 8.75549316	Y: -3.13842773	Z: 0.91674805	|  Gyro-X: 17.51068115	Y: 2.08602905	Z: -6.67678833
        Accel-X: 8.60534668	Y: -3.08166504	Z: 0.93994141	|  Gyro-X: 18.57238770	Y: 4.02999878	Z: -9.81704712
        Accel-X: 8.48693848	Y: -3.07861328	Z: 0.86547852	|  Gyro-X: 19.21539307	Y: 4.73281860	Z: -13.06198120
        Accel-X: 8.70788574	Y: -3.03894043	Z: 0.77148438	|  Gyro-X: 20.50888062	Y: 4.22439575	Z: -15.81344604
        Accel-X: 8.73840332	Y: -2.99133301	Z: 0.77636719	|  Gyro-X: 20.68832397	Y: 4.35150146	Z: -18.01162720
        Accel-X: 8.40270996	Y: -2.93212891	Z: 1.04919434	|  Gyro-X: 18.88641357	Y: 4.26177979	Z: -19.65652466
        Accel-X: 8.27819824	Y: -3.19274902	Z: 1.01135254	|  Gyro-X: 19.26773071	Y: 3.29727173	Z: -20.36682129
        Accel-X: 8.30261230	Y: -3.60778809	Z: 1.00402832	|  Gyro-X: 30.80444336	Y: -1.39816284	Z: -23.84353638
        Accel-X: 8.12194824	Y: -4.08569336	Z: 0.85876465	|  Gyro-X: 43.11874390	Y: -2.09350586	Z: -27.73147583
        Accel-X: 7.79846191	Y: -3.91662598	Z: 0.75744629	|  Gyro-X: 63.53790283	Y: -5.41320801	Z: -34.19143677
        Accel-X: 7.75451660	Y: -3.43688965	Z: 0.81726074	|  Gyro-X: 83.73275757	Y: -11.63391113	Z: -41.67572021
        Accel-X: 7.90588379	Y: -3.58032227	Z: 0.87951660	|  Gyro-X: 94.67132568	Y: -16.11999512	Z: -44.93560791
        Accel-X: 7.85522461	Y: -4.82666016	Z: 0.97778320	|  Gyro-X: 101.96121216	Y: -16.65832520	Z: -45.13748169
        Accel-X: 8.07434082	Y: -5.29418945	Z: 1.38671875	|  Gyro-X: 129.78988647	Y: -19.15557861	Z: -45.78048706
        Accel-X: 8.70239258	Y: -5.71166992	Z: 1.83776855	|  Gyro-X: 156.19049072	Y: -21.01730347	Z: -44.45709229
        Accel-X: 9.54833984	Y: -6.78466797	Z: 3.41857910	|  Gyro-X: 153.64089966	Y: -13.45077515	Z: -15.85083008
        Accel-X: 9.94750977	Y: -7.41638184	Z: 3.96179199	|  Gyro-X: 131.40487671	Y: 1.11404419	Z: 14.49752808
        Accel-X: 10.61828613	Y: -9.14001465	Z: 3.91479492	|  Gyro-X: 106.29028320	Y: 20.19485474	Z: 62.38647461
