        Accel-X: 2.01171875	Y: 6.36474609	Z: -4.07348633	|  Gyro-X: 84.77951050	Y: 21.27899170	Z: 242.18872070
        Accel-X: -1.19018555	Y: 6.99035645	Z: -4.47692871	|  Gyro-X: 100.89950562	Y: 18.54248047	Z: 183.50326538
        Accel-X: -4.42321777	Y: 9.57214355	Z: -3.95812988	|  Gyro-X: 81.52709961	Y: 8.82263184	Z: 114.27551270
        Accel-X: -6.41052246	Y: 9.35546875	Z: -3.15856934	|  Gyro-X: 34.46807861	Y: 0.07476807	Z: 65.35476685
        Accel-X: -8.41186523	Y: 6.83227539	Z: -1.81640625	|  Gyro-X: 12.78533936	Y: -7.40951538	Z: 31.13342285
        Accel-X: -9.63256836	Y: 4.45007324	Z: 0.26245117	|  Gyro-X: 19.23034668	Y: -15.14053345	Z: -3.25241089
        Accel-X: -10.40771484	Y: 3.08288574	Z: 1.11450195	|  Gyro-X: 34.67742920	Y: -14.52743530	Z: -31.67175293
        Accel-X: -11.56616211	Y: 3.04809570	Z: 1.59729004	|  Gyro-X: 25.42114258	Y: -9.81704712	Z: -33.58581543
        Accel-X: -12.20520020	Y: 2.56652832	Z: 2.47314453	|  Gyro-X: 10.63201904	Y: -2.00378418	Z: -29.29412842
        Accel-X: -12.07519531	Y: 1.25000000	Z: 2.87536621	|  Gyro-X: 5.36087036	Y: 5.52536011	Z: -24.67346191
        Accel-X: -12.06359863	Y: 0.68969727	Z: 1.71691895	|  Gyro-X: 15.60409546	Y: 9.77218628	Z: -21.41357422
        Accel-X: -11.86157227	Y: 1.23535156	Z: 1.17431641	|  Gyro-X: 25.48095703	Y: 9.02450562	Z: -20.09765625
        Accel-X: -11.61499023	Y: 1.89697266	Z: 1.13281250	|  Gyro-X: 19.74624634	Y: 5.65994263	Z: -19.71633911
        Accel-X: -11.33728027	Y: 0.61462402	Z: 0.80810547	|  Gyro-X: 11.61895752	Y: 4.33654785	Z: -18.54248047
        Accel-X: -11.32019043	Y: 0.38208008	Z: 0.92407227	|  Gyro-X: 17.25646973	Y: 1.65985107	Z: -16.93496704
        Accel-X: -10.97534180	Y: 0.61279297	Z: 0.61096191	|  Gyro-X: 27.44735718	Y: -1.26358032	Z: -16.01531982
        Accel-X: -10.92712402	Y: 1.64428711	Z: 0.69885254	|  Gyro-X: 24.57626343	Y: -0.68038940	Z: -13.25637817
        Accel-X: -11.02416992	Y: 1.57897949	Z: 0.49499512	|  Gyro-X: 5.21881104	Y: 1.41311646	Z: -7.64877319
        Accel-X: -11.27014160	Y: 0.61645508	Z: 0.55419922	|  Gyro-X: -3.84307861	Y: 2.25799561	Z: -3.11782837
        Accel-X: -11.38122559	Y: 0.75683594	Z: 0.75866699	|  Gyro-X: 11.72363281	Y: -0.35888672	Z: -1.65237427
