Accel-X: 8.94287109	Y: -1.55090332	Z: 1.15295410	|  Gyro-X: -31.96334839	Y: 4.44869995	Z: -1.18881226
        Accel-X: 9.00573730	Y: -1.09680176	Z: 1.28356934	|  Gyro-X: -54.81994629	Y: 6.99081421	Z: -3.17764282
        Accel-X: 9.08813477	Y: -1.92138672	Z: 0.89294434	|  Gyro-X: -67.59033203	Y: 11.28997803	Z: -2.32528687
        Accel-X: 8.94042969	Y: -2.57507324	Z: 0.59448242	|  Gyro-X: -58.84246826	Y: 14.99847412	Z: -6.11602783
        Accel-X: 9.08691406	Y: -1.78894043	Z: 0.45959473	|  Gyro-X: -53.36944580	Y: 13.03207397	Z: -11.21520996
        Accel-X: 9.09973145	Y: -2.08251953	Z: 0.08972168	|  Gyro-X: -60.81634521	Y: 13.52554321	Z: -7.54409790
        Accel-X: 8.89282227	Y: -2.59582520	Z: 0.17578125	|  Gyro-X: -61.07055664	Y: 14.83398438	Z: -6.34780884
        Accel-X: 9.10888672	Y: -2.22839355	Z: 0.08117676	|  Gyro-X: -58.42376709	Y: 11.89559937	Z: -7.51419067
        Accel-X: 8.99108887	Y: -2.25036621	Z: -0.11352539	|  Gyro-X: -57.58636475	Y: 11.71615601	Z: -3.48419189
        Accel-X: 8.79882812	Y: -2.33886719	Z: 0.22216797	|  Gyro-X: -60.43502808	Y: 14.04891968	Z: -2.66921997
        Accel-X: 9.34509277	Y: -2.06665039	Z: -0.02319336	|  Gyro-X: -60.45745850	Y: 8.43383789	Z: -1.36077881
        Accel-X: 8.83728027	Y: -2.13867188	Z: -0.01342773	|  Gyro-X: -63.64257812	Y: 12.30682373	Z: 1.14395142
        Accel-X: 8.50952148	Y: -1.78955078	Z: 0.28808594	|  Gyro-X: -74.40170288	Y: 13.19656372	Z: -2.93090820
        Accel-X: 9.16931152	Y: -1.74011230	Z: 0.05432129	|  Gyro-X: -82.38693237	Y: 10.76660156	Z: -5.92163086
        Accel-X: 8.92028809	Y: -2.20825195	Z: -0.25085449	|  Gyro-X: -89.47494507	Y: 18.22097778	Z: -6.34780884
        Accel-X: 8.29956055	Y: -2.40173340	Z: -0.14770508	|  Gyro-X: -90.25253296	Y: 23.28277588	Z: -11.50680542
        Accel-X: 8.64624023	Y: -2.18017578	Z: -0.17456055	|  Gyro-X: -88.57772827	Y: 19.98550415	Z: -22.91641235
        Accel-X: 8.77441406	Y: -2.49084473	Z: -0.48034668	|  Gyro-X: -84.89166260	Y: 22.07901001	Z: -25.39871216
        Accel-X: 8.44177246	Y: -2.65991211	Z: -0.55358887	|  Gyro-X: -76.22604370	Y: 22.55752563	Z: -31.14837646
        Accel-X: 8.54003906	Y: -2.53417969	Z: -0.72692871	|  Gyro-X: -69.93057251	Y: 18.58734131	Z: -36.53167725
        Accel-X: 8.40576172	Y: -2.64343262	Z: -0.82336426	|  Gyro-X: -64.41268921	Y: 18.92379761	Z: -39.46258545
        Accel-X: 8.01147461	Y: -2.83569336	Z: -0.56518555	|  Gyro-X: -57.32467651	Y: 18.07144165	Z: -42.17666626
        Accel-X: 8.03222656	Y: -2.53723145	Z: -0.74768066	|  Gyro-X: -55.16387939	Y: 14.63958740	Z: -42.91687012
        Accel-X: 7.88269043	Y: -2.40173340	Z: -1.12365723	|  Gyro-X: -55.20126343	Y: 15.67138672	Z: -43.38043213
        Accel-X: 7.37243652	Y: -2.47619629	Z: -1.27380371	|  Gyro-X: -63.32107544	Y: 16.81533813	Z: -42.92434692
        Accel-X: 7.26684570	Y: -2.59765625	Z: -1.22558594	|  Gyro-X: -80.12145996	Y: 17.44338989	Z: -39.54483032
        Accel-X: 6.87805176	Y: -2.63732910	Z: -1.86157227	|  Gyro-X: -87.48611450	Y: 18.50509644	Z: -32.16522217
        Accel-X: 5.97473145	Y: -3.05908203	Z: -2.25769043	|  Gyro-X: -95.92742920	Y: 18.84155273	Z: -26.10153198
        Accel-X: 5.49255371	Y: -3.25256348	Z: -2.33398438	|  Gyro-X: -110.76889038	Y: 13.48068237	Z: -16.83029175
        Accel-X: 5.93872070	Y: -4.59777832	Z: -2.87902832	|  Gyro-X: -121.08688354	Y: 3.22998047	Z: -5.30853271
        Accel-X: 6.83959961	Y: -6.47094727	Z: -3.33129883	|  Gyro-X: -118.29803467	Y: -8.26187134	Z: 7.05810547
        Accel-X: 8.29528809	Y: -6.97570801	Z: -3.88610840	|  Gyro-X: -101.10885620	Y: -21.66030884	Z: 14.70687866
        Accel-X: 11.44348145	Y: -6.66320801	Z: -7.10266113	|  Gyro-X: -102.46963501	Y: -41.32431030	Z: 39.23080444
        Accel-X: 14.26147461	Y: -8.57971191	Z: -9.45922852	|  Gyro-X: -116.69052124	Y: -64.30053711	Z: 52.42736816
        Accel-X: 14.47021484	Y: -11.12426758	Z: -12.37548828	|  Gyro-X: -105.80429077	Y: -91.26190186	Z: 73.75122070
        Accel-X: 17.08374023	Y: -12.69592285	Z: -13.01086426	|  Gyro-X: -82.55889893	Y: -137.67044067	Z: 92.36099243
        Accel-X: 18.99291992	Y: -13.92028809	Z: -14.64111328	|  Gyro-X: -31.01379395	Y: -170.94223022	Z: 111.62872314
        Accel-X: 19.99511719	Y: -14.52819824	Z: -16.85363770	|  Gyro-X: -18.70697021	Y: -207.12249756	Z: 135.49468994
        Accel-X: 19.99511719	Y: -17.10937500	Z: -18.67126465	|  Gyro-X: -25.64544678	Y: -238.98864746	Z: 159.89898682
        Accel-X: 19.99511719	Y: -18.47412109	Z: -18.94958496	|  Gyro-X: -28.01559448	Y: -243.32519531	Z: 193.66424561
        Accel-X: 19.57397461	Y: -19.99511719	Z: -19.25048828	|  Gyro-X: -8.43383789	Y: -243.32519531	Z: 208.28887939
        Accel-X: 19.57519531	Y: -19.99511719	Z: -19.99511719	|  Gyro-X: 23.10333252	Y: -243.32519531	Z: 228.33419800
        Accel-X: 19.99511719	Y: -19.30969238	Z: -19.99511719	|  Gyro-X: 33.18206787	Y: -243.32519531	Z: 244.48410034
        Accel-X: 19.99511719	Y: -17.43957520	Z: -19.52148438	|  Gyro-X: 26.29592896	Y: -243.32519531	Z: 244.52148438
        Accel-X: 19.99511719	Y: -13.74389648	Z: -17.94128418	|  Gyro-X: 12.21710205	Y: -243.32519531	Z: 244.52148438
        Accel-X: 19.99511719	Y: -10.48828125	Z: -14.52819824	|  Gyro-X: 49.61608887	Y: -243.32519531	Z: 244.52148438
        Accel-X: 19.99511719	Y: -3.93432617	Z: -10.91979980	|  Gyro-X: 101.11633301	Y: -243.32519531	Z: 244.52148438
        Accel-X: 19.99511719	Y: -0.89904785	Z: -6.87133789	|  Gyro-X: 143.74908447	Y: -243.32519531	Z: 242.15133667
        Accel-X: 18.25988770	Y: 6.86340332	Z: 0.73974609	|  Gyro-X: 113.31100464	Y: -200.55038452	Z: 193.88854980
        Accel-X: 13.90258789	Y: 6.18164062	Z: 2.80212402	|  Gyro-X: 82.23739624	Y: -163.58505249	Z: 166.91970825
        Accel-X: 9.79431152	Y: 6.19201660	Z: 3.33312988	|  Gyro-X: 127.90573120	Y: -127.49450684	Z: 126.88140869
        Accel-X: 4.44702148	Y: 8.23608398	Z: 2.75695801	|  Gyro-X: 157.38677979	Y: -96.92932129	Z: 89.07119751
        Accel-X: 2.36389160	Y: 8.04870605	Z: 2.60559082	|  Gyro-X: 145.46875000	Y: -71.56051636	Z: 59.35089111
        Accel-X: -0.49011230	Y: 7.14477539	Z: 3.39904785	|  Gyro-X: 117.14660645	Y: -51.94885254	Z: 39.86633301
        Accel-X: -5.12634277	Y: 5.10009766	Z: 3.07189941	|  Gyro-X: 108.67538452	Y: -31.54464722	Z: 20.65841675
        Accel-X: -6.55944824	Y: 4.30908203	Z: 2.99499512	|  Gyro-X: 92.33856201	Y: -21.38366699	Z: 2.35519409
        Accel-X: -8.25927734	Y: 2.51281738	Z: 3.50708008	|  Gyro-X: 77.45223999	Y: -12.43392944	Z: -9.15908813
        Accel-X: -9.15710449	Y: 0.83190918	Z: 3.39416504	|  Gyro-X: 62.18460083	Y: -5.26367188	Z: -20.57617188
        Accel-X: -9.81018066	Y: -1.09436035	Z: 2.92663574	|  Gyro-X: 44.24026489	Y: 0.23925781	Z: -26.80435181
        Accel-X: -9.58068848	Y: -2.34497070	Z: 3.52661133	|  Gyro-X: 41.90750122	Y: 4.96459961	Z: -31.00631714
        Accel-X: -9.55505371	Y: -2.85400391	Z: 2.37487793	|  Gyro-X: 37.85507202	Y: 17.12936401	Z: -30.32592773
        Accel-X: -10.26062012	Y: -4.09606934	Z: 1.38305664	|  Gyro-X: 24.06036377	Y: 25.80993652	Z: -27.66418457
        Accel-X: -9.91821289	Y: -4.47265625	Z: 1.18530273	|  Gyro-X: 16.76300049	Y: 26.65481567	Z: -26.31088257
        Accel-X: -9.90173340	Y: -4.01550293	Z: 0.87341309	|  Gyro-X: 19.37240601	Y: 25.70526123	Z: -19.65652466
        Accel-X: -10.10192871	Y: -5.16967773	Z: -0.31799316	|  Gyro-X: 6.43005371	Y: 21.17431641	Z: -13.75732422
        Accel-X: -10.29296875	Y: -5.59448242	Z: -0.29113770	|  Gyro-X: 14.17602539	Y: 15.13305664	Z: -11.68624878
        Accel-X: -10.16479492	Y: -4.91943359	Z: 0.08483887	|  Gyro-X: 31.35025024	Y: 15.41717529	Z: -12.63580322
        Accel-X: -10.20080566	Y: -4.10217285	Z: -0.72387695	|  Gyro-X: 31.39511108	Y: 19.86587524	Z: -12.80029297
        Accel-X: -10.45776367	Y: -4.55810547	Z: -0.89599609	|  Gyro-X: 9.12170410	Y: 20.10513306	Z: -9.79461670
        Accel-X: -10.19653320	Y: -4.97680664	Z: -0.57067871	|  Gyro-X: -0.81497192	Y: 18.04901123	Z: -8.83758545
        Accel-X: -10.24963379	Y: -4.85778809	Z: -0.94909668	|  Gyro-X: 6.99829102	Y: 15.66390991	Z: -8.24691772
        Accel-X: -10.39123535	Y: -4.86572266	Z: -0.94970703	|  Gyro-X: 4.81506348	Y: 6.29547119	Z: -3.68606567
        Accel-X: -10.15686035	Y: -4.98901367	Z: -0.54565430	|  Gyro-X: 9.21890259	Y: 2.45239258	Z: -1.59255981
        Accel-X: -10.19592285	Y: -4.56542969	Z: -0.66589355	|  Gyro-X: 18.12377930	Y: 1.15890503	Z: -1.33087158
        Accel-X: -10.00244141	Y: -4.51416016	Z: -0.45837402	|  Gyro-X: 16.83776855	Y: 1.01684570	Z: -2.85614014
        Accel-X: -10.14587402	Y: -4.38171387	Z: -0.36132812	|  Gyro-X: 12.93487549	Y: 1.86172485	Z: -3.16268921
        Accel-X: -10.14465332	Y: -4.50866699	Z: -0.39062500	|  Gyro-X: 5.28610229	Y: 1.29348755	Z: -2.19818115
        Accel-X: -9.97741699	Y: -4.49035645	Z: -0.15380859	|  Gyro-X: -1.76452637	Y: -0.09719849	Z: -0.63552856
        Accel-X: -10.15563965	Y: -4.96582031	Z: -0.11108398	|  Gyro-X: 4.04495239	Y: -0.11215210	Z: -1.37573242
        Accel-X: -10.14404297	Y: -4.58435059	Z: -0.35339355	|  Gyro-X: 13.45077515	Y: -1.01684570	Z: -2.93090820
        Accel-X: -10.04455566	Y: -4.36401367	Z: -0.08117676	|  Gyro-X: 12.37411499	Y: -2.10098267	Z: -2.06359863
        Accel-X: -9.87060547	Y: -4.39758301	Z: -0.00549316	|  Gyro-X: 6.43753052	Y: -1.09161377	Z: -1.21871948
        Accel-X: -9.98107910	Y: -4.91760254	Z: 0.03662109	|  Gyro-X: 6.21322632	Y: -0.95703125	Z: -2.44491577
        Accel-X: -9.98046875	Y: -4.50805664	Z: 0.21484375	|  Gyro-X: 12.31430054	Y: -0.58319092	Z: -3.61129761
        Accel-X: -10.00427246	Y: -4.54284668	Z: 0.30334473	|  Gyro-X: 13.89190674	Y: 0.88973999	Z: -3.93280029
        Accel-X: -9.99267578	Y: -4.62463379	Z: 0.02624512	|  Gyro-X: 9.88433838	Y: 1.92901611	Z: -4.32907104
        Accel-X: -9.92431641	Y: -4.79553223	Z: 0.16479492	|  Gyro-X: 5.44311523	Y: 2.28042603	Z: -4.38888550
        Accel-X: -9.79492188	Y: -4.82299805	Z: 0.27404785	|  Gyro-X: 5.68237305	Y: 2.31033325	Z: -2.65426636
        Accel-X: -9.99450684	Y: -4.82543945	Z: 0.12573242	|  Gyro-X: 7.14035034	Y: 4.07485962	Z: -3.31222534
        Accel-X: -9.93774414	Y: -4.70397949	Z: -0.07690430	|  Gyro-X: 6.17584229	Y: 4.42626953	Z: -3.77578735
        Accel-X: -9.89379883	Y: -4.76928711	Z: 0.08056641	|  Gyro-X: 3.44680786	Y: 3.03558350	Z: -2.85614014
        Accel-X: -9.79370117	Y: -4.84863281	Z: 0.19897461	|  Gyro-X: 3.58139038	Y: 2.31781006	Z: -1.69723511
        Accel-X: -9.83337402	Y: -4.75952148	Z: -0.01708984	|  Gyro-X: 9.31610107	Y: 2.25051880	Z: -2.98324585
        Accel-X: -9.84558105	Y: -4.62890625	Z: 0.00305176	|  Gyro-X: 9.83200073	Y: 1.75704956	Z: -2.64678955
        Accel-X: -9.90295410	Y: -4.73266602	Z: 0.34179688	|  Gyro-X: 6.18331909	Y: 1.37573242	Z: -1.56265259
        Accel-X: -9.87731934	Y: -4.69787598	Z: 0.31250000	|  Gyro-X: 9.89929199	Y: 2.74398804	Z: -3.40194702
        Accel-X: -9.89746094	Y: -4.68261719	Z: -0.01281738	|  Gyro-X: 9.63012695	Y: 4.25430298	Z: -4.83749390
        Accel-X: -9.94995117	Y: -4.69421387	Z: 0.03906250	|  Gyro-X: 2.63931274	Y: 4.20196533	Z: -3.87298584
        Accel-X: -9.90356445	Y: -5.00061035	Z: 0.27709961	|  Gyro-X: 0.23925781	Y: 3.76083374	Z: -3.40194702
        Accel-X: -10.05859375	Y: -5.02380371	Z: -0.00610352	|  Gyro-X: 6.91604614	Y: 4.67300415	Z: -4.37393188
        
