Accel-X: 8.89221191	Y: -1.55944824	Z: 0.59875488	|  Gyro-X: 8.57589722	Y: 0.00000000	Z: -11.11053467
        Accel-X: 9.03991699	Y: -1.62170410	Z: 0.51391602	|  Gyro-X: 3.02810669	Y: -1.00936890	Z: -12.62832642
        Accel-X: 9.06738281	Y: -1.98059082	Z: 0.50720215	|  Gyro-X: -2.90100098	Y: -1.24862671	Z: -12.01522827
        Accel-X: 8.96667480	Y: -1.89575195	Z: 0.55297852	|  Gyro-X: -3.80569458	Y: -1.46545410	Z: -12.27691650
        Accel-X: 9.05456543	Y: -1.79809570	Z: 0.69885254	|  Gyro-X: -6.23565674	Y: -3.15521240	Z: -10.34042358
        Accel-X: 9.08569336	Y: -2.07031250	Z: 0.67016602	|  Gyro-X: -8.68057251	Y: -2.69912720	Z: -7.70111084
        Accel-X: 9.02343750	Y: -2.53784180	Z: 0.71533203	|  Gyro-X: -0.44860840	Y: -2.10098267	Z: -7.79830933
        Accel-X: 9.01245117	Y: -2.37731934	Z: 0.79956055	|  Gyro-X: 8.43383789	Y: -2.07855225	Z: -10.31051636
        Accel-X: 9.12536621	Y: -1.80053711	Z: 0.93261719	|  Gyro-X: 9.12918091	Y: -1.57760620	Z: -10.51986694
        Accel-X: 8.98559570	Y: -1.81884766	Z: 0.89538574	|  Gyro-X: 4.49356079	Y: -0.62057495	Z: -8.95721436
        Accel-X: 9.06738281	Y: -2.01782227	Z: 0.78308105	|  Gyro-X: -1.30096436	Y: -1.09909058	Z: -5.56274414
        Accel-X: 9.03320312	Y: -2.11486816	Z: 0.70861816	|  Gyro-X: -2.88604736	Y: -0.53085327	Z: -3.88046265
        Accel-X: 8.99414062	Y: -2.14599609	Z: 0.77209473	|  Gyro-X: -2.44491577	Y: -0.45608521	Z: -3.44680786
        Accel-X: 9.10461426	Y: -1.95739746	Z: 0.64331055	|  Gyro-X: -2.65426636	Y: 0.02990723	Z: -3.22998047
        Accel-X: 8.91662598	Y: -1.83898926	Z: 0.72753906	|  Gyro-X: -4.73281860	Y: 1.02432251	Z: -2.54959106
        Accel-X: 8.94714355	Y: -1.97875977	Z: 0.68481445	|  Gyro-X: -7.34222412	Y: 0.77758789	Z: -2.38510132
        Accel-X: 8.98864746	Y: -2.34375000	Z: 0.56823730	|  Gyro-X: -2.11593628	Y: 1.09161377	Z: -2.79632568
        Accel-X: 8.97399902	Y: -1.93603516	Z: 0.65795898	|  Gyro-X: 3.79074097	Y: 1.23367310	Z: -3.31970215
        Accel-X: 9.08020020	Y: -1.51550293	Z: 0.73730469	|  Gyro-X: 5.07675171	Y: 0.77011108	Z: -5.11413574
        Accel-X: 9.13635254	Y: -1.56188965	Z: 0.52429199	|  Gyro-X: 0.99441528	Y: 1.87667847	Z: -4.64309692
        Accel-X: 9.08996582	Y: -1.77246094	Z: 0.56091309	|  Gyro-X: -0.22430420	Y: 2.37014771	Z: -3.64868164
        Accel-X: 8.95263672	Y: -2.06909180	Z: 0.57006836	|  Gyro-X: 7.81326294	Y: 2.01873779	Z: -2.58697510
        Accel-X: 9.05639648	Y: -1.64611816	Z: 0.62561035	|  Gyro-X: 12.20962524	Y: 0.62805176	Z: -4.69543457
        Accel-X: 9.03137207	Y: -1.45019531	Z: 0.66467285	|  Gyro-X: 12.16476440	Y: 1.18881226	Z: -5.94406128
        Accel-X: 8.80737305	Y: -2.00561523	Z: 0.50598145	|  Gyro-X: 14.46762085	Y: 2.27294922	Z: -6.73660278
        Accel-X: 8.83056641	Y: -2.06298828	Z: 0.84472656	|  Gyro-X: 35.44754028	Y: 1.50283813	Z: -11.95541382
        Accel-X: 9.14428711	Y: -1.07055664	Z: 1.07482910	|  Gyro-X: 36.50924683	Y: -0.49346924	Z: -15.11810303
        Accel-X: 9.09667969	Y: -1.12060547	Z: 0.77636719	|  Gyro-X: 25.22674561	Y: -1.19628906	Z: -14.12368774
        Accel-X: 8.95385742	Y: -1.47827148	Z: 0.56457520	|  Gyro-X: 17.33123779	Y: -1.21871948	Z: -13.47320557
        Accel-X: 9.11987305	Y: -1.35192871	Z: 0.50598145	|  Gyro-X: 9.27124023	Y: -3.70101929	Z: -14.04891968
        Accel-X: 8.97827148	Y: -1.49719238	Z: 0.52856445	|  Gyro-X: 2.23556519	Y: -3.39447021	Z: -10.99090576
        Accel-X: 8.86474609	Y: -1.66076660	Z: 0.49499512	|  Gyro-X: -2.60192871	Y: -4.81506348	Z: -7.25250244
        Accel-X: 8.91845703	Y: -2.36938477	Z: 0.60913086	|  Gyro-X: 7.97775269	Y: -4.91973877	Z: -3.34960938
        Accel-X: 9.16503906	Y: -2.41088867	Z: 0.98449707	|  Gyro-X: 16.59103394	Y: -6.56463623	Z: -5.24124146
        Accel-X: 9.04724121	Y: -1.67602539	Z: 1.17492676	|  Gyro-X: 17.92938232	Y: -4.43374634	Z: -4.41131592
        Accel-X: 8.96118164	Y: -2.88330078	Z: 1.89697266	|  Gyro-X: 21.83975220	Y: -4.20196533	Z: 1.65985107
        Accel-X: 9.82238770	Y: -4.74121094	Z: 4.80285645	|  Gyro-X: 48.64410400	Y: -5.66741943	Z: 7.21511841
        Accel-X: 10.52673340	Y: -3.62243652	Z: 8.03222656	|  Gyro-X: 86.42440796	Y: 3.37951660	Z: 1.58508301
