        Accel-X: 11.67968750	Y: -0.72021484	Z: 5.49743652	|  Gyro-X: 25.39123535	Y: 170.00015259	Z: 48.95065308
        Accel-X: 10.70373535	Y: -0.61462402	Z: 5.42480469	|  Gyro-X: 17.03216553	Y: 160.93078613	Z: 47.03659058
        Accel-X: 9.73876953	Y: -0.40832520	Z: 5.27404785	|  Gyro-X: 14.49005127	Y: 152.75115967	Z: 44.59167480
        Accel-X: 8.09448242	Y: 0.10498047	Z: 5.15869141	|  Gyro-X: 15.22277832	Y: 142.49298096	Z: 38.84201050
        Accel-X: 7.34802246	Y: -0.01770020	Z: 5.51452637	|  Gyro-X: 20.65093994	Y: 126.90383911	Z: 27.98568726
        Accel-X: 6.65527344	Y: 0.29968262	Z: 5.73425293	|  Gyro-X: 21.11450195	Y: 115.34469604	Z: 23.35006714
        Accel-X: 5.65979004	Y: 0.28869629	Z: 5.80688477	|  Gyro-X: 19.43222046	Y: 104.83230591	Z: 19.20791626
        Accel-X: 5.07507324	Y: 0.73730469	Z: 5.74401855	|  Gyro-X: 18.75930786	Y: 94.69375610	Z: 14.04144287
        Accel-X: 4.55261230	Y: 0.56396484	Z: 5.64575195	|  Gyro-X: 11.56661987	Y: 82.62619019	Z: 8.51608276
        Accel-X: 3.57055664	Y: 0.46020508	Z: 6.04003906	|  Gyro-X: 7.46932983	Y: 75.91949463	Z: 9.25628662
        Accel-X: 3.17443848	Y: 0.94421387	Z: 5.64697266	|  Gyro-X: 7.14782715	Y: 69.04083252	Z: 8.05999756
        Accel-X: 2.26501465	Y: 1.00585938	Z: 5.85327148	|  Gyro-X: 5.43563843	Y: 61.40701294	Z: 5.68984985
        Accel-X: 2.01721191	Y: 0.92834473	Z: 6.08642578	|  Gyro-X: -5.89172363	Y: 52.53952026	Z: 8.10485840
        Accel-X: 1.52221680	Y: 1.17675781	Z: 6.21704102	|  Gyro-X: -5.79452515	Y: 46.52816772	Z: 6.57958984
        Accel-X: 1.08764648	Y: 1.73889160	Z: 6.06384277	|  Gyro-X: -0.67291260	Y: 41.04766846	Z: 2.34024048
        Accel-X: 0.39916992	Y: 1.62536621	Z: 5.75927734	|  Gyro-X: -4.35897827	Y: 35.46997070	Z: 0.00747681
        Accel-X: 0.34912109	Y: 1.17736816	Z: 6.27380371	|  Gyro-X: -4.31411743	Y: 26.40060425	Z: -2.82623291
        Accel-X: 0.06042480	Y: 1.24511719	Z: 6.55395508	|  Gyro-X: -8.62823486	Y: 24.17251587	Z: -1.22619629
        Accel-X: -0.39978027	Y: 1.38122559	Z: 6.42089844	|  Gyro-X: -8.91235352	Y: 20.56121826	Z: -0.17196655
        Accel-X: -0.61828613	Y: 1.24572754	Z: 7.26135254	|  Gyro-X: -0.93460083	Y: 11.94793701	Z: -2.70660400
        Accel-X: -0.31738281	Y: 1.44470215	Z: 7.63549805	|  Gyro-X: -0.02243042	Y: 9.74227905	Z: -3.70101929
        Accel-X: -0.80749512	Y: 1.14379883	Z: 7.80761719	|  Gyro-X: -4.89730835	Y: 7.18521118	Z: -1.95144653
        Accel-X: -0.76660156	Y: 1.30432129	Z: 8.54919434	|  Gyro-X: -2.93090820	Y: 4.96459961	Z: -2.40005493
        Accel-X: -0.86181641	Y: 1.12854004	Z: 8.74938965	|  Gyro-X: 0.00000000	Y: 4.25430298	Z: -4.08981323
        Accel-X: -0.98571777	Y: 1.08886719	Z: 8.75000000	|  Gyro-X: -4.67300415	Y: 2.54211426	Z: -3.22998047
        Accel-X: -0.74279785	Y: 1.14074707	Z: 9.28161621	|  Gyro-X: -6.66931152	Y: -0.08224487	Z: -3.20755005
        Accel-X: -0.78369141	Y: 1.13647461	Z: 9.32373047	|  Gyro-X: -5.09170532	Y: -1.51031494	Z: -5.58517456
        Accel-X: -1.10290527	Y: 1.06689453	Z: 9.30053711	|  Gyro-X: -7.40203857	Y: -4.00756836	Z: -6.13845825
        Accel-X: -0.74401855	Y: 0.93566895	Z: 9.87487793	|  Gyro-X: -7.88055420	Y: -4.17205811	Z: -7.05062866
        Accel-X: -0.70922852	Y: 0.80383301	Z: 9.92797852	|  Gyro-X: -6.28051758	Y: -3.79074097	Z: -7.37960815
        Accel-X: -0.87707520	Y: 0.80932617	Z: 9.83398438	|  Gyro-X: -8.92730713	Y: -2.81875610	Z: -6.25061035
        Accel-X: -0.66101074	Y: 0.78613281	Z: 9.92858887	|  Gyro-X: -10.12359619	Y: -2.72903442	Z: -6.38519287
        Accel-X: -0.71228027	Y: 0.90026855	Z: 10.07934570	|  Gyro-X: -10.69931030	Y: -2.55706787	Z: -6.92352295
        Accel-X: -0.85388184	Y: 0.88378906	Z: 9.88891602	|  Gyro-X: -12.03765869	Y: -2.31033325	Z: -6.15341187
        Accel-X: -0.79040527	Y: 0.72204590	Z: 10.04333496	|  Gyro-X: -10.44509888	Y: -1.88415527	Z: -6.45248413
        Accel-X: -0.57250977	Y: 0.73669434	Z: 10.09216309	|  Gyro-X: -7.34970093	Y: -2.16079712	Z: -8.00018311
        Accel-X: -0.62255859	Y: 0.72082520	Z: 10.01953125	|  Gyro-X: -5.86929321	Y: -2.52716064	Z: -8.38150024
        Accel-X: -0.81237793	Y: 0.78125000	Z: 10.14099121	|  Gyro-X: -6.16088867	Y: -1.44302368	Z: -6.65435791
        Accel-X: -0.57617188	Y: 0.75317383	Z: 10.13610840	|  Gyro-X: -4.98703003	Y: 0.02243042	Z: -6.38519287
        Accel-X: -0.56579590	Y: 0.70739746	Z: 10.01464844	|  Gyro-X: -3.84307861	Y: 0.08972168	Z: -6.91604614
        Accel-X: -0.72265625	Y: 0.80627441	Z: 10.03173828	|  Gyro-X: -3.46176147	Y: -0.17944336	Z: -6.47491455
        Accel-X: -0.80627441	Y: 0.90087891	Z: 10.02319336	|  Gyro-X: -9.08432007	Y: 2.12341309	Z: -4.14215088
        Accel-X: -0.83923340	Y: 0.74584961	Z: 9.84985352	|  Gyro-X: -11.87316895	Y: 2.95333862	Z: -2.82623291
        Accel-X: -0.84045410	Y: 0.96191406	Z: 9.93347168	|  Gyro-X: -11.82830811	Y: 2.31781006	Z: -3.35708618
        Accel-X: -0.94482422	Y: 0.91674805	Z: 9.74792480	|  Gyro-X: -9.21890259	Y: 2.72155762	Z: -3.82812500
        Accel-X: -0.93566895	Y: 0.89172363	Z: 9.75402832	|  Gyro-X: -6.09359741	Y: 2.30285645	Z: -4.10476685
        Accel-X: -0.77392578	Y: 0.97412109	Z: 9.80895996	|  Gyro-X: -4.83001709	Y: 1.82434082	Z: -4.77020264
        Accel-X: -0.80322266	Y: 0.99182129	Z: 9.77783203	|  Gyro-X: -5.27114868	Y: 1.74957275	Z: -4.61318970
        Accel-X: -0.97778320	Y: 1.06567383	Z: 9.71191406	|  Gyro-X: -7.79083252	Y: 2.01126099	Z: -4.02999878
        Accel-X: -0.80078125	Y: 0.96557617	Z: 9.76867676	|  Gyro-X: -7.23754883	Y: 1.88415527	Z: -5.40573120
        Accel-X: -0.81970215	Y: 0.93017578	Z: 9.60144043	|  Gyro-X: -8.07495117	Y: 1.44302368	Z: -5.40573120
        Accel-X: -0.84655762	Y: 1.03515625	Z: 9.45068359	|  Gyro-X: -10.12359619	Y: 1.80191040	Z: -4.15710449
        Accel-X: -0.86303711	Y: 0.97290039	Z: 9.47326660	|  Gyro-X: -9.86938477	Y: 1.44302368	Z: -4.00756836
        Accel-X: -1.00524902	Y: 1.10107422	Z: 9.52087402	|  Gyro-X: -6.77398682	Y: 0.05233765	Z: -4.92721558
        Accel-X: -0.94604492	Y: 1.02661133	Z: 9.65209961	|  Gyro-X: -5.46554565	Y: -1.30844116	Z: -6.04125977
        
