        Accel-X: 17.42919922	Y: -17.13378906	Z: -19.99511719	|  Gyro-X: -11.33483887	Y: -243.32519531	Z: 234.92874146
        Accel-X: 19.99511719	Y: -12.11914062	Z: -19.99511719	|  Gyro-X: -67.23144531	Y: -243.32519531	Z: 244.51400757
        Accel-X: 19.99511719	Y: -11.22131348	Z: -19.99511719	|  Gyro-X: -84.02435303	Y: -243.32519531	Z: 243.78875732
        Accel-X: 19.99511719	Y: -6.83837891	Z: -19.99511719	|  Gyro-X: -72.92877197	Y: -243.32519531	Z: 210.24032593
        Accel-X: 19.99511719	Y: -9.75830078	Z: -19.99511719	|  Gyro-X: -82.80563354	Y: -243.32519531	Z: 203.83270264
        Accel-X: 19.99511719	Y: -9.09973145	Z: -10.05615234	|  Gyro-X: 45.18234253	Y: -243.32519531	Z: 119.64385986
        Accel-X: 19.99511719	Y: 9.26635742	Z: -8.34167480	|  Gyro-X: 146.34353638	Y: -243.32519531	Z: 40.69625854
        Accel-X: 19.99511719	Y: 2.91992188	Z: -1.45141602	|  Gyro-X: 45.50384521	Y: -143.66683960	Z: 81.54953003
        Accel-X: 19.94506836	Y: -1.16699219	Z: 2.61657715	|  Gyro-X: 111.83059692	Y: -98.68637085	Z: 20.79299927
        Accel-X: 13.58703613	Y: 3.33618164	Z: 1.72363281	|  Gyro-X: 202.37472534	Y: -103.68835449	Z: -39.24575806
        Accel-X: 10.65795898	Y: 5.49072266	Z: 4.69055176	|  Gyro-X: 218.12088013	Y: -56.27792358	Z: -46.68518066
        Accel-X: 2.67883301	Y: 5.85021973	Z: 7.20031738	|  Gyro-X: 178.31436157	Y: 24.98001099	Z: -33.78768921
        Accel-X: -0.14404297	Y: 3.17749023	Z: 5.31677246	|  Gyro-X: 66.88003540	Y: 39.79904175	Z: -2.38510132
        Accel-X: -1.94335938	Y: 3.07067871	Z: 3.31542969	|  Gyro-X: 4.05242920	Y: 26.25106812	Z: 24.36691284
        Accel-X: -3.03222656	Y: 1.46911621	Z: 1.60522461	|  Gyro-X: 9.63012695	Y: 76.65222168	Z: 35.64941406
        Accel-X: -3.42285156	Y: 0.02563477	Z: 0.20629883	|  Gyro-X: -29.69039917	Y: 147.10617065	Z: -16.43402100
        Accel-X: -5.10131836	Y: -1.66015625	Z: -3.05175781	|  Gyro-X: -40.84579468	Y: 188.32580566	Z: -80.42053223
