Accel-X: 5.83862305	Y: -0.69213867	Z: 0.55480957	|  Gyro-X: -28.72589111	Y: 4.40383911	Z: 52.03109741
        Accel-X: 2.57263184	Y: 0.23010254	Z: -0.17150879	|  Gyro-X: 16.05270386	Y: -4.59075928	Z: 41.98974609
        Accel-X: -0.03906250	Y: -0.37414551	Z: -1.29577637	|  Gyro-X: 39.88128662	Y: -10.91613770	Z: 31.58950806
        Accel-X: -2.90954590	Y: 0.01953125	Z: -1.14440918	|  Gyro-X: 30.69229126	Y: -15.00595093	Z: 8.74786377
        Accel-X: -3.71032715	Y: 1.72790527	Z: -0.73120117	|  Gyro-X: 13.86947632	Y: -19.23782349	Z: -8.21701050
        Accel-X: -1.02416992	Y: 1.30798340	Z: -0.10131836	|  Gyro-X: -11.99279785	Y: -21.69021606	Z: -10.60958862
        Accel-X: 1.88049316	Y: -0.59936523	Z: 0.59753418	|  Gyro-X: -27.64175415	Y: -17.63778687	Z: -6.85623169
        Accel-X: 3.90991211	Y: -1.66381836	Z: 1.47155762	|  Gyro-X: -8.63571167	Y: -8.18710327	Z: -0.63552856
        Accel-X: 8.99841309	Y: -1.00585938	Z: 1.82861328	|  Gyro-X: -2.16079712	Y: -26.74453735	Z: -10.96847534
        Accel-X: 18.21960449	Y: -1.10900879	Z: 1.09252930	|  Gyro-X: -22.82669067	Y: -73.39233398	Z: -14.95361328
        Accel-X: 19.99511719	Y: -1.38916016	Z: -1.09802246	|  Gyro-X: -104.10705566	Y: -78.82049561	Z: 7.20764160
        Accel-X: 19.99511719	Y: -6.59545898	Z: 1.23840332	|  Gyro-X: -53.85543823	Y: -9.68246460	Z: -13.97415161
        Accel-X: 19.99511719	Y: -2.28881836	Z: 1.12121582	|  Gyro-X: -33.50357056	Y: 20.68084717	Z: -46.90948486
        Accel-X: 19.99511719	Y: -2.28698730	Z: 2.27478027	|  Gyro-X: -38.77471924	Y: 22.97622681	Z: -28.27728271
        Accel-X: 12.45727539	Y: -1.10961914	Z: 4.89501953	|  Gyro-X: -3.15521240	Y: 56.71157837	Z: -8.10485840
        Accel-X: 2.88330078	Y: 2.68920898	Z: 5.70190430	|  Gyro-X: -22.72201538	Y: 68.72680664	Z: 3.83560181
        Accel-X: -6.49230957	Y: 2.75207520	Z: 4.25842285	|  Gyro-X: -65.07812500	Y: 27.88848877	Z: -2.34771729
        Accel-X: -3.62854004	Y: -0.66284180	Z: 3.79638672	|  Gyro-X: -93.69934082	Y: 0.68786621	Z: -8.26934814
        Accel-X: -2.22595215	Y: -0.72082520	Z: 2.08923340	|  Gyro-X: -55.91903687	Y: 27.07351685	Z: -68.37539673
        Accel-X: -4.05578613	Y: 0.68969727	Z: -0.49743652	|  Gyro-X: -54.13208008	Y: 43.26828003	Z: -87.50106812
        Accel-X: -2.66174316	Y: 0.37841797	Z: -0.60363770	|  Gyro-X: -80.56259155	Y: 44.05334473	Z: -87.38143921
        Accel-X: -0.80200195	Y: 0.27282715	Z: -0.62988281	|  Gyro-X: -103.42666626	Y: 57.41439819	Z: -84.28604126
        Accel-X: 3.78295898	Y: -1.04309082	Z: -2.87780762	|  Gyro-X: -152.61657715	Y: 65.95291138	Z: -67.12677002
        Accel-X: 10.01403809	Y: -1.88598633	Z: -5.83007812	|  Gyro-X: -200.95413208	Y: 50.04226685	Z: -61.59393311
        Accel-X: 19.91882324	Y: -2.80761719	Z: -11.34582520	|  Gyro-X: -243.54949951	Y: 42.97668457	Z: -50.97686768
        Accel-X: 19.99511719	Y: -6.38671875	Z: -14.54895020	|  Gyro-X: -243.92333984	Y: 93.01895142	Z: -27.34268188
        Accel-X: 16.89514160	Y: -13.05541992	Z: -9.28161621	|  Gyro-X: -243.92333984	Y: 65.36972046	Z: -10.81146240
        Accel-X: 19.98229980	Y: -17.65747070	Z: -12.31140137	|  Gyro-X: -204.62524414	Y: -54.61807251	Z: -4.58328247
        Accel-X: 19.99511719	Y: -19.43969727	Z: -19.99511719	|  Gyro-X: -99.34432983	Y: -102.02850342	Z: 20.28457642
        Accel-X: 19.99511719	Y: -19.99511719	Z: -19.99511719	|  Gyro-X: -67.36602783	Y: -138.15643311	Z: 70.54367065
        Accel-X: 19.99511719	Y: -19.99511719	Z: -19.99511719	|  Gyro-X: -178.98727417	Y: -244.26727295	Z: 119.09057617
        Accel-X: 19.99511719	Y: -19.99511719	Z: -19.99511719	|  Gyro-X: -217.20870972	Y: -244.76074219	Z: 147.92114258
        Accel-X: 19.99511719	Y: -19.99511719	Z: -19.99511719	|  Gyro-X: -210.79360962	Y: -244.76074219	Z: 154.87457275
        Accel-X: 19.99511719	Y: -19.09790039	Z: -19.99511719	|  Gyro-X: -243.50463867	Y: -244.76074219	Z: 118.70178223
        Accel-X: 19.99511719	Y: -17.76611328	Z: -19.99511719	|  Gyro-X: -221.47796631	Y: -244.76074219	Z: 90.04318237
        Accel-X: 19.99511719	Y: -12.48107910	Z: -19.99511719	|  Gyro-X: -172.97592163	Y: -244.76074219	Z: 72.65213013
        Accel-X: 19.99511719	Y: -9.82299805	Z: -17.16125488	|  Gyro-X: -95.19470215	Y: -244.76074219	Z: 70.75302124
        Accel-X: 19.99511719	Y: -4.79187012	Z: -4.55261230	|  Gyro-X: 24.57626343	Y: -244.76074219	Z: 75.25405884
        Accel-X: 19.99511719	Y: 1.75354004	Z: 1.36230469	|  Gyro-X: 24.42672729	Y: -244.76074219	Z: 74.30450439
        Accel-X: 19.99511719	Y: 4.57275391	Z: 2.33154297	|  Gyro-X: -3.92532349	Y: -244.76074219	Z: 48.63662720
        Accel-X: 19.99511719	Y: 2.56347656	Z: 7.78137207	|  Gyro-X: -4.78515625	Y: -196.53533936	Z: 32.06054688
        Accel-X: 19.40063477	Y: 0.66101074	Z: 19.99511719	|  Gyro-X: 102.18551636	Y: -107.16506958	Z: 24.06036377
        Accel-X: 6.09191895	Y: 0.57312012	Z: 17.81005859	|  Gyro-X: 244.63363647	Y: -160.96069336	Z: -16.13494873
        Accel-X: 7.12829590	Y: 11.11938477	Z: 8.28430176	|  Gyro-X: 234.48760986	Y: -116.98211670	Z: -27.91839600
        Accel-X: 1.38549805	Y: 11.15417480	Z: 10.44982910	|  Gyro-X: 84.79446411	Y: -95.02273560	Z: -7.02819824
        Accel-X: -3.17321777	Y: 5.58715820	Z: 13.91601562	|  Gyro-X: 5.03189087	Y: -89.93850708	Z: -3.86550903
        Accel-X: -9.12048340	Y: 1.83776855	Z: 12.00927734	|  Gyro-X: 14.25827026	Y: -54.88723755	Z: -9.61517334
        Accel-X: -8.82080078	Y: 1.87133789	Z: 6.10107422	|  Gyro-X: 22.21359253	Y: -4.29168701	Z: -33.24935913
        Accel-X: -9.44335938	Y: 1.05468750	Z: 3.45031738	|  Gyro-X: 2.18322754	Y: 8.69552612	Z: -35.17089844
        Accel-X: -10.72998047	Y: -3.31542969	Z: 3.86596680	|  Gyro-X: -21.45843506	Y: 12.78533936	Z: -33.12973022
        Accel-X: -8.81164551	Y: -5.70983887	Z: 2.79418945	|  Gyro-X: -2.54211426	Y: 21.54815674	Z: -30.39321899
        Accel-X: -10.02990723	Y: -2.17468262	Z: 0.37475586	|  Gyro-X: 14.81903076	Y: 32.09045410	Z: -8.72543335
        Accel-X: -10.25634766	Y: -2.81616211	Z: -0.92041016	|  Gyro-X: -43.01406860	Y: 25.07720947	Z: 0.40374756
        Accel-X: -10.64941406	Y: -4.37500000	Z: -1.08825684	|  Gyro-X: -30.66986084	Y: 28.83056641	Z: -1.29348755
        Accel-X: -10.90759277	Y: -2.82104492	Z: -2.08129883	|  Gyro-X: -6.66931152	Y: 28.15017700	Z: -1.45797729
        Accel-X: -11.04125977	Y: -1.64978027	Z: -2.53601074	|  Gyro-X: -9.71237183	Y: 24.59869385	Z: 0.76263428
        Accel-X: -11.47094727	Y: -2.66174316	Z: -2.67456055	|  Gyro-X: -3.45428467	Y: 26.00433350	Z: -3.12530518
        Accel-X: -11.35864258	Y: -2.48657227	Z: -3.17443848	|  Gyro-X: 7.49923706	Y: 24.40429688	Z: -5.14404297
        Accel-X: -11.28112793	Y: -1.61926270	Z: -3.62426758	|  Gyro-X: 0.53085327	Y: 21.95938110	Z: -3.32717896
        Accel-X: -11.22558594	Y: -2.14660645	Z: -3.67004395	|  Gyro-X: -7.68615723	Y: 18.46771240	Z: -2.76641846
        Accel-X: -11.22131348	Y: -3.09326172	Z: -3.51501465	|  Gyro-X: 2.48229980	Y: 16.46392822	Z: -4.68048096
        Accel-X: -10.80932617	Y: -1.73400879	Z: -3.85253906	|  Gyro-X: 3.57391357	Y: 13.84704590	Z: -2.16079712
        Accel-X: -10.73059082	Y: -2.22595215	Z: -3.64257812	|  Gyro-X: -7.72354126	Y: 9.38339233	Z: 0.43365479
        Accel-X: -10.75317383	Y: -2.57812500	Z: -3.42285156	|  Gyro-X: -0.99441528	Y: 5.93658447	Z: -1.68975830
        Accel-X: -10.47302246	Y: -2.47070312	Z: -3.10058594	|  Gyro-X: 9.40582275	Y: 3.04306030	Z: -2.92343140
        Accel-X: -10.76538086	Y: -1.33605957	Z: -3.12927246	|  Gyro-X: 9.77218628	Y: 2.49725342	Z: -1.51031494
        Accel-X: -10.87463379	Y: -1.85974121	Z: -2.90771484	|  Gyro-X: -2.10098267	Y: 0.34393311	Z: -1.89910889
        Accel-X: -10.68359375	Y: -2.03430176	Z: -2.59826660	|  Gyro-X: -4.11972046	Y: -0.67291260	Z: -1.20376587
        Accel-X: -10.50354004	Y: -1.71630859	Z: -2.58605957	|  Gyro-X: -3.45428467	Y: 0.20935059	Z: -1.47293091
        Accel-X: -10.60729980	Y: -1.53259277	Z: -2.59277344	|  Gyro-X: -3.23745728	Y: 0.15701294	Z: -2.61688232
        Accel-X: -10.60729980	Y: -2.02331543	Z: -2.46948242	|  Gyro-X: -2.50473022	Y: -0.87478638	Z: -4.44122314
        Accel-X: -10.48217773	Y: -1.76940918	Z: -2.70385742	|  Gyro-X: 3.06549072	Y: -0.08224487	Z: -5.68237305
        Accel-X: -10.61889648	Y: -1.62597656	Z: -2.88085938	|  Gyro-X: 2.90847778	Y: -0.30654907	Z: -6.09359741
        Accel-X: -10.60729980	Y: -1.91223145	Z: -2.58483887	|  Gyro-X: -9.19647217	Y: -2.01873779	Z: -4.64309692
        Accel-X: -10.57495117	Y: -2.16613770	Z: -2.06176758	|  Gyro-X: -9.23385620	Y: -1.21124268	Z: -3.40194702
        Accel-X: -10.87280273	Y: -1.94519043	Z: -2.86926270	|  Gyro-X: -1.60751343	Y: 2.13088989	Z: -3.64120483
        Accel-X: -10.77697754	Y: -1.43066406	Z: -2.95410156	|  Gyro-X: -2.09350586	Y: 1.17385864	Z: -4.53094482
        Accel-X: -10.62255859	Y: -1.68029785	Z: -2.45605469	|  Gyro-X: -9.58526611	Y: -0.32897949	Z: -4.23187256
        Accel-X: -10.65185547	Y: -1.85485840	Z: -2.63061523	|  Gyro-X: -6.52725220	Y: 0.62805176	Z: -4.35150146
        Accel-X: -10.56457520	Y: -1.39587402	Z: -3.08593750	|  Gyro-X: -4.95712280	Y: 1.09161377	Z: -5.80200195
        Accel-X: -10.52490234	Y: -1.57043457	Z: -2.71850586	|  Gyro-X: -13.94424438	Y: -0.36636353	Z: -5.52536011
        Accel-X: -10.44860840	Y: -1.89270020	Z: -2.42980957	|  Gyro-X: -10.85632324	Y: -0.22430420	Z: -6.55715942
        Accel-X: -10.52490234	Y: -1.85668945	Z: -2.69653320	|  Gyro-X: -7.43194580	Y: 2.07855225	Z: -7.46932983
        Accel-X: -10.71899414	Y: -1.81945801	Z: -2.75390625	|  Gyro-X: -9.21142578	Y: 2.04864502	Z: -7.86560059
        Accel-X: -10.71655273	Y: -2.24121094	Z: -2.33947754	|  Gyro-X: -12.47879028	Y: 0.36636353	Z: -6.93847656
        Accel-X: -10.39184570	Y: -2.12219238	Z: -2.50488281	|  Gyro-X: -6.78146362	Y: 1.32339478	Z: -7.78335571
        Accel-X: -10.54138184	Y: -2.14843750	Z: -2.66174316	|  Gyro-X: -6.34033203	Y: 1.55517578	Z: -8.73291016
        Accel-X: -10.71228027	Y: -2.18505859	Z: -2.33154297	|  Gyro-X: -9.72732544	Y: -0.03738403	Z: -7.90298462
        Accel-X: -10.65734863	Y: -2.50915527	Z: -2.28210449	|  Gyro-X: -6.15341187	Y: 0.88226318	Z: -7.82073975
        Accel-X: -10.38879395	Y: -2.19177246	Z: -2.59399414	|  Gyro-X: -1.08413696	Y: 2.60940552	Z: -8.47869873
        Accel-X: -10.66589355	Y: -2.23632812	Z: -2.31994629	|  Gyro-X: -7.09548950	Y: 2.75894165	Z: -8.10485840
        Accel-X: -10.61218262	Y: -2.46032715	Z: -2.27111816	|  Gyro-X: -6.13845825	Y: 3.08792114	Z: -7.25250244
        Accel-X: -10.46325684	Y: -2.40722656	Z: -2.44995117	|  Gyro-X: -2.98324585	Y: 3.43933105	Z: -7.32727051
        Accel-X: -10.54809570	Y: -2.28149414	Z: -2.42126465	|  Gyro-X: -1.92153931	Y: 2.91595459	Z: -6.79641724
        Accel-X: -10.46997070	Y: -2.35168457	Z: -2.07702637	|  Gyro-X: -1.69723511	Y: 1.77947998	Z: -6.18331909
        Accel-X: -10.56945801	Y: -2.11364746	Z: -2.46093750	|  Gyro-X: 1.75704956	Y: 3.17764282	Z: -6.05621338
        Accel-X: -10.48645020	Y: -1.77917480	Z: -2.50549316	|  Gyro-X: -1.91406250	Y: 2.19070435	Z: -6.27304077
        Accel-X: -10.40161133	Y: -2.00744629	Z: -2.22473145	|  Gyro-X: -8.10485840	Y: 1.76452637	Z: -6.25808716
