        Accel-X: 8.27697754	Y: -6.49963379	Z: 1.32995605	|  Gyro-X: 192.66235352	Y: -23.28277588	Z: -2.28790283
        Accel-X: 9.05517578	Y: -9.79492188	Z: 1.24816895	|  Gyro-X: 188.39309692	Y: -14.79660034	Z: 43.73184204
        Accel-X: 8.98376465	Y: -11.58447266	Z: 1.74621582	|  Gyro-X: 161.05789185	Y: -6.15341187	Z: 81.20559692
        Accel-X: 9.56359863	Y: -12.12951660	Z: 5.27282715	|  Gyro-X: 157.09518433	Y: -2.39257812	Z: 122.79907227
        Accel-X: 12.91198730	Y: -14.83398438	Z: 6.67236328	|  Gyro-X: 80.27847290	Y: 23.72390747	Z: 186.12014771
        Accel-X: 15.73913574	Y: -19.69177246	Z: 5.93505859	|  Gyro-X: -9.00955200	Y: 42.16918945	Z: 244.45419312
        Accel-X: 18.94409180	Y: -19.99511719	Z: 4.38110352	|  Gyro-X: -47.08892822	Y: 31.89605713	Z: 244.52148438
        Accel-X: 19.99511719	Y: -19.99511719	Z: 3.07983398	|  Gyro-X: -35.62698364	Y: -2.52716064	Z: 244.52148438
        Accel-X: 19.99511719	Y: -19.99511719	Z: 2.27966309	|  Gyro-X: 10.12359619	Y: -22.14630127	Z: 244.52148438
        Accel-X: 19.99511719	Y: -19.91760254	Z: 2.79602051	|  Gyro-X: 45.37673950	Y: -16.06018066	Z: 244.52148438
        Accel-X: 19.99511719	Y: -18.05847168	Z: 2.16430664	|  Gyro-X: 42.38601685	Y: -4.74777222	Z: 244.52148438
        Accel-X: 17.06298828	Y: -13.20861816	Z: 0.67077637	|  Gyro-X: -2.19070435	Y: 18.48266602	Z: 244.52148438
        Accel-X: 14.45373535	Y: -12.97912598	Z: 1.37084961	|  Gyro-X: -23.56689453	Y: 24.62860107	Z: 244.52148438
        Accel-X: 13.25195312	Y: -10.00549316	Z: 0.22705078	|  Gyro-X: 14.92370605	Y: 13.42834473	Z: 244.52148438
        Accel-X: 11.65344238	Y: -5.83435059	Z: -4.18884277	|  Gyro-X: 56.30783081	Y: 12.92739868	Z: 244.52148438
        Accel-X: 10.19531250	Y: -3.44482422	Z: -3.74938965	|  Gyro-X: 55.17135620	Y: 20.26214600	Z: 244.52148438
        Accel-X: 5.33020020	Y: 2.23754883	Z: -1.84936523	|  Gyro-X: 20.79299927	Y: 19.56680298	Z: 244.52148438
        Accel-X: 2.07824707	Y: 2.04711914	Z: -3.99963379	|  Gyro-X: 46.08703613	Y: 5.24871826	Z: 244.09530640
        Accel-X: 0.96374512	Y: 3.16589355	Z: -5.88378906	|  Gyro-X: 82.61871338	Y: -7.43194580	Z: 201.13357544
        Accel-X: -2.01660156	Y: 7.52258301	Z: -4.32617188	|  Gyro-X: 95.42648315	Y: -3.72344971	Z: 153.50631714
        Accel-X: -4.65270996	Y: 8.12622070	Z: -2.43164062	|  Gyro-X: 56.02371216	Y: 0.20187378	Z: 113.87176514
        Accel-X: -6.34155273	Y: 6.83715820	Z: -1.85791016	|  Gyro-X: 33.06243896	Y: -8.40393066	Z: 62.37152100
        Accel-X: -8.39843750	Y: 5.42358398	Z: -0.46325684	|  Gyro-X: 52.06100464	Y: -20.96496582	Z: 26.63238525
        Accel-X: -8.45886230	Y: 4.90905762	Z: 1.00158691	|  Gyro-X: 50.40863037	Y: -23.64913940	Z: 1.30096436
        Accel-X: -9.38659668	Y: 4.61791992	Z: 1.81762695	|  Gyro-X: 29.38385010	Y: -15.74615479	Z: -10.04882812
        Accel-X: -11.28234863	Y: 2.78076172	Z: 2.66540527	|  Gyro-X: 12.05261230	Y: -8.14971924	Z: -14.43771362
        Accel-X: -11.85058594	Y: 0.98999023	Z: 2.59826660	|  Gyro-X: 23.12576294	Y: -3.91036987	Z: -19.31259155
        Accel-X: -11.73095703	Y: 2.19177246	Z: 3.02429199	|  Gyro-X: 44.92813110	Y: 0.02243042	Z: -19.34249878
        Accel-X: -11.36901855	Y: 2.69348145	Z: 2.73254395	|  Gyro-X: 8.62075806	Y: 8.68057251	Z: -10.99838257
        Accel-X: -11.88476562	Y: 1.08581543	Z: 1.78649902	|  Gyro-X: -3.51409912	Y: 10.86380005	Z: -3.08792114
        Accel-X: -11.90490723	Y: 0.94421387	Z: 1.73217773	|  Gyro-X: 12.89749146	Y: 6.96090698	Z: -1.04675293
        Accel-X: -11.64245605	Y: 1.76391602	Z: 1.22192383	|  Gyro-X: 24.95758057	Y: 5.21133423	Z: -1.20376587
        Accel-X: -11.02905273	Y: 1.99157715	Z: 1.07299805	|  Gyro-X: 18.72192383	Y: 2.47482300	Z: -1.45050049
        Accel-X: -11.40625000	Y: 1.99218750	Z: 1.15112305	|  Gyro-X: 16.09756470	Y: -0.50842285	Z: 0.61309814
        Accel-X: -11.14379883	Y: 2.05749512	Z: 1.37145996	|  Gyro-X: 16.65084839	Y: -4.70291138	Z: -1.14395142
        Accel-X: -10.76904297	Y: 1.75231934	Z: 1.89758301	|  Gyro-X: 18.45275879	Y: -5.54779053	Z: -1.39068604
        Accel-X: -10.59326172	Y: 2.41333008	Z: 1.85607910	|  Gyro-X: 17.56301880	Y: -1.56265259	Z: -0.85235596
        Accel-X: -10.62011719	Y: 2.51525879	Z: 1.67358398	|  Gyro-X: 7.62634277	Y: 0.84487915	Z: -0.13458252
        Accel-X: -10.72509766	Y: 2.03918457	Z: 1.74987793	|  Gyro-X: 4.78515625	Y: 1.68228149	Z: -1.63742065
        Accel-X: -10.57373047	Y: 1.89636230	Z: 1.85302734	|  Gyro-X: 8.35159302	Y: 2.61688232	Z: -4.79263306
        Accel-X: -10.77270508	Y: 2.01965332	Z: 1.37878418	|  Gyro-X: 14.63211060	Y: 4.00009155	Z: -5.18142700
        Accel-X: -10.84289551	Y: 2.15515137	Z: 1.51672363	|  Gyro-X: 15.79849243	Y: 2.94586182	Z: -6.18331909
        Accel-X: -10.91247559	Y: 1.77246094	Z: 1.48132324	|  Gyro-X: 10.10116577	Y: 2.78884888	Z: -5.89172363
        Accel-X: -11.01440430	Y: 1.80114746	Z: 1.73217773	|  Gyro-X: 6.49734497	Y: 1.86172485	Z: -5.04684448
        Accel-X: -11.04431152	Y: 1.45935059	Z: 1.54296875	|  Gyro-X: 9.40582275	Y: 1.27105713	Z: -5.95153809
