        Accel-X: -1.15417480	Y: 2.26928711	Z: 6.89697266	|  Gyro-X: 8.62075806	Y: 15.97045898	Z: -4.60571289
        Accel-X: -1.16027832	Y: 2.29553223	Z: 8.07922363	|  Gyro-X: 0.71029663	Y: 11.84326172	Z: -3.34213257
        Accel-X: -1.01684570	Y: 2.29003906	Z: 9.33959961	|  Gyro-X: 3.66363525	Y: 9.54788208	Z: 0.78506470
        Accel-X: -1.34155273	Y: 2.99072266	Z: 9.27368164	|  Gyro-X: 14.69192505	Y: 10.13107300	Z: -3.60382080
        Accel-X: -1.20056152	Y: 2.14843750	Z: 9.84191895	|  Gyro-X: 15.24520874	Y: 6.95343018	Z: -7.85812378
        Accel-X: -1.13708496	Y: 1.91223145	Z: 10.09582520	|  Gyro-X: 7.70858765	Y: 7.35717773	Z: -5.52536011
        Accel-X: -1.27624512	Y: 2.01721191	Z: 9.95117188	|  Gyro-X: -6.66931152	Y: 10.18341064	Z: 0.75515747
        Accel-X: -1.56921387	Y: 2.14721680	Z: 9.86145020	|  Gyro-X: -4.69543457	Y: 8.83010864	Z: -2.31033325
        Accel-X: -1.53564453	Y: 1.53503418	Z: 9.66003418	|  Gyro-X: 0.59066772	Y: 9.15908813	Z: -4.98703003
        Accel-X: -1.51489258	Y: 1.56066895	Z: 9.19372559	|  Gyro-X: 7.05810547	Y: 8.81515503	Z: -3.94027710
        Accel-X: -1.75170898	Y: 1.95617676	Z: 9.63745117	|  Gyro-X: 0.85983276	Y: 7.01324463	Z: -3.42437744
        Accel-X: -1.96166992	Y: 1.62475586	Z: 9.39941406	|  Gyro-X: -4.04495239	Y: 7.50671387	Z: -2.60192871
        Accel-X: -1.94091797	Y: 1.70654297	Z: 9.34814453	|  Gyro-X: 0.69534302	Y: 4.82254028	Z: -3.46176147
        Accel-X: -1.80603027	Y: 1.99523926	Z: 9.43054199	|  Gyro-X: 2.50473022	Y: 2.69912720	Z: -2.87857056
        Accel-X: -1.99035645	Y: 1.97998047	Z: 9.46899414	|  Gyro-X: 2.10845947	Y: 4.53094482	Z: -2.02621460
        Accel-X: -2.07458496	Y: 2.27233887	Z: 9.36828613	|  Gyro-X: 7.68615723	Y: 3.62625122	Z: -4.16458130
        Accel-X: -2.14233398	Y: 2.44628906	Z: 9.46472168	|  Gyro-X: 7.64129639	Y: 2.82623291	Z: -5.04684448
        Accel-X: -1.72424316	Y: 1.82800293	Z: 10.10314941	|  Gyro-X: 5.80200195	Y: 3.94027710	Z: -4.80010986
        Accel-X: -1.75659180	Y: 2.26318359	Z: 10.01342773	|  Gyro-X: 15.36483765	Y: 2.84866333	Z: -9.85443115
        Accel-X: -1.89697266	Y: 1.75231934	Z: 10.13977051	|  Gyro-X: 14.91622925	Y: 1.29348755	Z: -14.04891968
        Accel-X: -1.86706543	Y: 1.52404785	Z: 9.96826172	|  Gyro-X: 5.86181641	Y: 2.01126099	Z: -11.34979248
        Accel-X: -1.70715332	Y: 0.68847656	Z: 9.76562500	|  Gyro-X: -2.62435913	Y: 3.60382080	Z: -7.88055420
        Accel-X: -1.74194336	Y: 0.71899414	Z: 9.96398926	|  Gyro-X: 3.40194702	Y: 4.06738281	Z: -5.66741943
        Accel-X: -1.96838379	Y: 0.63049316	Z: 9.76440430	|  Gyro-X: 9.40582275	Y: 4.10476685	Z: -3.94775391
        Accel-X: -2.02941895	Y: 1.16394043	Z: 9.53125000	|  Gyro-X: 9.70489502	Y: 4.05242920	Z: 0.29159546
        Accel-X: -2.18872070	Y: 1.83349609	Z: 9.25720215	|  Gyro-X: 6.97586060	Y: 4.00009155	Z: 1.33087158
        Accel-X: -1.98852539	Y: 1.79687500	Z: 9.56909180	|  Gyro-X: 3.74588013	Y: 1.07666016	Z: -1.08413696
        Accel-X: -1.99096680	Y: 2.11120605	Z: 9.53979492	|  Gyro-X: 0.23925781	Y: 0.84487915	Z: -0.04486084
        Accel-X: -2.12463379	Y: 2.29492188	Z: 9.57214355	|  Gyro-X: 2.19818115	Y: 0.53833008	Z: -2.52716064
        Accel-X: -1.84631348	Y: 2.17712402	Z: 9.77539062	|  Gyro-X: 7.40203857	Y: -1.77947998	Z: -6.46743774
