        Accel-X: 19.99511719	Y: -19.58068848	Z: 4.55932617	|  Gyro-X: -11.61148071	Y: 51.16378784	Z: 244.52148438
        Accel-X: 19.99511719	Y: -14.09179688	Z: 4.05761719	|  Gyro-X: 54.17694092	Y: 66.93237305	Z: 244.52148438
        Accel-X: 19.99511719	Y: -9.72106934	Z: 2.38342285	|  Gyro-X: 59.82940674	Y: 92.83950806	Z: 244.52148438
        Accel-X: 19.83520508	Y: -5.66528320	Z: 1.95800781	|  Gyro-X: 28.07540894	Y: 109.99130249	Z: 244.52148438
        Accel-X: 15.05310059	Y: -2.90832520	Z: -0.50659180	|  Gyro-X: 2.74398804	Y: 105.34072876	Z: 244.52148438
        Accel-X: 11.81152344	Y: -1.53381348	Z: -2.42065430	|  Gyro-X: -3.49914551	Y: 83.14956665	Z: 244.52148438
        Accel-X: 8.56750488	Y: -1.17919922	Z: -3.47229004	|  Gyro-X: 21.02478027	Y: 45.75057983	Z: 244.52148438
        Accel-X: 3.79028320	Y: 2.02026367	Z: -2.74597168	|  Gyro-X: 63.46313477	Y: 39.18594360	Z: 244.52148438
        Accel-X: 0.58898926	Y: 4.86083984	Z: -3.39416504	|  Gyro-X: 92.91427612	Y: 33.61572266	Z: 222.13592529
        Accel-X: -3.41186523	Y: 5.83129883	Z: -4.37072754	|  Gyro-X: 88.25622559	Y: 27.07351685	Z: 168.72161865
        Accel-X: -5.00000000	Y: 5.54077148	Z: -3.96972656	|  Gyro-X: 82.59628296	Y: 19.85092163	Z: 122.21588135
        Accel-X: -5.98937988	Y: 5.45532227	Z: -3.12988281	|  Gyro-X: 79.06723022	Y: 14.68444824	Z: 83.41873169
        Accel-X: -7.57019043	Y: 5.91918945	Z: -2.07275391	|  Gyro-X: 64.61456299	Y: 12.32925415	Z: 50.43106079
        Accel-X: -9.05639648	Y: 4.99267578	Z: -1.31835938	|  Gyro-X: 38.22143555	Y: 9.56283569	Z: 28.71841431
        Accel-X: -10.22888184	Y: 3.51806641	Z: -0.41564941	|  Gyro-X: 28.57635498	Y: 3.91784668	Z: 8.87496948
        Accel-X: -11.48315430	Y: 3.01574707	Z: 0.66772461	|  Gyro-X: 41.15234375	Y: 0.80749512	Z: -15.55923462
        Accel-X: -11.95068359	Y: 2.80395508	Z: 1.17736816	|  Gyro-X: 28.09036255	Y: 2.05612183	Z: -23.39492798
        Accel-X: -12.27478027	Y: 2.15026855	Z: 1.57104492	|  Gyro-X: 1.82434082	Y: 3.73840332	Z: -23.28277588
