        Accel-X: -7.32849121	Y: 1.44958496	Z: -1.10351562	|  Gyro-X: 2.02621460	Y: 2.53463745	Z: -11.03576660
        Accel-X: -8.90563965	Y: 0.12939453	Z: 0.39489746	|  Gyro-X: 16.53121948	Y: 11.19277954	Z: -18.12377930
        Accel-X: -9.88098145	Y: -0.41564941	Z: 0.99487305	|  Gyro-X: 23.72390747	Y: 7.03567505	Z: -12.75543213
        Accel-X: -10.08178711	Y: -0.60119629	Z: 1.09252930	|  Gyro-X: 11.74606323	Y: -2.41500854	Z: -15.82839966
        Accel-X: -10.52978516	Y: -1.22253418	Z: 1.53259277	|  Gyro-X: -8.62075806	Y: 9.74227905	Z: -11.64886475
        Accel-X: -11.74438477	Y: -2.61047363	Z: 1.57287598	|  Gyro-X: -14.67697144	Y: 18.95370483	Z: -10.34790039
        Accel-X: -12.28027344	Y: -2.93823242	Z: 0.98815918	|  Gyro-X: 2.58697510	Y: 21.60797119	Z: -4.32907104
        Accel-X: -12.42370605	Y: -1.50878906	Z: 0.01708984	|  Gyro-X: 19.45465088	Y: 12.72552490	Z: 3.39447021
        Accel-X: -11.74926758	Y: -0.75317383	Z: 0.35583496	|  Gyro-X: -1.71966553	Y: -1.55517578	Z: 4.32159424
        Accel-X: -11.32202148	Y: -1.39770508	Z: 0.50720215	|  Gyro-X: -2.16079712	Y: -0.42617798	Z: 5.24124146
        Accel-X: -11.25915527	Y: -0.99243164	Z: -0.04394531	|  Gyro-X: 11.46942139	Y: 2.89352417	Z: 4.46365356
        Accel-X: -10.89477539	Y: -0.49804688	Z: -0.88195801	|  Gyro-X: 12.91992188	Y: -1.62994385	Z: 1.62246704
        Accel-X: -10.58715820	Y: -0.36071777	Z: -0.34179688	|  Gyro-X: 9.09179688	Y: -4.69543457	Z: -1.51031494
        Accel-X: -10.41198730	Y: -0.24780273	Z: 0.12573242	|  Gyro-X: 6.11602783	Y: -3.80569458	Z: -3.67858887
        Accel-X: -10.49926758	Y: -0.64270020	Z: 0.30456543	|  Gyro-X: 5.19638062	Y: -0.80749512	Z: -4.65805054
        Accel-X: -10.63049316	Y: -0.47180176	Z: 0.02441406	|  Gyro-X: 8.38897705	Y: 1.09909058	Z: -4.92721558
        Accel-X: -10.67260742	Y: -0.80017090	Z: 0.31860352	|  Gyro-X: 7.30484009	Y: -0.28411865	Z: -5.55526733
        Accel-X: -10.97167969	Y: -0.73547363	Z: 0.61462402	|  Gyro-X: 4.90478516	Y: 5.97396851	Z: -4.48608398
        Accel-X: -11.19873047	Y: -0.62622070	Z: 0.32043457	|  Gyro-X: -3.33465576	Y: 8.40393066	Z: -3.15521240
        Accel-X: -11.24389648	Y: -0.93505859	Z: 0.13183594	|  Gyro-X: -5.27114868	Y: 7.55905151	Z: -4.40383911
        Accel-X: -11.44653320	Y: -1.47521973	Z: -0.13183594	|  Gyro-X: 0.82992554	Y: 8.06747437	Z: -5.64498901
        Accel-X: -11.66992188	Y: -1.22436523	Z: 0.27832031	|  Gyro-X: 6.69174194	Y: 6.35528564	Z: -5.78704834
        Accel-X: -11.51733398	Y: -0.86853027	Z: 0.43151855	|  Gyro-X: 3.57391357	Y: 1.86172485	Z: -4.05242920
        Accel-X: -11.41967773	Y: -1.26708984	Z: 0.22644043	|  Gyro-X: -2.37014771	Y: 1.35330200	Z: -1.89163208
