Accel-X: 9.22607422	Y: -3.14758301	Z: 0.62500000	|  Gyro-X: -8.38897705	Y: -0.52337646	Z: -4.99450684
        Accel-X: 9.24316406	Y: -3.16040039	Z: 0.67749023	|  Gyro-X: -7.97775269	Y: -0.50842285	Z: -4.91226196
        Accel-X: 9.24865723	Y: -3.16101074	Z: 0.63293457	|  Gyro-X: -8.05252075	Y: -0.53833008	Z: -5.33843994
        Accel-X: 9.23156738	Y: -3.16711426	Z: 0.62072754	|  Gyro-X: -8.15719604	Y: -0.66543579	Z: -5.27862549
        Accel-X: 9.29504395	Y: -3.16589355	Z: 0.69580078	|  Gyro-X: -8.50860596	Y: -0.82244873	Z: -5.52536011
        Accel-X: 9.22607422	Y: -3.17199707	Z: 0.67749023	|  Gyro-X: -8.55346680	Y: -0.72525024	Z: -5.07675171
        Accel-X: 9.21081543	Y: -3.16650391	Z: 0.64636230	|  Gyro-X: -8.29925537	Y: -1.06918335	Z: -5.03936768
        Accel-X: 9.24194336	Y: -3.16467285	Z: 0.72326660	|  Gyro-X: -7.79830933	Y: -1.31591797	Z: -5.32348633
        Accel-X: 9.24743652	Y: -3.15368652	Z: 0.68969727	|  Gyro-X: -8.47869873	Y: -1.19628906	Z: -5.30105591
        Accel-X: 9.28039551	Y: -3.15795898	Z: 0.71289062	|  Gyro-X: -8.46374512	Y: -0.86730957	Z: -5.50292969
        Accel-X: 9.25964355	Y: -3.16650391	Z: 0.72631836	|  Gyro-X: -8.52355957	Y: -0.66543579	Z: -5.30105591
        Accel-X: 9.28588867	Y: -3.16223145	Z: 0.74584961	|  Gyro-X: -8.42636108	Y: -0.97946167	Z: -5.09170532
        Accel-X: 9.24499512	Y: -3.08349609	Z: 0.71105957	|  Gyro-X: -7.87307739	Y: -0.95703125	Z: -4.80010986
        Accel-X: 9.22668457	Y: -3.02062988	Z: 0.68542480	|  Gyro-X: -8.59085083	Y: -0.65048218	Z: -4.40383911
        Accel-X: 9.44274902	Y: -2.95104980	Z: 0.65185547	|  Gyro-X: -10.94604492	Y: -0.53085327	Z: -4.98703003
        Accel-X: 9.24865723	Y: -2.84973145	Z: 0.59509277	|  Gyro-X: -12.98721313	Y: 1.19628906	Z: -5.13656616
        Accel-X: 9.10949707	Y: -2.63977051	Z: 0.53405762	|  Gyro-X: -15.60409546	Y: 0.37384033	Z: -5.42068481
        Accel-X: 8.94042969	Y: -1.07910156	Z: 0.31921387	|  Gyro-X: -41.42150879	Y: -3.77578735	Z: -8.62823486
        Accel-X: 9.15283203	Y: -0.62866211	Z: 0.97717285	|  Gyro-X: -136.72088623	Y: 2.85614014	Z: -2.32528687
