        Accel-X: -1.28356934	Y: 1.76696777	Z: 9.62341309	|  Gyro-X: 8.66561890	Y: -2.67669678	Z: 5.63751221
        Accel-X: -1.56982422	Y: 1.94091797	Z: 9.84924316	|  Gyro-X: 1.83929443	Y: 1.86172485	Z: 9.09927368
        Accel-X: -1.44165039	Y: 1.44714355	Z: 9.93713379	|  Gyro-X: 11.59652710	Y: -0.29159546	Z: 2.53463745
        Accel-X: -1.22131348	Y: 1.52587891	Z: 9.95605469	|  Gyro-X: 16.69570923	Y: -2.20565796	Z: -1.33834839
        Accel-X: -1.47766113	Y: 1.23718262	Z: 10.13366699	|  Gyro-X: 1.09909058	Y: 0.23178101	Z: 4.95712280
        Accel-X: -1.28112793	Y: 0.98205566	Z: 10.11230469	|  Gyro-X: -0.32897949	Y: 0.11962891	Z: 3.20755005
        Accel-X: -1.43249512	Y: 0.96984863	Z: 9.97070312	|  Gyro-X: 2.53463745	Y: -1.06170654	Z: -0.29907227
        Accel-X: -1.52648926	Y: 1.07299805	Z: 9.93164062	|  Gyro-X: -2.60192871	Y: 1.83929443	Z: 5.18142700
        Accel-X: -1.48437500	Y: 0.83618164	Z: 9.89440918	|  Gyro-X: 5.23376465	Y: 2.40005493	Z: 3.69354248
        Accel-X: -1.62109375	Y: 1.52099609	Z: 9.77783203	|  Gyro-X: 15.49942017	Y: -0.72525024	Z: -0.75515747
        Accel-X: -1.67114258	Y: 1.16821289	Z: 9.97009277	|  Gyro-X: 4.46365356	Y: -0.56823730	Z: 1.44302368
        Accel-X: -1.44042969	Y: 1.07421875	Z: 10.04638672	|  Gyro-X: -5.51788330	Y: 0.36636353	Z: 3.78326416
        Accel-X: -1.45874023	Y: 0.86181641	Z: 10.10009766	|  Gyro-X: -5.66741943	Y: 1.35330200	Z: 3.08044434
        Accel-X: -1.40441895	Y: 1.00097656	Z: 10.06591797	|  Gyro-X: -1.27105713	Y: 1.72714233	Z: 3.44680786
        Accel-X: -1.58996582	Y: 0.94726562	Z: 9.91394043	|  Gyro-X: 5.44311523	Y: -0.02990723	Z: 1.84677124
        Accel-X: -1.49780273	Y: 1.30004883	Z: 10.05432129	|  Gyro-X: 6.51977539	Y: -0.68786621	Z: -0.03738403
        Accel-X: -1.40380859	Y: 1.38122559	Z: 10.13122559	|  Gyro-X: 1.86172485	Y: 0.72525024	Z: 0.35140991
        Accel-X: -1.42944336	Y: 1.29638672	Z: 9.83581543	|  Gyro-X: -0.57571411	Y: 1.15142822	Z: 0.95703125
        Accel-X: -1.51245117	Y: 1.37329102	Z: 9.85046387	|  Gyro-X: 3.19259644	Y: -0.43365479	Z: -1.39068604
        Accel-X: -1.46057129	Y: 1.32873535	Z: 9.83581543	|  Gyro-X: 4.02999878	Y: -0.30654907	Z: -2.70660400
        Accel-X: -1.48071289	Y: 1.32202148	Z: 9.63806152	|  Gyro-X: 1.70471191	Y: -1.06170654	Z: -2.27294922
        Accel-X: -1.44104004	Y: 1.20117188	Z: 9.86022949	|  Gyro-X: 6.84875488	Y: -2.87109375	Z: -4.01504517
