Accel-X: 9.62585449	Y: -1.79565430	Z: 0.43029785	|  Gyro-X: -11.38717651	Y: 0.13458252	Z: -5.63751221
        Accel-X: 9.65820312	Y: -1.87255859	Z: 0.45410156	|  Gyro-X: -9.12170410	Y: -0.13458252	Z: -6.82632446
        Accel-X: 9.69909668	Y: -1.61987305	Z: 0.55786133	|  Gyro-X: -7.17025757	Y: 0.02990723	Z: -7.02819824
        Accel-X: 9.65026855	Y: -1.51306152	Z: 0.58715820	|  Gyro-X: -8.17962646	Y: 1.83181763	Z: -8.70300293
        Accel-X: 9.84130859	Y: -1.63757324	Z: 0.35949707	|  Gyro-X: -10.84884644	Y: 2.42996216	Z: -10.94604492
        Accel-X: 9.83642578	Y: -1.22070312	Z: 0.41076660	|  Gyro-X: -16.73309326	Y: 3.55895996	Z: -10.71426392
        Accel-X: 9.81323242	Y: -0.85876465	Z: 0.46752930	|  Gyro-X: -26.06414795	Y: 4.20944214	Z: -9.00207520
        Accel-X: 9.64050293	Y: -1.53625488	Z: 0.71777344	|  Gyro-X: -32.59140015	Y: 3.85055542	Z: -5.82443237
        Accel-X: 9.62829590	Y: -1.79809570	Z: 0.66833496	|  Gyro-X: -26.84921265	Y: 2.96829224	Z: -9.32357788
        Accel-X: 9.66918945	Y: -1.70349121	Z: 0.42968750	|  Gyro-X: -16.64337158	Y: 2.96829224	Z: -12.13485718
        Accel-X: 9.51416016	Y: -1.53442383	Z: 0.45837402	|  Gyro-X: -12.32177734	Y: 4.20196533	Z: -13.84704590
        Accel-X: 9.49462891	Y: -1.14685059	Z: 0.73364258	|  Gyro-X: -15.26763916	Y: 4.34402466	Z: -13.92181396
        Accel-X: 9.46838379	Y: -1.21215820	Z: 0.55480957	|  Gyro-X: -28.13522339	Y: 5.78704834	Z: -14.80407715
        Accel-X: 9.67529297	Y: -2.17163086	Z: -0.10742188	|  Gyro-X: -29.51095581	Y: 7.53662109	Z: -18.72940063
        Accel-X: 8.94775391	Y: -2.60498047	Z: -0.46081543	|  Gyro-X: -19.77615356	Y: 11.62643433	Z: -24.99496460
        Accel-X: 8.19213867	Y: -2.70385742	Z: -0.75805664	|  Gyro-X: -3.81317139	Y: 12.89001465	Z: -34.69985962
        Accel-X: 7.43469238	Y: -3.22021484	Z: -1.43676758	|  Gyro-X: -8.06747437	Y: 13.16665649	Z: -36.60644531
