        Accel-X: 1.75231934	Y: -0.03662109	Z: -2.60559082	|  Gyro-X: 36.21017456	Y: 87.11975098	Z: -11.08062744
        Accel-X: 0.18493652	Y: 1.84143066	Z: 0.63171387	|  Gyro-X: 19.65652466	Y: 54.42367554	Z: -2.56454468
        Accel-X: -1.25488281	Y: 2.45361328	Z: 2.87963867	|  Gyro-X: -3.13278198	Y: 36.90551758	Z: -1.55517578
        Accel-X: -1.44531250	Y: 2.34680176	Z: 5.25146484	|  Gyro-X: 0.02243042	Y: 10.50491333	Z: -6.73660278
        Accel-X: -1.86767578	Y: 2.64465332	Z: 7.01660156	|  Gyro-X: 5.86181641	Y: 6.68426514	Z: -2.13836670
        Accel-X: -1.84814453	Y: 2.67517090	Z: 7.77587891	|  Gyro-X: 17.83218384	Y: 0.88973999	Z: -5.87677002
        Accel-X: -1.44897461	Y: 2.68432617	Z: 9.10217285	|  Gyro-X: 15.26016235	Y: -3.48419189	Z: -6.64688110
        Accel-X: -1.53869629	Y: 2.40112305	Z: 10.08666992	|  Gyro-X: 2.02621460	Y: 0.14953613	Z: -2.36267090
        Accel-X: -1.41052246	Y: 2.77954102	Z: 10.21911621	|  Gyro-X: 9.63012695	Y: 2.29537964	Z: -6.51229858
        Accel-X: -1.50756836	Y: 2.40722656	Z: 10.44677734	|  Gyro-X: 5.86929321	Y: 4.69543457	Z: -8.81515503
        Accel-X: -1.35925293	Y: 1.92626953	Z: 10.06103516	|  Gyro-X: -16.33682251	Y: 7.79830933	Z: -5.75714111
        Accel-X: -1.62902832	Y: 1.69860840	Z: 9.54040527	|  Gyro-X: -18.02658081	Y: 7.28240967	Z: -5.67489624
        Accel-X: -1.64428711	Y: 1.44226074	Z: 9.46533203	|  Gyro-X: -7.46932983	Y: 3.82064819	Z: -8.57589722
        Accel-X: -1.64978027	Y: 0.89782715	Z: 9.58374023	|  Gyro-X: -6.99081421	Y: 3.56643677	Z: -3.67111206
        Accel-X: -1.91101074	Y: 1.47766113	Z: 9.38110352	|  Gyro-X: 0.68038940	Y: 4.00756836	Z: -2.00378418
        Accel-X: -1.87683105	Y: 1.16271973	Z: 9.60021973	|  Gyro-X: 9.56283569	Y: 2.28042603	Z: -5.54779053
        Accel-X: -1.96411133	Y: 1.21337891	Z: 9.73083496	|  Gyro-X: 7.21511841	Y: 1.07666016	Z: -3.90289307
        Accel-X: -2.26257324	Y: 1.55456543	Z: 9.83398438	|  Gyro-X: -2.96829224	Y: 2.85614014	Z: -2.28042603
