Accel-X: 9.36950684	Y: -3.15185547	Z: -1.26586914	|  Gyro-X: -17.09197998	Y: 5.47302246	Z: -6.71417236
        Accel-X: 8.65295410	Y: -3.35632324	Z: -1.00891113	|  Gyro-X: -23.71643066	Y: 8.30673218	Z: -5.89172363
        Accel-X: 8.41064453	Y: -3.41064453	Z: -0.73364258	|  Gyro-X: -26.54266357	Y: 5.10665894	Z: -5.86181641
        Accel-X: 8.53149414	Y: -3.53271484	Z: -0.26306152	|  Gyro-X: -24.77066040	Y: 2.17575073	Z: -3.65615845
        Accel-X: 8.55773926	Y: -3.67553711	Z: -0.02746582	|  Gyro-X: -20.94253540	Y: 2.48977661	Z: -2.51968384
        Accel-X: 8.66943359	Y: -3.58154297	Z: 0.11413574	|  Gyro-X: -16.47140503	Y: 0.56076050	Z: -3.47671509
        Accel-X: 9.05761719	Y: -3.40759277	Z: -0.10437012	|  Gyro-X: -10.91613770	Y: -0.11962891	Z: -5.59265137
        Accel-X: 9.04479980	Y: -3.28491211	Z: -0.43334961	|  Gyro-X: -6.85623169	Y: 2.38510132	Z: -6.00387573
        Accel-X: 8.74389648	Y: -3.26171875	Z: -0.61401367	|  Gyro-X: -7.11791992	Y: 2.91595459	Z: -6.93099976
        Accel-X: 8.77014160	Y: -3.26293945	Z: -0.55603027	|  Gyro-X: -5.81695557	Y: 1.26358032	Z: -7.02072144
        Accel-X: 8.89099121	Y: -3.09326172	Z: -0.86486816	|  Gyro-X: -6.93099976	Y: 0.77758789	Z: -5.89920044
        Accel-X: 8.65600586	Y: -3.02124023	Z: -0.88134766	|  Gyro-X: -10.24322510	Y: 2.22808838	Z: -3.92532349
        Accel-X: 8.49609375	Y: -3.11462402	Z: -0.69580078	|  Gyro-X: -12.07504272	Y: 2.87857056	Z: -2.78884888
        Accel-X: 8.90808105	Y: -3.02307129	Z: -0.63903809	|  Gyro-X: -9.36096191	Y: 0.15701294	Z: -3.37951660
        Accel-X: 9.22912598	Y: -2.64465332	Z: -0.53039551	|  Gyro-X: -22.03414917	Y: 0.80001831	Z: -1.47293091
        Accel-X: 9.17724609	Y: -2.66723633	Z: -0.68786621	|  Gyro-X: -31.66427612	Y: 4.49356079	Z: 1.61499023
        Accel-X: 8.65722656	Y: -2.84057617	Z: -0.47729492	|  Gyro-X: -33.50357056	Y: 8.07495117	Z: 2.66921997
        Accel-X: 9.23034668	Y: -2.40539551	Z: -0.22399902	|  Gyro-X: -37.31674194	Y: 4.39636230	Z: 0.83740234
        Accel-X: 9.73388672	Y: -1.77185059	Z: -0.78002930	|  Gyro-X: -50.13198853	Y: 6.64688110	Z: 3.20755005
        Accel-X: 8.91723633	Y: -1.73156738	Z: -0.56518555	|  Gyro-X: -70.06515503	Y: 17.85461426	Z: 10.16098022
        Accel-X: 8.41918945	Y: -1.88720703	Z: -0.31738281	|  Gyro-X: -88.80203247	Y: 22.28088379	Z: 9.67498779
        Accel-X: 9.29992676	Y: -1.96594238	Z: -0.49743652	|  Gyro-X: -106.05850220	Y: 20.07522583	Z: 5.01693726
        Accel-X: 9.17053223	Y: -1.56616211	Z: -0.75927734	|  Gyro-X: -122.26074219	Y: 32.05307007	Z: 1.60751343
        Accel-X: 8.56018066	Y: -1.72973633	Z: -0.77575684	|  Gyro-X: -142.43316650	Y: 43.52996826	Z: 1.71966553
