        Accel-X: 4.74792480	Y: 3.44116211	Z: 0.23742676	|  Gyro-X: -12.54608154	Y: -111.16516113	Z: 211.60110474
        Accel-X: 2.54028320	Y: 2.56896973	Z: 0.20690918	|  Gyro-X: 3.53652954	Y: -96.16668701	Z: 173.47686768
        Accel-X: 1.55212402	Y: 4.64599609	Z: 0.33996582	|  Gyro-X: 41.43646240	Y: -71.25396729	Z: 128.72817993
        Accel-X: -1.58325195	Y: 7.12097168	Z: 0.15380859	|  Gyro-X: 56.41250610	Y: -34.07928467	Z: 82.21496582
        Accel-X: -3.56994629	Y: 5.86486816	Z: 0.39611816	|  Gyro-X: 45.13748169	Y: -18.80416870	Z: 58.87237549
        Accel-X: -6.11328125	Y: 5.26733398	Z: -0.32836914	|  Gyro-X: 47.62725830	Y: -2.47482300	Z: 30.03433228
        Accel-X: -9.65393066	Y: 5.52429199	Z: -0.86425781	|  Gyro-X: 23.53698730	Y: 9.33853149	Z: 4.63562012
        Accel-X: -10.33325195	Y: 3.31726074	Z: -1.15295410	|  Gyro-X: 6.07116699	Y: 15.74615479	Z: 4.96459961
        Accel-X: -11.43737793	Y: 1.96899414	Z: -1.47216797	|  Gyro-X: 17.05459595	Y: 19.73876953	Z: 0.54580688
        Accel-X: -11.80419922	Y: 2.42614746	Z: -1.32263184	|  Gyro-X: 24.84542847	Y: 19.88082886	Z: -2.68417358
        Accel-X: -12.07153320	Y: 2.44934082	Z: -1.52404785	|  Gyro-X: 9.38339233	Y: 15.94055176	Z: -3.18511963
        Accel-X: -12.28698730	Y: 1.86950684	Z: -1.39770508	|  Gyro-X: -8.51608276	Y: 9.49554443	Z: -1.77200317
        Accel-X: -11.81030273	Y: 1.01745605	Z: -0.95031738	|  Gyro-X: -16.00036621	Y: 3.84307861	Z: 0.23925781
        Accel-X: -11.91772461	Y: 1.02478027	Z: -1.01623535	|  Gyro-X: 1.03179932	Y: 3.21502686	Z: -0.24673462
        Accel-X: -11.53442383	Y: 2.26623535	Z: -1.01684570	|  Gyro-X: -0.38131714	Y: 0.23178101	Z: -0.71029663
        Accel-X: -11.23535156	Y: 2.41943359	Z: -1.35559082	|  Gyro-X: -12.00775146	Y: -0.64300537	Z: -1.34582520
        Accel-X: -10.72875977	Y: 1.29821777	Z: -0.64636230	|  Gyro-X: -21.57058716	Y: -1.62246704	Z: -2.84866333
