        Accel-X: 19.99511719	Y: -8.11767578	Z: -19.29077148	|  Gyro-X: -30.87173462	Y: -243.32519531	Z: 244.52148438
        Accel-X: 19.99511719	Y: -4.67224121	Z: -11.52465820	|  Gyro-X: 96.41342163	Y: -243.32519531	Z: 189.53704834
        Accel-X: 19.99511719	Y: 7.06054688	Z: -4.51171875	|  Gyro-X: 132.27966309	Y: -242.01675415	Z: 114.67178345
        Accel-X: 19.99511719	Y: 4.89929199	Z: -4.20837402	|  Gyro-X: 100.60791016	Y: -176.16851807	Z: 73.81103516
        Accel-X: 19.99511719	Y: 3.10302734	Z: 2.75695801	|  Gyro-X: 170.97961426	Y: -101.28829956	Z: -17.09945679
        Accel-X: 11.13830566	Y: 6.83837891	Z: 3.84582520	|  Gyro-X: 244.67102051	Y: -67.22396851	Z: -85.54214478
        Accel-X: 5.77209473	Y: 10.77392578	Z: 2.90222168	|  Gyro-X: 243.62426758	Y: -41.94488525	Z: -89.07867432
        Accel-X: 2.10632324	Y: 9.84985352	Z: 3.97033691	|  Gyro-X: 152.64648438	Y: 6.40762329	Z: -41.93740845
        Accel-X: -1.78833008	Y: 5.80322266	Z: 3.74267578	|  Gyro-X: 62.28179932	Y: 36.13540649	Z: -19.14062500
        Accel-X: -3.87390137	Y: 3.34899902	Z: 2.92358398	|  Gyro-X: -30.71472168	Y: 78.97750854	Z: 3.25241089
        Accel-X: -7.18627930	Y: -3.25927734	Z: 0.77514648	|  Gyro-X: -61.90795898	Y: 113.28109741	Z: -4.14215088
        Accel-X: -7.58483887	Y: -5.33996582	Z: 0.60546875	|  Gyro-X: -100.69015503	Y: 104.92950439	Z: -36.73355103
        Accel-X: -9.02038574	Y: -3.43566895	Z: -0.70861816	|  Gyro-X: -26.60247803	Y: 125.08697510	Z: -61.75842285
        Accel-X: -11.65161133	Y: -2.52868652	Z: -1.51916504	|  Gyro-X: -33.12225342	Y: 149.66323853	Z: -28.95019531
        Accel-X: -13.28918457	Y: -5.59387207	Z: -2.30590820	|  Gyro-X: -16.26205444	Y: 103.06777954	Z: -41.81777954
        Accel-X: -12.30224609	Y: -8.12011719	Z: -2.00317383	|  Gyro-X: 0.35140991	Y: -2.01873779	Z: -52.73391724
        Accel-X: -7.59277344	Y: -8.57360840	Z: -2.39685059	|  Gyro-X: 22.90893555	Y: -26.28845215	Z: -25.45852661
        Accel-X: -7.55371094	Y: -7.95532227	Z: -2.61413574	|  Gyro-X: 15.01342773	Y: 11.05819702	Z: -19.55184937
        Accel-X: -9.33532715	Y: -7.83996582	Z: -2.26684570	|  Gyro-X: 13.32366943	Y: 18.25836182	Z: -12.17971802
        Accel-X: -8.73168945	Y: -6.91711426	Z: -2.16857910	|  Gyro-X: 22.04162598	Y: 1.60003662	Z: -4.65057373
        Accel-X: -9.03686523	Y: -6.06689453	Z: -3.40270996	|  Gyro-X: 22.30331421	Y: 14.98352051	Z: 1.25610352
        Accel-X: -10.08972168	Y: -4.15466309	Z: -3.29223633	|  Gyro-X: 0.82992554	Y: 17.00973511	Z: 8.17214966
        Accel-X: -9.21691895	Y: -5.02685547	Z: -3.17138672	|  Gyro-X: -14.02648926	Y: -1.39068604	Z: 11.16287231
        Accel-X: -8.96118164	Y: -5.73059082	Z: -2.97729492	|  Gyro-X: -7.27493286	Y: 5.03936768	Z: 6.16088867
        Accel-X: -9.27978516	Y: -3.76098633	Z: -3.74572754	|  Gyro-X: -2.58697510	Y: 1.76452637	Z: 5.66741943
        Accel-X: -8.84338379	Y: -3.71887207	Z: -3.03344727	|  Gyro-X: -5.25619507	Y: -8.66561890	Z: 0.41870117
        Accel-X: -8.39843750	Y: -4.22851562	Z: -2.60742188	|  Gyro-X: 0.61309814	Y: -9.21142578	Z: -3.04306030
        Accel-X: -8.15490723	Y: -3.80493164	Z: -2.43347168	|  Gyro-X: 6.45996094	Y: -10.47500610	Z: -6.12350464
        Accel-X: -8.57727051	Y: -3.92944336	Z: -2.61474609	|  Gyro-X: 2.22061157	Y: -4.39636230	Z: -8.45626831
        Accel-X: -8.69506836	Y: -4.44274902	Z: -3.11340332	|  Gyro-X: -4.71786499	Y: -2.80380249	Z: -10.90118408
        Accel-X: -8.58154297	Y: -4.57763672	Z: -2.83569336	|  Gyro-X: -7.49923706	Y: -5.90667725	Z: -11.05819702
        Accel-X: -8.49121094	Y: -5.10498047	Z: -2.66357422	|  Gyro-X: -12.01522827	Y: -3.43933105	Z: -12.56103516
        Accel-X: -8.82202148	Y: -5.82336426	Z: -2.19726562	|  Gyro-X: -11.75354004	Y: -1.00936890	Z: -17.09197998
        Accel-X: -9.45617676	Y: -6.13647461	Z: -3.26782227	|  Gyro-X: -5.01693726	Y: 8.03009033	Z: -14.87884521
        Accel-X: -9.42626953	Y: -6.71936035	Z: -3.12744141	|  Gyro-X: -1.92901611	Y: -0.77758789	Z: -15.36483765
        Accel-X: -9.28710938	Y: -7.01293945	Z: -2.99194336	|  Gyro-X: 1.39068604	Y: -4.30664062	Z: -14.31808472
