        Accel-X: -1.70654297	Y: 0.22949219	Z: 10.41992188	|  Gyro-X: 11.92550659	Y: -2.84118652	Z: -1.12152100
        Accel-X: -1.66503906	Y: 0.39978027	Z: 10.20751953	|  Gyro-X: 14.76669312	Y: -2.31033325	Z: 0.36636353
        Accel-X: -1.44836426	Y: 0.77331543	Z: 10.21850586	|  Gyro-X: 13.28628540	Y: -1.11404419	Z: 1.53274536
        Accel-X: -1.47399902	Y: 0.65307617	Z: 10.17211914	|  Gyro-X: 16.38916016	Y: -0.53085327	Z: -3.18511963
        Accel-X: -1.55212402	Y: 0.58105469	Z: 10.09460449	|  Gyro-X: 12.89001465	Y: 0.86730957	Z: -4.11224365
        Accel-X: -1.41479492	Y: 0.71228027	Z: 9.89013672	|  Gyro-X: -3.79074097	Y: 2.15332031	Z: 0.85235596
        Accel-X: -1.35986328	Y: 0.23498535	Z: 9.94018555	|  Gyro-X: -8.58337402	Y: 3.43933105	Z: -0.48599243
        Accel-X: -1.54724121	Y: 0.18493652	Z: 9.88220215	|  Gyro-X: -1.15142822	Y: 1.30096436	Z: -1.09161377
        Accel-X: -1.53564453	Y: 0.27465820	Z: 9.71679688	|  Gyro-X: 1.65985107	Y: -0.14953613	Z: -0.39627075
        Accel-X: -1.39404297	Y: 0.29357910	Z: 9.80346680	|  Gyro-X: 3.82812500	Y: -1.53274536	Z: -0.05981445
        Accel-X: -1.51977539	Y: 0.36193848	Z: 10.01892090	|  Gyro-X: 9.71984863	Y: -2.22061157	Z: -2.68417358
        Accel-X: -1.42944336	Y: 0.35034180	Z: 9.92187500	|  Gyro-X: 10.89370728	Y: -2.40005493	Z: -2.93838501
        Accel-X: -1.33850098	Y: 0.38208008	Z: 10.00427246	|  Gyro-X: 4.64309692	Y: -1.61499023	Z: -0.32150269
        Accel-X: -1.32690430	Y: 0.30029297	Z: 10.01403809	|  Gyro-X: 0.51589966	Y: -0.99441528	Z: 0.62805176
        Accel-X: -1.38732910	Y: 0.45166016	Z: 10.08361816	|  Gyro-X: 2.54959106	Y: -2.10845947	Z: -0.14205933
        Accel-X: -1.45874023	Y: 0.38513184	Z: 10.29846191	|  Gyro-X: 1.24114990	Y: -0.16448975	Z: 0.14205933
        Accel-X: -1.18041992	Y: 0.35156250	Z: 10.55541992	|  Gyro-X: 4.50851440	Y: -1.08413696	Z: -1.48040771
        Accel-X: -1.21520996	Y: 0.44616699	Z: 10.45104980	|  Gyro-X: 6.92352295	Y: -0.54580688	Z: -3.08044434
        Accel-X: -1.27441406	Y: 0.39123535	Z: 10.43334961	|  Gyro-X: 4.82254028	Y: 0.78506470	Z: -2.84866333
        Accel-X: -1.34948730	Y: 0.33386230	Z: 10.45166016	|  Gyro-X: -0.58319092	Y: 2.69165039	Z: -1.24114990
