Accel-X: 8.47045898	Y: -3.19396973	Z: 1.98608398	|  Gyro-X: -6.94595337	Y: 6.62445068	Z: -9.08432007
        Accel-X: 8.63281250	Y: -2.89062500	Z: 2.05139160	|  Gyro-X: 2.13836670	Y: 2.07107544	Z: -9.05441284
        Accel-X: 8.58398438	Y: -2.76489258	Z: 2.14416504	|  Gyro-X: 7.80578613	Y: -0.01495361	Z: -9.11422729
        Accel-X: 8.59741211	Y: -2.76916504	Z: 2.29797363	|  Gyro-X: 4.65057373	Y: -1.18881226	Z: -8.66561890
        Accel-X: 8.73718262	Y: -2.69897461	Z: 1.99523926	|  Gyro-X: 1.57760620	Y: 0.00747681	Z: -8.41140747
        Accel-X: 8.74206543	Y: -2.66662598	Z: 1.94824219	|  Gyro-X: -2.51968384	Y: 0.90469360	Z: -6.16088867
        Accel-X: 8.62365723	Y: -2.79907227	Z: 1.68395996	|  Gyro-X: -4.59823608	Y: 2.11593628	Z: -5.24124146
        Accel-X: 8.52966309	Y: -2.72827148	Z: 1.80236816	|  Gyro-X: -5.72723389	Y: 3.30474854	Z: -5.77209473
        Accel-X: 8.55041504	Y: -2.62329102	Z: 1.78955078	|  Gyro-X: -8.79272461	Y: 3.61877441	Z: -3.85803223
        Accel-X: 8.62792969	Y: -2.55554199	Z: 1.74804688	|  Gyro-X: -11.97036743	Y: 3.28979492	Z: -2.49725342
        Accel-X: 8.62609863	Y: -2.60131836	Z: 1.79992676	|  Gyro-X: -17.60040283	Y: 5.54779053	Z: 2.04864502
        Accel-X: 8.58337402	Y: -2.72155762	Z: 1.80603027	|  Gyro-X: -20.42663574	Y: 5.96649170	Z: 4.20944214
        Accel-X: 8.65966797	Y: -2.81677246	Z: 1.90307617	|  Gyro-X: -18.81164551	Y: 4.07485962	Z: 5.38330078
        Accel-X: 8.71398926	Y: -2.77587891	Z: 2.13439941	|  Gyro-X: -15.13305664	Y: 3.88046265	Z: 6.22817993
        Accel-X: 8.71398926	Y: -2.91992188	Z: 2.17651367	|  Gyro-X: -9.68246460	Y: 2.91595459	Z: 6.31042480
        Accel-X: 8.62548828	Y: -2.79357910	Z: 2.32299805	|  Gyro-X: -2.01126099	Y: 2.82623291	Z: 4.87487793
        Accel-X: 8.67370605	Y: -2.70874023	Z: 2.71545410	|  Gyro-X: 6.37023926	Y: 2.42996216	Z: 2.95333862
        Accel-X: 8.83911133	Y: -2.52075195	Z: 2.92846680	|  Gyro-X: 13.47320557	Y: 0.93460083	Z: -0.03738403
        Accel-X: 8.85070801	Y: -2.22106934	Z: 2.77587891	|  Gyro-X: 18.17611694	Y: 2.66174316	Z: -5.27114868
        Accel-X: 8.70971680	Y: -2.21984863	Z: 2.81127930	|  Gyro-X: 12.83020020	Y: 4.42626953	Z: -6.96838379
        Accel-X: 8.58642578	Y: -2.73681641	Z: 2.71484375	|  Gyro-X: 13.06945801	Y: 5.54031372	Z: -10.01144409
        Accel-X: 8.62976074	Y: -2.47619629	Z: 2.93090820	|  Gyro-X: 20.43411255	Y: 4.53842163	Z: -15.82092285
        Accel-X: 8.64807129	Y: -2.15148926	Z: 2.98950195	|  Gyro-X: 26.86416626	Y: 4.94216919	Z: -20.17990112
        Accel-X: 8.66333008	Y: -2.72216797	Z: 2.83752441	|  Gyro-X: 30.80444336	Y: 4.70291138	Z: -20.71823120
        Accel-X: 8.60046387	Y: -3.05969238	Z: 2.59033203	|  Gyro-X: 39.62707520	Y: 2.97576904	Z: -23.14819336
        Accel-X: 8.41552734	Y: -3.14331055	Z: 2.35839844	|  Gyro-X: 58.83499146	Y: 1.27105713	Z: -27.82867432
        Accel-X: 8.14636230	Y: -3.00964355	Z: 2.14843750	|  Gyro-X: 89.24316406	Y: -4.59823608	Z: -36.25503540
        Accel-X: 7.79418945	Y: -2.89245605	Z: 1.51123047	|  Gyro-X: 105.90896606	Y: -9.14413452	Z: -39.29061890
        Accel-X: 7.43225098	Y: -3.66455078	Z: 1.43310547	|  Gyro-X: 129.10202026	Y: -19.95559692	Z: -41.57104492
        Accel-X: 7.79113770	Y: -2.43774414	Z: 2.04956055	|  Gyro-X: 147.26318359	Y: -31.73904419	Z: -47.97866821
        Accel-X: 7.86071777	Y: -1.77490234	Z: 1.90551758	|  Gyro-X: 144.74349976	Y: -31.93344116	Z: -45.02532959
        Accel-X: 7.70507812	Y: -2.89733887	Z: 2.41821289	|  Gyro-X: 125.49819946	Y: -26.29592896	Z: -30.39321899
        Accel-X: 8.45275879	Y: -6.10351562	Z: 3.46679688	|  Gyro-X: 130.81420898	Y: -24.65103149	Z: -11.92550659
        Accel-X: 8.43750000	Y: -5.50964355	Z: 3.33068848	|  Gyro-X: 132.62359619	Y: -21.06964111	Z: 7.62634277
        Accel-X: 9.19311523	Y: -8.72436523	Z: 4.42565918	|  Gyro-X: 121.02706909	Y: -7.28240967	Z: 76.18118286
        Accel-X: 10.42602539	Y: -9.68383789	Z: 5.75012207	|  Gyro-X: 119.16534424	Y: 4.84497070	Z: 110.71655273
        Accel-X: 10.88317871	Y: -9.20776367	Z: 6.33544922	|  Gyro-X: 107.38937378	Y: 29.18197632	Z: 148.81088257
        Accel-X: 12.99194336	Y: -10.85815430	Z: 8.98315430	|  Gyro-X: 98.14056396	Y: 51.85913086	Z: 183.47335815
        Accel-X: 15.81298828	Y: -10.44616699	Z: 10.22827148	|  Gyro-X: 80.35324097	Y: 74.43161011	Z: 205.52246094
        Accel-X: 17.61718750	Y: -11.56311035	Z: 10.71899414	|  Gyro-X: 11.70120239	Y: 114.61944580	Z: 242.48779297
        Accel-X: 19.21997070	Y: -15.37841797	Z: 10.21179199	|  Gyro-X: -69.84085083	Y: 141.90231323	Z: 244.52148438
        Accel-X: 19.77600098	Y: -16.91406250	Z: 9.81750488	|  Gyro-X: -120.75790405	Y: 145.96221924	Z: 244.52148438
        Accel-X: 19.55139160	Y: -17.22351074	Z: 8.70239258	|  Gyro-X: -149.02023315	Y: 125.46829224	Z: 244.52148438
        Accel-X: 18.86413574	Y: -16.64367676	Z: 6.48254395	|  Gyro-X: -160.97564697	Y: 106.40243530	Z: 244.52148438
        Accel-X: 17.06237793	Y: -16.22802734	Z: 4.44335938	|  Gyro-X: -159.95132446	Y: 91.94976807	Z: 244.52148438
        Accel-X: 15.53466797	Y: -18.61145020	Z: 4.22790527	|  Gyro-X: -140.69107056	Y: 67.52304077	Z: 244.52148438
        Accel-X: 15.09765625	Y: -15.92285156	Z: 3.45520020	|  Gyro-X: -67.06695557	Y: 40.40466309	Z: 244.52148438
        Accel-X: 14.57153320	Y: -7.90527344	Z: -0.56701660	|  Gyro-X: 8.61328125	Y: 32.49420166	Z: 244.52148438
        Accel-X: 12.07458496	Y: -4.41589355	Z: -2.68676758	|  Gyro-X: 46.56555176	Y: 35.37277222	Z: 244.52148438
        Accel-X: 9.84497070	Y: -0.15258789	Z: -3.17871094	|  Gyro-X: 48.00857544	Y: 47.11883545	Z: 244.52148438
        Accel-X: 4.36157227	Y: 3.39233398	Z: -3.86840820	|  Gyro-X: 45.66085815	Y: 34.34844971	Z: 244.52148438
        Accel-X: 1.51000977	Y: 4.69238281	Z: -4.91455078	|  Gyro-X: 70.82031250	Y: 12.08251953	Z: 240.72326660
        Accel-X: -0.35278320	Y: 6.64978027	Z: -5.30517578	|  Gyro-X: 86.08795166	Y: 6.25061035	Z: 186.63604736
        Accel-X: -3.23547363	Y: 8.16223145	Z: -4.26269531	|  Gyro-X: 61.06307983	Y: 4.89730835	Z: 137.86483765
        Accel-X: -4.41589355	Y: 6.79809570	Z: -3.33251953	|  Gyro-X: 23.21548462	Y: -5.09170532	Z: 96.61529541
        Accel-X: -6.34948730	Y: 6.16027832	Z: -1.95190430	|  Gyro-X: 18.23593140	Y: -11.59652710	Z: 52.88345337
        Accel-X: -8.29040527	Y: 3.94348145	Z: 0.26428223	|  Gyro-X: 27.42492676	Y: -14.96109009	Z: 22.78930664
        Accel-X: -8.85925293	Y: 3.03833008	Z: 1.17187500	|  Gyro-X: 52.50213623	Y: -6.84127808	Z: -5.22628784
        Accel-X: -10.92956543	Y: 3.75610352	Z: 1.77856445	|  Gyro-X: 49.73571777	Y: 5.17395020	Z: -12.62084961
