        Accel-X: 7.22045898	Y: 0.52917480	Z: -3.17260742	|  Gyro-X: 61.04812622	Y: 193.90350342	Z: 12.68066406
        Accel-X: 6.05224609	Y: 1.26647949	Z: -4.13757324	|  Gyro-X: 70.33432007	Y: 152.98294067	Z: -6.71417236
        Accel-X: 4.59960938	Y: 1.94274902	Z: -4.09973145	|  Gyro-X: 67.19406128	Y: 119.59899902	Z: -19.52941895
        Accel-X: 3.10180664	Y: -0.29296875	Z: -2.63610840	|  Gyro-X: 44.21035767	Y: 93.84887695	Z: -27.11837769
        Accel-X: 2.78076172	Y: -0.13061523	Z: -1.10534668	|  Gyro-X: 28.02307129	Y: 70.60348511	Z: -20.45654297
        Accel-X: 1.25976562	Y: 0.45227051	Z: 0.59143066	|  Gyro-X: 26.89407349	Y: 52.41989136	Z: -17.09197998
        Accel-X: 0.47546387	Y: 0.19226074	Z: 2.48474121	|  Gyro-X: 56.27044678	Y: 20.61355591	Z: -27.51464844
        Accel-X: 0.28625488	Y: 0.45532227	Z: 4.63928223	|  Gyro-X: 46.73004150	Y: 7.55905151	Z: -20.72570801
        Accel-X: -0.80139160	Y: 1.34521484	Z: 6.25671387	|  Gyro-X: 18.25088501	Y: 4.65057373	Z: -7.42446899
        Accel-X: -0.64392090	Y: 1.39892578	Z: 7.65625000	|  Gyro-X: 9.78713989	Y: 1.20376587	Z: -3.94775391
        Accel-X: -0.84350586	Y: 1.71752930	Z: 9.36889648	|  Gyro-X: 23.08837891	Y: -1.18881226	Z: -11.69372559
        Accel-X: -0.64636230	Y: 1.46301270	Z: 9.86328125	|  Gyro-X: 30.16143799	Y: -1.56265259	Z: -14.54238892
        Accel-X: -0.55358887	Y: 1.60705566	Z: 10.04150391	|  Gyro-X: 17.23403931	Y: -0.59814453	Z: -8.80020142
        Accel-X: 0.02136230	Y: 1.34338379	Z: 10.59570312	|  Gyro-X: 3.67858887	Y: 2.18322754	Z: -5.52536011
        Accel-X: -0.30090332	Y: 1.00952148	Z: 10.44677734	|  Gyro-X: -1.52526855	Y: 5.96649170	Z: -5.39077759
        Accel-X: -0.36743164	Y: 0.86059570	Z: 10.27954102	|  Gyro-X: 5.26367188	Y: 8.39645386	Z: -5.80947876
        Accel-X: -0.44982910	Y: 0.87036133	Z: 9.84924316	|  Gyro-X: 12.75543213	Y: 8.81515503	Z: -5.06927490
        Accel-X: -0.63842773	Y: 0.90759277	Z: 9.88647461	|  Gyro-X: 18.08639526	Y: 6.51229858	Z: -7.27493286
        Accel-X: -0.69641113	Y: 0.94665527	Z: 10.05310059	|  Gyro-X: 9.97406006	Y: 5.45059204	Z: -7.10296631
        Accel-X: -0.82702637	Y: 0.82031250	Z: 9.54406738	|  Gyro-X: -3.54400635	Y: 7.69363403	Z: -4.44122314
        Accel-X: -0.97351074	Y: 0.69885254	Z: 9.44641113	|  Gyro-X: -7.11791992	Y: 7.97027588	Z: -3.08044434
        Accel-X: -1.09436035	Y: 0.87646484	Z: 9.78881836	|  Gyro-X: 4.66552734	Y: 3.81317139	Z: -4.37393188
        Accel-X: -0.89416504	Y: 0.64025879	Z: 9.90600586	|  Gyro-X: 8.45626831	Y: 2.92343140	Z: -5.45806885
        Accel-X: -0.80871582	Y: 0.71289062	Z: 9.84741211	|  Gyro-X: 5.24124146	Y: 3.85055542	Z: -3.46176147
        Accel-X: -0.90209961	Y: 0.99243164	Z: 9.71130371	|  Gyro-X: -0.82244873	Y: 4.41879272	Z: -0.53833008
        Accel-X: -1.02722168	Y: 1.09191895	Z: 9.66247559	|  Gyro-X: -2.98324585	Y: 1.87667847	Z: -0.94955444
        Accel-X: -1.05041504	Y: 0.70556641	Z: 9.84252930	|  Gyro-X: 2.63931274	Y: 1.00189209	Z: -3.43185425
        Accel-X: -1.10168457	Y: 0.86975098	Z: 10.10192871	|  Gyro-X: 9.74975586	Y: 1.40563965	Z: -3.38699341
        Accel-X: -0.98815918	Y: 0.95642090	Z: 10.03295898	|  Gyro-X: 11.51428223	Y: 2.25799561	Z: -2.31033325
        Accel-X: -1.00708008	Y: 1.02233887	Z: 10.04577637	|  Gyro-X: 10.87875366	Y: 2.35519409	Z: -3.14025879
        Accel-X: -1.13952637	Y: 1.30187988	Z: 9.76196289	|  Gyro-X: -2.89352417	Y: 1.92153931	Z: -3.17764282
        Accel-X: -1.03210449	Y: 0.94299316	Z: 9.83703613	|  Gyro-X: -12.17971802	Y: 1.86920166	Z: -1.88415527
        Accel-X: -0.96557617	Y: 0.88623047	Z: 9.85778809	|  Gyro-X: -11.03576660	Y: 1.55517578	Z: -2.30285645
        Accel-X: -1.03149414	Y: 0.86853027	Z: 9.79797363	|  Gyro-X: -3.37203979	Y: 0.32150269	Z: -4.91226196
        Accel-X: -1.15173340	Y: 0.84594727	Z: 9.84069824	|  Gyro-X: -0.24673462	Y: -0.27664185	Z: -4.15710449
        Accel-X: -1.02233887	Y: 0.76049805	Z: 10.01342773	|  Gyro-X: 0.21682739	Y: 0.25421143	Z: -2.60192871
        Accel-X: -0.96435547	Y: 0.95642090	Z: 9.97253418	|  Gyro-X: 3.64868164	Y: 0.14205933	Z: -3.14773560
        Accel-X: -0.92834473	Y: 0.96740723	Z: 10.01464844	|  Gyro-X: 5.30853271	Y: 0.74020386	Z: -3.14025879
        Accel-X: -0.96679688	Y: 0.82031250	Z: 10.14831543	|  Gyro-X: 5.73471069	Y: 1.56265259	Z: -0.91964722
        Accel-X: -0.89782715	Y: 0.85388184	Z: 10.09521484	|  Gyro-X: 13.03207397	Y: 2.62435913	Z: -4.35150146
        Accel-X: -1.03881836	Y: 1.11083984	Z: 10.02624512	|  Gyro-X: 15.34988403	Y: 2.27294922	Z: -7.61138916
        Accel-X: -1.06445312	Y: 1.16149902	Z: 10.19836426	|  Gyro-X: 6.07116699	Y: 1.27105713	Z: -6.63940430
        Accel-X: -1.07482910	Y: 0.90332031	Z: 10.13916016	|  Gyro-X: -3.91784668	Y: 3.15521240	Z: -3.74588013
        Accel-X: -1.22314453	Y: 0.83190918	Z: 9.98535156	|  Gyro-X: -3.94775391	Y: 3.83560181	Z: -2.30285645
        Accel-X: -1.11572266	Y: 0.85571289	Z: 10.02258301	|  Gyro-X: 1.47293091	Y: 3.34213257	Z: -2.46734619
        Accel-X: -1.03454590	Y: 0.95764160	Z: 10.04943848	|  Gyro-X: 8.89739990	Y: 3.27484131	Z: -4.35150146
        Accel-X: -1.10290527	Y: 0.94299316	Z: 10.20507812	|  Gyro-X: 7.79083252	Y: 3.17016602	Z: -3.34960938
        Accel-X: -0.99060059	Y: 1.01135254	Z: 10.06164551	|  Gyro-X: 3.28231812	Y: 4.66552734	Z: -1.68975830
        Accel-X: -0.97106934	Y: 0.95581055	Z: 10.01281738	|  Gyro-X: 0.40374756	Y: 5.80947876	Z: -1.41311646
        Accel-X: -1.11267090	Y: 1.00402832	Z: 9.93591309	|  Gyro-X: -0.43365479	Y: 5.27114868	Z: -1.48040771
        Accel-X: -1.04492188	Y: 1.08886719	Z: 10.01342773	|  Gyro-X: 1.68228149	Y: 3.94027710	Z: -2.60940552
        Accel-X: -1.07543945	Y: 1.04003906	Z: 9.88586426	|  Gyro-X: 3.77578735	Y: 3.49914551	Z: -4.23187256
        Accel-X: -1.10961914	Y: 0.91125488	Z: 9.84191895	|  Gyro-X: 2.10845947	Y: 3.28231812	Z: -3.66363525
        Accel-X: -1.08093262	Y: 0.96435547	Z: 9.88525391	|  Gyro-X: 0.26916504	Y: 3.49914551	Z: -1.79443359
        Accel-X: -1.06933594	Y: 0.97717285	Z: 9.94750977	|  Gyro-X: 5.57022095	Y: 2.99819946	Z: -2.96081543
        
