        Accel-X: -1.35742188	Y: -1.19873047	Z: 3.66577148	|  Gyro-X: 60.12847900	Y: 41.69815063	Z: -32.00820923
        Accel-X: -1.44775391	Y: -0.59326172	Z: 5.50170898	|  Gyro-X: 50.75256348	Y: 29.78759766	Z: -25.52581787
        Accel-X: -1.60888672	Y: -0.77331543	Z: 6.11938477	|  Gyro-X: 37.81768799	Y: 19.40231323	Z: -21.03225708
        Accel-X: -1.84631348	Y: -0.30151367	Z: 6.54541016	|  Gyro-X: 16.93496704	Y: 16.23962402	Z: -9.94415283
        Accel-X: -2.06420898	Y: 0.12145996	Z: 7.33215332	|  Gyro-X: 1.91406250	Y: 13.39843750	Z: -4.16458130
        Accel-X: -1.97387695	Y: 0.32043457	Z: 7.69653320	|  Gyro-X: -2.68417358	Y: 6.13098145	Z: -6.43005371
        Accel-X: -1.70532227	Y: -0.23071289	Z: 8.37158203	|  Gyro-X: -4.77020264	Y: 3.49914551	Z: -5.36834717
        Accel-X: -1.84326172	Y: 0.26611328	Z: 8.92089844	|  Gyro-X: -10.84884644	Y: 2.56454468	Z: 4.32159424
        Accel-X: -1.74316406	Y: 0.32592773	Z: 9.52880859	|  Gyro-X: -2.12341309	Y: 0.61309814	Z: 5.05432129
        Accel-X: -1.47216797	Y: 0.53588867	Z: 9.66796875	|  Gyro-X: 17.21160889	Y: -4.86740112	Z: -0.84487915
        Accel-X: -1.45080566	Y: 1.20666504	Z: 9.50378418	|  Gyro-X: 5.38330078	Y: -2.94586182	Z: 4.59823608
        Accel-X: -1.39892578	Y: 1.04187012	Z: 9.74914551	|  Gyro-X: -4.44122314	Y: -1.06170654	Z: 5.05432129
        Accel-X: -1.22802734	Y: 1.02355957	Z: 9.55627441	|  Gyro-X: -6.08612061	Y: -2.20565796	Z: -1.12152100
        Accel-X: -1.25305176	Y: 1.07604980	Z: 9.35180664	|  Gyro-X: -10.31051636	Y: -2.10098267	Z: -2.48229980
        Accel-X: -1.53381348	Y: 0.93017578	Z: 9.82971191	|  Gyro-X: -12.56103516	Y: -3.13278198	Z: -2.12341309
        Accel-X: -1.29577637	Y: 0.51635742	Z: 9.98107910	|  Gyro-X: -4.82254028	Y: -6.16836548	Z: -4.46365356
        Accel-X: -1.17248535	Y: 0.47546387	Z: 9.99755859	|  Gyro-X: 3.43185425	Y: -8.47869873	Z: -8.44131470
        Accel-X: -1.19018555	Y: 0.43212891	Z: 10.10375977	|  Gyro-X: -1.83929443	Y: -5.91415405	Z: -4.74029541
        Accel-X: -1.08276367	Y: 0.66650391	Z: 10.10131836	|  Gyro-X: -2.81127930	Y: -5.09170532	Z: -4.25430298
        Accel-X: -0.90148926	Y: 0.34301758	Z: 10.21240234	|  Gyro-X: -0.30654907	Y: -5.30853271	Z: -7.70111084
        Accel-X: -1.04370117	Y: 0.14770508	Z: 9.90661621	|  Gyro-X: -4.97955322	Y: -4.96459961	Z: -5.24124146
        Accel-X: -1.04431152	Y: 0.39367676	Z: 9.96826172	|  Gyro-X: -10.40023804	Y: -3.93280029	Z: -1.40563965
        Accel-X: -0.83740234	Y: 0.25146484	Z: 10.19470215	|  Gyro-X: -3.76083374	Y: -5.20385742	Z: -3.91784668
        Accel-X: -0.91491699	Y: -0.03662109	Z: 10.34851074	|  Gyro-X: 3.58886719	Y: -6.29547119	Z: -4.11972046
        Accel-X: -0.78857422	Y: 0.30029297	Z: 10.49194336	|  Gyro-X: 4.18701172	Y: -5.19638062	Z: -0.39627075
        Accel-X: -0.61096191	Y: 0.35156250	Z: 10.60668945	|  Gyro-X: 5.18890381	Y: -3.73092651	Z: -1.39068604
        Accel-X: -0.60485840	Y: 0.29785156	Z: 10.91796875	|  Gyro-X: 4.26925659	Y: -0.72525024	Z: -1.51779175
        Accel-X: -0.65429688	Y: 0.17761230	Z: 10.83618164	|  Gyro-X: -0.98693848	Y: 3.52157593	Z: 2.38510132
        Accel-X: -0.68908691	Y: 0.54382324	Z: 10.40161133	|  Gyro-X: 0.31402588	Y: 4.51599121	Z: 1.38320923
        Accel-X: -0.59326172	Y: 0.48828125	Z: 10.32592773	|  Gyro-X: 5.81695557	Y: 1.86172485	Z: -2.26547241
        Accel-X: -0.70861816	Y: 0.36254883	Z: 10.19165039	|  Gyro-X: 3.10287476	Y: 2.41500854	Z: -1.27853394
        Accel-X: -0.65612793	Y: 0.35522461	Z: 10.01403809	|  Gyro-X: -2.54959106	Y: 4.48608398	Z: 1.42807007
        Accel-X: -0.78002930	Y: 0.35644531	Z: 9.94567871	|  Gyro-X: -0.13458252	Y: 4.11972046	Z: -1.89910889
        Accel-X: -0.77941895	Y: 0.44189453	Z: 9.94079590	|  Gyro-X: 2.81127930	Y: 2.15332031	Z: -3.08044434
        Accel-X: -0.82153320	Y: 0.25512695	Z: 9.90722656	|  Gyro-X: 0.26916504	Y: 3.26736450	Z: -0.58319092
        Accel-X: -0.78491211	Y: 0.21911621	Z: 10.02563477	|  Gyro-X: 1.59255981	Y: 3.29727173	Z: -0.85983276
        Accel-X: -0.78796387	Y: 0.19104004	Z: 9.94567871	|  Gyro-X: 6.01135254	Y: 1.95144653	Z: -2.65426636
        Accel-X: -0.79956055	Y: 0.45471191	Z: 9.91638184	|  Gyro-X: 6.34780884	Y: 1.10656738	Z: -1.99630737
        Accel-X: -0.73913574	Y: 0.49377441	Z: 9.98229980	|  Gyro-X: 2.99819946	Y: 0.80749512	Z: -1.04675293
