        Accel-X: -6.68090820	Y: 5.65185547	Z: -3.53271484	|  Gyro-X: 76.76437378	Y: 10.51986694	Z: 90.14038086
        Accel-X: -7.74291992	Y: 5.12023926	Z: -2.32238770	|  Gyro-X: 63.70986938	Y: 4.67300415	Z: 53.36196899
        Accel-X: -8.74511719	Y: 4.33837891	Z: -1.17858887	|  Gyro-X: 50.35629272	Y: -9.71984863	Z: 9.93667603
        Accel-X: -10.40405273	Y: 3.60534668	Z: 0.51574707	|  Gyro-X: 37.01766968	Y: -11.92550659	Z: -6.40762329
        Accel-X: -11.38732910	Y: 2.10388184	Z: 1.25427246	|  Gyro-X: 20.76309204	Y: -7.53662109	Z: -13.57788086
        Accel-X: -12.05566406	Y: 0.58410645	Z: 1.58569336	|  Gyro-X: 11.76101685	Y: -1.49536133	Z: -15.27511597
        Accel-X: -12.08374023	Y: -0.12573242	Z: 1.44836426	|  Gyro-X: 10.91613770	Y: 5.03936768	Z: -11.91802979
        Accel-X: -11.85974121	Y: -0.40832520	Z: 1.51733398	|  Gyro-X: 6.38519287	Y: 9.28619385	Z: -6.39266968
        Accel-X: -11.64123535	Y: -1.15966797	Z: 1.84143066	|  Gyro-X: 6.65435791	Y: 10.28060913	Z: -3.08792114
        Accel-X: -11.95129395	Y: -0.93750000	Z: 0.91125488	|  Gyro-X: 20.71823120	Y: 9.57778931	Z: -0.54580688
        Accel-X: -11.75964355	Y: -0.85510254	Z: 0.81848145	|  Gyro-X: 19.40231323	Y: 5.00946045	Z: 0.81497192
        Accel-X: -11.65832520	Y: -0.21972656	Z: 0.90087891	|  Gyro-X: 8.73291016	Y: 3.11035156	Z: 2.23556519
        Accel-X: -11.60400391	Y: -0.44555664	Z: 1.01013184	|  Gyro-X: 3.97766113	Y: 1.86172485	Z: 5.11413574
        Accel-X: -11.57043457	Y: -0.42724609	Z: 1.00952148	|  Gyro-X: 13.16665649	Y: 1.21871948	Z: 5.88424683
        Accel-X: -11.31896973	Y: 0.44555664	Z: 0.77758789	|  Gyro-X: 19.43969727	Y: 0.35888672	Z: 5.04684448
        Accel-X: -11.08459473	Y: 0.81298828	Z: 0.68664551	|  Gyro-X: 16.02279663	Y: 0.40374756	Z: 4.35150146
        Accel-X: -10.95031738	Y: 0.54565430	Z: 0.61950684	|  Gyro-X: -0.29907227	Y: 0.75515747	Z: 4.05242920
        Accel-X: -11.12182617	Y: -0.05554199	Z: 0.52551270	|  Gyro-X: 2.34024048	Y: 0.02243042	Z: 2.67669678
        Accel-X: -10.93078613	Y: -0.01831055	Z: 0.80871582	|  Gyro-X: 13.38348389	Y: -1.65237427	Z: -0.16448975
        Accel-X: -11.05285645	Y: 0.62866211	Z: 1.09191895	|  Gyro-X: 17.94433594	Y: -1.97387695	Z: -1.21871948
        Accel-X: -10.96191406	Y: 0.66589355	Z: 1.13281250	|  Gyro-X: 5.79452515	Y: -1.21124268	Z: -1.74957275
        Accel-X: -11.07299805	Y: 0.13305664	Z: 1.29394531	|  Gyro-X: -1.97387695	Y: -0.08972168	Z: -2.10098267
        Accel-X: -11.23535156	Y: 0.04638672	Z: 1.15539551	|  Gyro-X: 1.81686401	Y: 2.10098267	Z: -4.20196533
        Accel-X: -11.26892090	Y: -0.12023926	Z: 1.19934082	|  Gyro-X: 10.16845703	Y: 2.81875610	Z: -5.90667725
        Accel-X: -11.38977051	Y: 0.21789551	Z: 0.95214844	|  Gyro-X: 8.48617554	Y: 3.82064819	Z: -6.08612061
        Accel-X: -11.38183594	Y: -0.08178711	Z: 0.95458984	|  Gyro-X: 1.76452637	Y: 3.40194702	Z: -4.94216919
        Accel-X: -11.39404297	Y: -0.28503418	Z: 0.95825195	|  Gyro-X: 4.20944214	Y: 2.30285645	Z: -3.70849609
        Accel-X: -11.50024414	Y: -0.21301270	Z: 0.73730469	|  Gyro-X: 11.26007080	Y: 1.38320923	Z: -3.63372803
        Accel-X: -11.59362793	Y: -0.03784180	Z: 0.82153320	|  Gyro-X: 14.90127563	Y: -0.37384033	Z: -2.59445190
        Accel-X: -11.48010254	Y: 0.40283203	Z: 0.95520020	|  Gyro-X: 12.13485718	Y: -1.54769897	Z: -2.33276367
        Accel-X: -11.35070801	Y: 0.03662109	Z: 1.14685059	|  Gyro-X: 1.63742065	Y: -2.28042603	Z: -1.30844116
        Accel-X: -11.35070801	Y: 0.00183105	Z: 1.14501953	|  Gyro-X: 5.61508179	Y: -2.53463745	Z: -2.37014771
        Accel-X: -11.29394531	Y: -0.00793457	Z: 1.14013672	|  Gyro-X: 11.45446777	Y: -2.85614014	Z: -2.97576904
        Accel-X: -11.32141113	Y: 0.29052734	Z: 1.29699707	|  Gyro-X: 14.31808472	Y: -2.19818115	Z: -3.83560181
        Accel-X: -11.16638184	Y: 0.52185059	Z: 1.27258301	|  Gyro-X: 7.85064697	Y: -1.97387695	Z: -4.53842163
        Accel-X: -11.07360840	Y: -0.02197266	Z: 1.27685547	|  Gyro-X: 2.72155762	Y: -1.02432251	Z: -4.11224365
        Accel-X: -11.26159668	Y: -0.11169434	Z: 1.11022949	|  Gyro-X: 5.64498901	Y: -0.69534302	Z: -4.41879272
        Accel-X: -11.30065918	Y: 0.23193359	Z: 1.00219727	|  Gyro-X: 6.53472900	Y: -0.17196655	Z: -3.66363525
        Accel-X: -11.23657227	Y: 0.23742676	Z: 0.89843750	|  Gyro-X: -0.68786621	Y: -0.15701294	Z: -2.25799561
        Accel-X: -11.27441406	Y: 0.09765625	Z: 0.90026855	|  Gyro-X: -5.24124146	Y: -1.24114990	Z: -1.60751343
        Accel-X: -11.18896484	Y: 0.06958008	Z: 0.90881348	|  Gyro-X: -6.04873657	Y: -3.05801392	Z: -1.26358032
        Accel-X: -11.02355957	Y: -0.32287598	Z: 1.34033203	|  Gyro-X: -4.94964600	Y: -4.37393188	Z: -1.33087158
        Accel-X: -11.02905273	Y: -0.25329590	Z: 1.35131836	|  Gyro-X: -0.27664185	Y: -2.69912720	Z: -0.05981445
        Accel-X: -11.01257324	Y: 0.13244629	Z: 1.45141602	|  Gyro-X: 1.63742065	Y: -1.29348755	Z: -0.28411865
        Accel-X: -11.08276367	Y: -0.05554199	Z: 1.37939453	|  Gyro-X: -0.80749512	Y: -0.86730957	Z: 0.08224487
        Accel-X: -11.07788086	Y: -0.01464844	Z: 1.42456055	|  Gyro-X: 0.98693848	Y: 0.29159546	Z: 0.22430420
        Accel-X: -11.17126465	Y: -0.03601074	Z: 1.48254395	|  Gyro-X: 2.85614014	Y: 1.19628906	Z: 0.18692017
        Accel-X: -11.19873047	Y: 0.13244629	Z: 1.39709473	|  Gyro-X: 3.08792114	Y: 1.84677124	Z: -0.40374756
        Accel-X: -11.23779297	Y: 0.04821777	Z: 1.23718262	|  Gyro-X: 1.54769897	Y: 1.86172485	Z: 0.01495361
        Accel-X: -11.35009766	Y: -0.06774902	Z: 1.27075195	|  Gyro-X: 1.21124268	Y: 1.57012939	Z: 0.49346924
        Accel-X: -11.35864258	Y: 0.02868652	Z: 1.33178711	|  Gyro-X: 3.32717896	Y: 1.21871948	Z: 0.18692017
        Accel-X: -11.32690430	Y: 0.07812500	Z: 1.27624512	|  Gyro-X: 5.06927490	Y: 0.71777344	Z: -0.65795898
        Accel-X: -11.21887207	Y: 0.19531250	Z: 1.25549316	|  Gyro-X: 6.42257690	Y: 0.85235596	Z: -0.83740234
        Accel-X: -11.18896484	Y: 0.00854492	Z: 1.39465332	|  Gyro-X: 4.51599121	Y: 0.39627075	Z: -1.30096436
        Accel-X: -11.23840332	Y: 0.04272461	Z: 1.39099121	|  Gyro-X: 2.37014771	Y: 1.33834839	Z: -0.34393311
        
