        Accel-X: 3.95324707	Y: 1.29089355	Z: -5.99853516	|  Gyro-X: 57.32467651	Y: 122.23831177	Z: -0.61309814
        Accel-X: 1.37512207	Y: 1.23840332	Z: -4.29748535	|  Gyro-X: 39.59716797	Y: 92.69744873	Z: -3.32717896
        Accel-X: -0.20568848	Y: 1.17065430	Z: -1.47583008	|  Gyro-X: 32.00073242	Y: 62.34909058	Z: -2.90847778
        Accel-X: -0.95947266	Y: 1.05041504	Z: 1.32019043	|  Gyro-X: 34.17648315	Y: 43.32809448	Z: -3.46176147
        Accel-X: -1.51672363	Y: 1.31347656	Z: 3.70788574	|  Gyro-X: 29.01000977	Y: 30.86425781	Z: -0.07476807
        Accel-X: -1.44836426	Y: 1.22619629	Z: 5.62744141	|  Gyro-X: 23.39492798	Y: 22.93884277	Z: -1.51031494
        Accel-X: -2.15454102	Y: 1.07604980	Z: 7.02270508	|  Gyro-X: 14.09378052	Y: 17.57797241	Z: -5.21133423
        Accel-X: -2.35900879	Y: 0.94848633	Z: 7.49023438	|  Gyro-X: 3.55895996	Y: 13.80218506	Z: -4.59075928
        Accel-X: -2.32055664	Y: 0.62316895	Z: 8.24218750	|  Gyro-X: 3.79821777	Y: 8.50112915	Z: -2.34771729
        Accel-X: -2.05566406	Y: 0.52490234	Z: 8.68713379	|  Gyro-X: 18.21350098	Y: 5.16647339	Z: -5.18890381
        Accel-X: -2.16918945	Y: 0.15197754	Z: 8.89404297	|  Gyro-X: 20.97991943	Y: 3.73092651	Z: -2.79632568
        Accel-X: -2.19543457	Y: 0.53161621	Z: 9.24011230	|  Gyro-X: 19.17800903	Y: 4.84497070	Z: -0.03738403
        Accel-X: -2.39685059	Y: 1.00952148	Z: 9.37622070	|  Gyro-X: 19.33502197	Y: 3.50662231	Z: -2.57949829
        Accel-X: -2.53234863	Y: 1.18835449	Z: 9.62646484	|  Gyro-X: 14.28817749	Y: 0.59814453	Z: -3.52157593
        Accel-X: -2.26562500	Y: 0.84716797	Z: 9.59289551	|  Gyro-X: 5.05432129	Y: 1.05422974	Z: -3.05801392
        Accel-X: -2.18994141	Y: 0.70129395	Z: 10.00427246	|  Gyro-X: 6.53472900	Y: 0.25421143	Z: -5.63751221
        Accel-X: -2.28637695	Y: 0.79162598	Z: 10.23315430	|  Gyro-X: 11.61895752	Y: -1.31591797	Z: -7.50671387
        Accel-X: -2.27294922	Y: 0.63171387	Z: 9.90783691	|  Gyro-X: 10.28808594	Y: -0.54580688	Z: -6.59454346
        Accel-X: -2.16125488	Y: 0.76721191	Z: 9.79797363	|  Gyro-X: 8.64318848	Y: 0.56076050	Z: -6.67678833
        Accel-X: -2.26257324	Y: 0.65124512	Z: 9.69299316	|  Gyro-X: 8.80020142	Y: -0.56076050	Z: -8.35906982
        Accel-X: -2.45666504	Y: 0.64697266	Z: 9.69421387	|  Gyro-X: 9.51049805	Y: -0.82992554	Z: -7.14035034
        Accel-X: -2.37060547	Y: 0.73181152	Z: 9.61975098	|  Gyro-X: 9.63760376	Y: -0.49346924	Z: -5.44311523
        Accel-X: -2.28210449	Y: 0.73486328	Z: 9.72045898	|  Gyro-X: 12.01522827	Y: -1.56265259	Z: -8.19458008
        Accel-X: -2.32910156	Y: 0.74218750	Z: 9.84619141	|  Gyro-X: 8.80020142	Y: -2.83370972	Z: -7.79830933
        Accel-X: -2.22412109	Y: 0.55358887	Z: 9.95727539	|  Gyro-X: 3.14025879	Y: -2.54959106	Z: -4.93469238
        Accel-X: -2.22473145	Y: 0.52307129	Z: 9.94018555	|  Gyro-X: 3.64120483	Y: -1.00189209	Z: -4.88983154
