        Accel-X: 4.68627930	Y: 2.15148926	Z: 6.90856934	|  Gyro-X: 53.61618042	Y: -117.19894409	Z: -60.75653076
        Accel-X: 5.59753418	Y: 2.63671875	Z: 6.73400879	|  Gyro-X: 40.40466309	Y: -110.48477173	Z: -63.01452637
        Accel-X: 4.55749512	Y: 2.20275879	Z: 6.34460449	|  Gyro-X: 10.93109131	Y: -90.54412842	Z: -62.69302368
        Accel-X: 3.41857910	Y: 2.16613770	Z: 7.07092285	|  Gyro-X: -30.03433228	Y: -68.03894043	Z: -53.48159790
        Accel-X: 2.08312988	Y: 3.10546875	Z: 7.97607422	|  Gyro-X: -75.36621094	Y: -29.87731934	Z: -35.61950684
        Accel-X: 1.48620605	Y: 3.24340820	Z: 7.83935547	|  Gyro-X: -81.00372314	Y: -9.78713989	Z: -28.39691162
        Accel-X: 1.33300781	Y: 3.62243652	Z: 6.95434570	|  Gyro-X: -75.79238892	Y: -3.12530518	Z: -22.06405640
        Accel-X: 0.92651367	Y: 3.87390137	Z: 7.76489258	|  Gyro-X: -57.86300659	Y: -8.15719604	Z: -20.17990112
        Accel-X: 0.77148438	Y: 3.37341309	Z: 9.37500000	|  Gyro-X: -29.72778320	Y: -17.49572754	Z: -19.76867676
        Accel-X: 0.52124023	Y: 2.59460449	Z: 10.24475098	|  Gyro-X: -27.63427734	Y: -9.06936646	Z: -13.34609985
        Accel-X: 0.98266602	Y: 3.63952637	Z: 9.67102051	|  Gyro-X: -25.36880493	Y: 3.79074097	Z: -5.87677002
        Accel-X: 0.73974609	Y: 3.23791504	Z: 8.89770508	|  Gyro-X: -2.57949829	Y: 10.18341064	Z: -5.88424683
        Accel-X: 0.55847168	Y: 3.21105957	Z: 8.97888184	|  Gyro-X: 5.85433960	Y: 5.73471069	Z: -5.36834717
        Accel-X: 0.45104980	Y: 3.34777832	Z: 9.26879883	|  Gyro-X: 3.02062988	Y: 1.88415527	Z: -5.37582397
        Accel-X: 0.62133789	Y: 3.17443848	Z: 9.31396484	|  Gyro-X: -3.67111206	Y: 1.95144653	Z: -6.32537842
        Accel-X: 0.05798340	Y: 3.34350586	Z: 8.52111816	|  Gyro-X: -17.73498535	Y: 7.71606445	Z: -6.65435791
        Accel-X: 0.16967773	Y: 3.11706543	Z: 8.67919922	|  Gyro-X: -22.00424194	Y: 7.96279907	Z: -6.02630615
        Accel-X: 0.17456055	Y: 3.22692871	Z: 9.10400391	|  Gyro-X: -19.83596802	Y: 4.22439575	Z: -5.41320801
        Accel-X: -0.06835938	Y: 2.89245605	Z: 9.15100098	|  Gyro-X: -12.47131348	Y: 2.01126099	Z: -6.22817993
        Accel-X: -0.01098633	Y: 2.86499023	Z: 8.91052246	|  Gyro-X: -5.18890381	Y: 3.47671509	Z: -6.17584229
        Accel-X: 0.04882812	Y: 3.28308105	Z: 9.03503418	|  Gyro-X: -5.30853271	Y: 3.17016602	Z: -5.27862549
        Accel-X: 0.04943848	Y: 3.31359863	Z: 9.06250000	|  Gyro-X: -5.75714111	Y: 1.53274536	Z: -5.56274414
        Accel-X: -0.11352539	Y: 3.16406250	Z: 8.99780273	|  Gyro-X: -6.37771606	Y: 0.35140991	Z: -5.98144531
        Accel-X: -0.03295898	Y: 3.18481445	Z: 9.24926758	|  Gyro-X: -6.81884766	Y: 0.41870117	Z: -6.59454346
        Accel-X: -0.16662598	Y: 3.41125488	Z: 9.15039062	|  Gyro-X: -9.20394897	Y: 1.37573242	Z: -6.66183472
        Accel-X: -0.19958496	Y: 3.34228516	Z: 9.21020508	|  Gyro-X: -8.43383789	Y: 1.45797729	Z: -6.68426514
        Accel-X: 0.03112793	Y: 3.15734863	Z: 9.14123535	|  Gyro-X: -6.78894043	Y: 0.56823730	Z: -6.93847656
        Accel-X: -0.02929688	Y: 3.21533203	Z: 9.25964355	|  Gyro-X: -8.94973755	Y: 0.50094604	Z: -5.77957153
        Accel-X: -0.28564453	Y: 3.22753906	Z: 9.40612793	|  Gyro-X: -11.33483887	Y: 1.50283813	Z: -6.28799438
        Accel-X: -0.22094727	Y: 3.30078125	Z: 9.32556152	|  Gyro-X: -11.52175903	Y: 1.35330200	Z: -7.90298462
        Accel-X: -0.11962891	Y: 3.21594238	Z: 9.34936523	|  Gyro-X: -10.87875366	Y: 0.55328369	Z: -8.44131470
        Accel-X: -0.18310547	Y: 3.01086426	Z: 9.24865723	|  Gyro-X: -10.44509888	Y: 0.14953613	Z: -8.51608276
        Accel-X: -0.07690430	Y: 2.98156738	Z: 9.30908203	|  Gyro-X: -8.35906982	Y: -0.65795898	Z: -7.80578613
        Accel-X: -0.27160645	Y: 3.00476074	Z: 9.22912598	|  Gyro-X: -8.55346680	Y: -0.34393311	Z: -7.22259521
        Accel-X: -0.27160645	Y: 3.10241699	Z: 9.33471680	|  Gyro-X: -7.11791992	Y: -0.56076050	Z: -7.01324463
        Accel-X: -0.18737793	Y: 3.00354004	Z: 9.30725098	|  Gyro-X: -5.90667725	Y: -0.35888672	Z: -7.73101807
        Accel-X: -0.26062012	Y: 3.05725098	Z: 9.20776367	|  Gyro-X: -5.98144531	Y: -0.72525024	Z: -7.44689941
        Accel-X: -0.37353516	Y: 3.12316895	Z: 9.25109863	|  Gyro-X: -11.67877197	Y: 0.68786621	Z: -5.81695557
        Accel-X: -0.21789551	Y: 3.13903809	Z: 9.37927246	|  Gyro-X: -10.58715820	Y: -0.02990723	Z: -6.43005371
        Accel-X: -0.14709473	Y: 2.81921387	Z: 9.28405762	|  Gyro-X: -9.19647217	Y: -0.92712402	Z: -7.40203857
        Accel-X: -0.28259277	Y: 3.01940918	Z: 9.42443848	|  Gyro-X: -9.18151855	Y: -0.80749512	Z: -6.36276245
        Accel-X: -0.30456543	Y: 3.14636230	Z: 9.38110352	|  Gyro-X: -8.54598999	Y: 0.88973999	Z: -6.16836548
        Accel-X: -0.26000977	Y: 3.04199219	Z: 9.25170898	|  Gyro-X: -7.03567505	Y: 0.30654907	Z: -5.98144531
        Accel-X: -0.21301270	Y: 3.06457520	Z: 9.34143066	|  Gyro-X: -6.18331909	Y: -0.23925781	Z: -6.35528564
        Accel-X: -0.23620605	Y: 2.98034668	Z: 9.12902832	|  Gyro-X: -8.13476562	Y: -0.45608521	Z: -6.10855103
        Accel-X: -0.23132324	Y: 3.01086426	Z: 9.13757324	|  Gyro-X: -8.35906982	Y: -0.78506470	Z: -5.40573120
        Accel-X: -0.25146484	Y: 3.06335449	Z: 9.35424805	|  Gyro-X: -7.42446899	Y: -1.36077881	Z: -5.39825439
        Accel-X: -0.29357910	Y: 3.07312012	Z: 9.24987793	|  Gyro-X: -8.17962646	Y: -0.70281982	Z: -5.04684448
        Accel-X: -0.32409668	Y: 3.12377930	Z: 9.31152344	|  Gyro-X: -7.97775269	Y: -0.33645630	Z: -5.28610229
        Accel-X: -0.30517578	Y: 3.05297852	Z: 9.42321777	|  Gyro-X: -7.55905151	Y: -1.02432251	Z: -5.53283691
        Accel-X: -0.27038574	Y: 3.07434082	Z: 9.18151855	|  Gyro-X: -10.72174072	Y: 0.08972168	Z: -4.50851440
        Accel-X: -0.33142090	Y: 3.23181152	Z: 9.12719727	|  Gyro-X: -13.58535767	Y: 0.04486084	Z: -4.17205811
        Accel-X: -0.12817383	Y: 3.12500000	Z: 9.44396973	|  Gyro-X: -10.00396729	Y: -1.72714233	Z: -6.14593506
        Accel-X: -0.17944336	Y: 2.85522461	Z: 9.29992676	|  Gyro-X: -8.87496948	Y: -2.08602905	Z: -6.33285522
        Accel-X: -0.31921387	Y: 3.07495117	Z: 9.39697266	|  Gyro-X: -10.55725098	Y: -0.92712402	Z: -4.32907104
        
