        Accel-X: 18.55773926	Y: -7.12463379	Z: 6.71447754	|  Gyro-X: 20.96496582	Y: 114.25308228	Z: 244.52148438
        Accel-X: 15.62072754	Y: -4.38781738	Z: 3.32885742	|  Gyro-X: 24.32205200	Y: 126.97860718	Z: 244.52148438
        Accel-X: 10.88195801	Y: -1.42944336	Z: -2.40295410	|  Gyro-X: 46.58050537	Y: 126.10382080	Z: 244.52148438
        Accel-X: 7.95715332	Y: 0.74584961	Z: -3.68347168	|  Gyro-X: 58.22189331	Y: 121.31866455	Z: 244.52148438
        Accel-X: 4.05700684	Y: 2.24975586	Z: -4.28649902	|  Gyro-X: 78.94760132	Y: 120.69061279	Z: 244.52148438
        Accel-X: 0.18127441	Y: 6.04797363	Z: -7.63061523	|  Gyro-X: 89.31045532	Y: 119.75601196	Z: 228.88000488
        Accel-X: -1.44104004	Y: 6.58203125	Z: -9.90661621	|  Gyro-X: 65.36224365	Y: 101.07147217	Z: 175.47317505
        Accel-X: -3.68713379	Y: 5.25207520	Z: -9.29565430	|  Gyro-X: 54.64050293	Y: 72.83157349	Z: 123.12057495
        Accel-X: -6.28967285	Y: 5.63415527	Z: -6.22985840	|  Gyro-X: 42.93930054	Y: 44.51690674	Z: 69.66888428
        Accel-X: -7.59582520	Y: 4.27246094	Z: -4.66674805	|  Gyro-X: 6.72912598	Y: 10.84136963	Z: 22.80426025
        Accel-X: -10.41625977	Y: 1.23779297	Z: -2.32055664	|  Gyro-X: 5.15151978	Y: -3.84307861	Z: -1.73461914
        Accel-X: -11.50695801	Y: 0.09460449	Z: -0.62988281	|  Gyro-X: 17.70507812	Y: -9.68994141	Z: -15.15548706
        Accel-X: -12.17712402	Y: 0.65734863	Z: 0.22705078	|  Gyro-X: 29.70535278	Y: -5.83190918	Z: -18.40042114
        Accel-X: -12.52136230	Y: 0.14465332	Z: 1.38244629	|  Gyro-X: 10.62454224	Y: -0.41122437	Z: -16.77047729
        Accel-X: -12.98889160	Y: -0.56152344	Z: 0.96374512	|  Gyro-X: -9.95910645	Y: 3.94027710	Z: -14.46762085
        Accel-X: -12.96081543	Y: -1.84204102	Z: 0.67687988	|  Gyro-X: -9.18151855	Y: 3.14773560	Z: -11.85073853
        Accel-X: -12.44445801	Y: -1.39648438	Z: 1.02783203	|  Gyro-X: 4.02252197	Y: 3.07296753	Z: -8.25439453
        Accel-X: -12.33276367	Y: -1.42761230	Z: 0.58349609	|  Gyro-X: 2.63931274	Y: 4.00756836	Z: -2.29537964
        Accel-X: -12.28637695	Y: -0.95764160	Z: -0.13854980	|  Gyro-X: 7.02819824	Y: 0.56076050	Z: 1.57760620
        Accel-X: -11.90551758	Y: -0.93505859	Z: -0.59265137	|  Gyro-X: 12.43392944	Y: -5.43563843	Z: 0.93460083
        Accel-X: -11.72668457	Y: -0.59631348	Z: -0.51025391	|  Gyro-X: 14.67697144	Y: -9.62265015	Z: 0.47103882
        Accel-X: -11.42333984	Y: -0.53588867	Z: 0.13549805	|  Gyro-X: 11.91055298	Y: -11.71615601	Z: 2.41500854
        Accel-X: -11.75109863	Y: -0.36071777	Z: 0.10864258	|  Gyro-X: 11.01333618	Y: -11.22268677	Z: 5.06179810
        Accel-X: -11.53015137	Y: -0.28137207	Z: 0.01770020	|  Gyro-X: 10.21331787	Y: -12.82272339	Z: 4.73281860
        Accel-X: -11.00830078	Y: -0.02563477	Z: 0.80139160	|  Gyro-X: 6.54220581	Y: -13.27133179	Z: 4.40383911
        Accel-X: -11.01196289	Y: -0.12695312	Z: 0.78063965	|  Gyro-X: 1.36825562	Y: -9.83947754	Z: 3.82812500
        Accel-X: -11.12915039	Y: -0.64575195	Z: 0.59936523	|  Gyro-X: 3.84307861	Y: -6.87866211	Z: 2.51220703
        Accel-X: -11.00463867	Y: -0.37414551	Z: 0.72021484	|  Gyro-X: 12.11990356	Y: -4.83749390	Z: -0.41870117
        Accel-X: -11.02416992	Y: -0.19042969	Z: 0.58593750	|  Gyro-X: 8.61328125	Y: -2.07855225	Z: -1.21124268
        Accel-X: -10.99487305	Y: -0.03967285	Z: 0.57128906	|  Gyro-X: 4.05990601	Y: -1.36825562	Z: -1.39816284
        Accel-X: -11.15234375	Y: -0.60913086	Z: 0.57434082	|  Gyro-X: 3.22250366	Y: -1.23367310	Z: -3.25988770
