        Accel-X: -6.32141113	Y: 0.73791504	Z: -1.10412598	|  Gyro-X: 27.25296021	Y: -20.70327759	Z: 49.93011475
        Accel-X: -9.17297363	Y: 0.69641113	Z: -1.46911621	|  Gyro-X: 31.83624268	Y: -13.42086792	Z: 32.51663208
        Accel-X: -10.59631348	Y: 1.67663574	Z: -1.58752441	|  Gyro-X: 32.21008301	Y: -5.52536011	Z: 30.42312622
        Accel-X: -11.01867676	Y: 1.56738281	Z: -1.94763184	|  Gyro-X: 22.96127319	Y: -3.98513794	Z: 20.60607910
        Accel-X: -11.02294922	Y: 1.54296875	Z: -2.09472656	|  Gyro-X: 23.52951050	Y: -5.06179810	Z: 13.79470825
        Accel-X: -11.40563965	Y: 1.77062988	Z: -1.79016113	|  Gyro-X: 22.10891724	Y: -6.46743774	Z: 9.25628662
        Accel-X: -11.46789551	Y: 1.66931152	Z: -1.93725586	|  Gyro-X: 19.77615356	Y: -10.54229736	Z: 5.86181641
        Accel-X: -10.95458984	Y: 1.75354004	Z: -2.47192383	|  Gyro-X: 13.65264893	Y: -12.89001465	Z: 2.88604736
        Accel-X: -11.01745605	Y: 1.37145996	Z: -2.69104004	|  Gyro-X: 10.05630493	Y: -15.16296387	Z: 1.36077881
        Accel-X: -10.89477539	Y: 1.77490234	Z: -2.52197266	|  Gyro-X: 9.06936646	Y: -16.67327881	Z: -1.57760620
        Accel-X: -10.88195801	Y: 1.31774902	Z: -1.44714355	|  Gyro-X: 0.74020386	Y: -18.25836182	Z: -2.87109375
        Accel-X: -10.76904297	Y: 1.39770508	Z: -1.44958496	|  Gyro-X: 2.31033325	Y: -19.21539307	Z: -6.71417236
        Accel-X: -10.78552246	Y: 1.30432129	Z: -1.22741699	|  Gyro-X: -0.53833008	Y: -17.36114502	Z: -8.27682495
        Accel-X: -10.69213867	Y: 0.91613770	Z: -1.07421875	|  Gyro-X: -2.96829224	Y: -16.44897461	Z: -9.66751099
        Accel-X: -10.76721191	Y: 0.71044922	Z: -0.96862793	|  Gyro-X: 3.02062988	Y: -15.75363159	Z: -9.60769653
        Accel-X: -10.87463379	Y: 1.03637695	Z: -0.75195312	|  Gyro-X: 6.27304077	Y: -15.02838135	Z: -10.93109131
        Accel-X: -10.70739746	Y: 1.05224609	Z: -0.69519043	|  Gyro-X: 1.65237427	Y: -14.19845581	Z: -12.58346558
        Accel-X: -10.93933105	Y: 0.38940430	Z: -0.15075684	|  Gyro-X: -1.91406250	Y: -12.18719482	Z: -12.44140625
