        Accel-X: 12.09899902	Y: -0.92102051	Z: 6.42089844	|  Gyro-X: 33.01010132	Y: 160.91583252	Z: 51.35070801
        Accel-X: 11.44165039	Y: -0.67871094	Z: 6.00646973	|  Gyro-X: 37.57843018	Y: 155.54748535	Z: 43.64959717
        Accel-X: 10.09948730	Y: -0.89233398	Z: 5.94055176	|  Gyro-X: 39.11117554	Y: 148.07067871	Z: 32.63626099
        Accel-X: 9.37988281	Y: -0.61706543	Z: 5.86547852	|  Gyro-X: 39.36538696	Y: 140.55648804	Z: 27.65670776
        Accel-X: 7.99133301	Y: -0.46508789	Z: 5.77270508	|  Gyro-X: 40.52429199	Y: 134.21615601	Z: 22.29583740
        Accel-X: 7.29675293	Y: 0.27282715	Z: 6.05895996	|  Gyro-X: 41.61590576	Y: 126.35803223	Z: 16.17233276
        Accel-X: 6.84265137	Y: -0.11962891	Z: 5.93872070	|  Gyro-X: 36.26251221	Y: 119.96536255	Z: 10.80398560
        Accel-X: 5.40283203	Y: 0.02380371	Z: 6.37756348	|  Gyro-X: 42.76733398	Y: 111.83807373	Z: 6.40014648
        Accel-X: 5.05249023	Y: 0.64697266	Z: 6.63574219	|  Gyro-X: 46.01974487	Y: 105.90148926	Z: 4.03747559
        Accel-X: 4.47570801	Y: 0.92163086	Z: 6.08825684	|  Gyro-X: 37.15972900	Y: 102.73132324	Z: 2.28042603
        Accel-X: 3.44543457	Y: 0.31005859	Z: 5.60913086	|  Gyro-X: 24.23233032	Y: 94.43954468	Z: 0.90469360
        Accel-X: 2.72460938	Y: 0.86547852	Z: 5.56945801	|  Gyro-X: 19.05838013	Y: 85.48980713	Z: 0.00747681
        Accel-X: 2.03430176	Y: 1.27563477	Z: 5.22705078	|  Gyro-X: 10.75912476	Y: 78.64105225	Z: -1.09161377
        Accel-X: 1.33911133	Y: 0.93505859	Z: 4.62646484	|  Gyro-X: 4.40383911	Y: 65.18280029	Z: -3.97766113
        Accel-X: 0.89721680	Y: 1.15966797	Z: 4.49584961	|  Gyro-X: -0.88973999	Y: 54.52835083	Z: -4.74029541
        Accel-X: -0.35034180	Y: 1.45324707	Z: 4.65454102	|  Gyro-X: -9.14413452	Y: 44.27764893	Z: -5.10665894
        Accel-X: -0.35644531	Y: 1.76696777	Z: 5.21423340	|  Gyro-X: -4.43374634	Y: 32.43438721	Z: -10.38528442
        Accel-X: -0.48950195	Y: 1.92199707	Z: 5.65490723	|  Gyro-X: -8.74786377	Y: 19.03594971	Z: -13.13674927
        Accel-X: -0.84472656	Y: 1.50268555	Z: 6.66564941	|  Gyro-X: -8.46374512	Y: 12.50122070	Z: -13.75732422
        Accel-X: -0.79711914	Y: 1.67907715	Z: 7.29553223	|  Gyro-X: -6.82632446	Y: 9.46563721	Z: -14.18350220
        Accel-X: -0.94055176	Y: 1.72363281	Z: 7.23571777	|  Gyro-X: -13.12179565	Y: 8.29925537	Z: -11.76849365
        Accel-X: -1.14746094	Y: 1.34277344	Z: 7.98217773	|  Gyro-X: -14.21340942	Y: 3.79821777	Z: -9.78713989
        Accel-X: -1.10656738	Y: 1.38610840	Z: 8.41369629	|  Gyro-X: -9.98153687	Y: 0.47851562	Z: -10.10864258
        Accel-X: -1.28112793	Y: 1.27807617	Z: 8.55712891	|  Gyro-X: -8.86001587	Y: -2.19818115	Z: -10.01144409
        Accel-X: -1.29760742	Y: 1.43920898	Z: 8.71887207	|  Gyro-X: -8.94973755	Y: -3.48419189	Z: -9.24880981
        Accel-X: -1.41113281	Y: 1.15173340	Z: 9.01733398	|  Gyro-X: -5.39825439	Y: -5.09170532	Z: -11.46942139
        Accel-X: -1.29089355	Y: 1.31591797	Z: 9.41955566	|  Gyro-X: -1.09161377	Y: -8.05999756	Z: -14.54986572
        Accel-X: -0.90576172	Y: 1.14135742	Z: 9.45434570	|  Gyro-X: -2.93838501	Y: -9.84695435	Z: -15.67886353
        Accel-X: -0.89172363	Y: 0.96374512	Z: 9.53002930	|  Gyro-X: -21.04721069	Y: -9.35348511	Z: -11.64886475
        Accel-X: -0.98571777	Y: 0.96801758	Z: 9.55627441	|  Gyro-X: -22.48275757	Y: -9.15908813	Z: -13.33862305
        Accel-X: -1.07299805	Y: 1.11572266	Z: 9.84985352	|  Gyro-X: -18.11630249	Y: -11.31988525	Z: -16.51626587
        Accel-X: -0.92956543	Y: 1.03271484	Z: 9.64721680	|  Gyro-X: -14.06387329	Y: -11.23764038	Z: -17.21160889
        Accel-X: -0.76965332	Y: 0.76599121	Z: 9.74548340	|  Gyro-X: -9.51797485	Y: -11.52175903	Z: -17.40600586
        Accel-X: -0.63476562	Y: 0.83129883	Z: 10.03173828	|  Gyro-X: -3.05801392	Y: -11.90307617	Z: -17.95181274
        Accel-X: -0.80322266	Y: 1.00952148	Z: 9.78820801	|  Gyro-X: -6.73660278	Y: -10.94604492	Z: -15.17044067
        Accel-X: -0.85998535	Y: 0.83251953	Z: 9.97802734	|  Gyro-X: -13.03955078	Y: -7.96279907	Z: -10.04135132
        Accel-X: -0.59936523	Y: 0.96496582	Z: 10.02624512	|  Gyro-X: -9.62265015	Y: -6.99829102	Z: -10.50491333
        Accel-X: -0.76416016	Y: 1.09924316	Z: 9.98718262	|  Gyro-X: -7.64129639	Y: -6.71417236	Z: -10.84884644
        Accel-X: -0.61767578	Y: 0.95458984	Z: 10.15930176	|  Gyro-X: -5.74218750	Y: -5.21133423	Z: -10.01144409
        Accel-X: -0.48095703	Y: 0.84899902	Z: 10.04272461	|  Gyro-X: -3.76831055	Y: -3.87298584	Z: -9.47311401
        Accel-X: -0.67932129	Y: 0.88745117	Z: 10.06835938	|  Gyro-X: -5.54031372	Y: -3.40194702	Z: -7.97027588
        Accel-X: -0.65246582	Y: 1.02111816	Z: 10.06835938	|  Gyro-X: -8.17962646	Y: -3.11782837	Z: -6.19079590
        Accel-X: -0.52429199	Y: 0.83740234	Z: 10.20568848	|  Gyro-X: -10.75164795	Y: -1.80191040	Z: -6.13845825
        Accel-X: -0.57128906	Y: 0.79833984	Z: 10.04150391	|  Gyro-X: -8.49365234	Y: -1.54769897	Z: -6.81884766
        Accel-X: -0.58166504	Y: 0.82214355	Z: 9.93774414	|  Gyro-X: -7.99270630	Y: -1.01684570	Z: -5.56274414
        Accel-X: -0.74279785	Y: 0.94543457	Z: 9.91699219	|  Gyro-X: -10.02639771	Y: -0.43365479	Z: -3.20755005
        Accel-X: -0.53222656	Y: 0.96801758	Z: 9.89257812	|  Gyro-X: -3.87298584	Y: -0.38131714	Z: -4.27673340
        Accel-X: -0.56640625	Y: 0.77087402	Z: 9.73022461	|  Gyro-X: -0.43365479	Y: -0.29907227	Z: -5.81695557
        Accel-X: -0.71533203	Y: 1.06079102	Z: 9.76257324	|  Gyro-X: -1.76452637	Y: -1.30096436	Z: -5.12908936
        Accel-X: -0.66711426	Y: 1.14440918	Z: 9.89440918	|  Gyro-X: -10.51986694	Y: 0.02243042	Z: -2.05612183
        Accel-X: -0.53710938	Y: 1.11389160	Z: 9.70092773	|  Gyro-X: -7.18521118	Y: -0.64300537	Z: -4.26925659
        Accel-X: -0.63842773	Y: 0.95153809	Z: 9.74243164	|  Gyro-X: -5.28610229	Y: -1.54769897	Z: -5.86929321
        Accel-X: -0.66223145	Y: 1.09619141	Z: 9.71191406	|  Gyro-X: -5.08422852	Y: -1.80938721	Z: -5.17395020
        Accel-X: -0.40893555	Y: 0.82031250	Z: 9.67773438	|  Gyro-X: -1.51031494	Y: -1.81686401	Z: -4.42626953
        Accel-X: -0.48767090	Y: 1.08032227	Z: 9.78027344	|  Gyro-X: 0.80749512	Y: -3.42437744	Z: -4.68795776
        
