        Accel-X: 9.00512695	Y: -0.96069336	Z: 0.13427734	|  Gyro-X: 19.41726685	Y: 0.41122437	Z: -3.64868164
        Accel-X: 9.29016113	Y: -1.53442383	Z: 1.39892578	|  Gyro-X: 30.66238403	Y: -1.03927612	Z: -3.05053711
        Accel-X: 9.83581543	Y: -1.27441406	Z: 2.07641602	|  Gyro-X: 35.53726196	Y: -3.14025879	Z: -3.86550903
        Accel-X: 9.23706055	Y: -2.30163574	Z: 2.37609863	|  Gyro-X: 45.51132202	Y: 3.84307861	Z: 6.51229858
        Accel-X: 10.24230957	Y: -5.34545898	Z: 5.96008301	|  Gyro-X: 112.11471558	Y: -14.31060791	Z: 0.51589966
        Accel-X: 12.15332031	Y: -2.52624512	Z: 13.79943848	|  Gyro-X: 196.50543213	Y: 23.07342529	Z: -22.14630127
        Accel-X: 13.69018555	Y: 4.60510254	Z: 19.99511719	|  Gyro-X: 146.01455688	Y: 68.50250244	Z: -34.55032349
        Accel-X: 18.14147949	Y: 2.87048340	Z: 19.99511719	|  Gyro-X: 69.48196411	Y: 137.88726807	Z: -37.79525757
        Accel-X: 19.99511719	Y: -0.11840820	Z: 19.99511719	|  Gyro-X: -14.16854858	Y: 224.27429199	Z: -28.22494507
        Accel-X: 19.99511719	Y: -2.42797852	Z: 17.59033203	|  Gyro-X: -57.55645752	Y: 244.88037109	Z: -7.05810547
        Accel-X: 19.99511719	Y: -4.11560059	Z: 12.55432129	|  Gyro-X: -22.43789673	Y: 244.88037109	Z: 3.28231812
        Accel-X: 19.99511719	Y: -3.72680664	Z: 3.72436523	|  Gyro-X: -9.16656494	Y: 244.88037109	Z: 12.87506104
        Accel-X: 19.99511719	Y: -3.59619141	Z: 1.12670898	|  Gyro-X: -8.29925537	Y: 244.88037109	Z: 20.00045776
        Accel-X: 18.09326172	Y: -2.53540039	Z: -0.77697754	|  Gyro-X: 2.96081543	Y: 244.88037109	Z: 21.48834229
        Accel-X: 13.61938477	Y: -1.56799316	Z: -2.35900879	|  Gyro-X: 20.76309204	Y: 244.88037109	Z: 16.13494873
        Accel-X: 10.91064453	Y: -0.99792480	Z: -3.13110352	|  Gyro-X: 32.50915527	Y: 233.26889038	Z: 9.26376343
        Accel-X: 7.98156738	Y: -1.07482910	Z: -2.86193848	|  Gyro-X: 29.79507446	Y: 206.45706177	Z: 13.77227783
        Accel-X: 4.80102539	Y: -0.29541016	Z: -2.78808594	|  Gyro-X: 52.63671875	Y: 168.99078369	Z: 5.11413574
        Accel-X: 3.00476074	Y: 0.18249512	Z: -2.52441406	|  Gyro-X: 53.78067017	Y: 140.16769409	Z: -2.63931274
        Accel-X: 1.68090820	Y: 0.20935059	Z: -1.88415527	|  Gyro-X: 31.82876587	Y: 114.18579102	Z: 2.31781006
        Accel-X: -0.13366699	Y: 0.14709473	Z: -0.71716309	|  Gyro-X: 21.18179321	Y: 90.84320068	Z: 2.97576904
