Accel-X: 8.42773438	Y: -2.64282227	Z: -3.49243164	|  Gyro-X: 2.07107544	Y: -6.58706665	Z: -9.66751099
        Accel-X: 8.59802246	Y: -2.65747070	Z: -3.53454590	|  Gyro-X: -0.11215210	Y: -7.83569336	Z: -8.08990479
        Accel-X: 8.70422363	Y: -2.68127441	Z: -3.41125488	|  Gyro-X: 0.00000000	Y: -8.39645386	Z: -6.11602783
        Accel-X: 8.80676270	Y: -2.81738281	Z: -3.43750000	|  Gyro-X: 1.43554688	Y: -9.29367065	Z: -4.43374634
        Accel-X: 8.82873535	Y: -2.79418945	Z: -3.28186035	|  Gyro-X: 3.15521240	Y: -9.20394897	Z: -3.56643677
        Accel-X: 8.67675781	Y: -2.79602051	Z: -3.10180664	|  Gyro-X: 6.13098145	Y: -8.25439453	Z: -3.31222534
        Accel-X: 8.53454590	Y: -2.61718750	Z: -2.90405273	|  Gyro-X: 9.82452393	Y: -7.67120361	Z: -3.51409912
        Accel-X: 8.50769043	Y: -2.46276855	Z: -2.97363281	|  Gyro-X: 14.12368774	Y: -7.49923706	Z: -2.86361694
        Accel-X: 8.46618652	Y: -2.49816895	Z: -2.98950195	|  Gyro-X: 14.13116455	Y: -5.62255859	Z: -2.35519409
        Accel-X: 8.57360840	Y: -2.47436523	Z: -3.30688477	|  Gyro-X: 13.87695312	Y: -4.30664062	Z: -3.64868164
        Accel-X: 8.42163086	Y: -2.22412109	Z: -3.41308594	|  Gyro-X: 11.56661987	Y: -1.60751343	Z: -4.23187256
        Accel-X: 8.34472656	Y: -2.15576172	Z: -3.48632812	|  Gyro-X: 5.94406128	Y: -0.42617798	Z: -3.11782837
        Accel-X: 8.40942383	Y: -2.30834961	Z: -3.53698730	|  Gyro-X: 2.31033325	Y: 0.14953613	Z: -1.57760620
        Accel-X: 8.43261719	Y: -2.28942871	Z: -3.75915527	|  Gyro-X: -1.48788452	Y: 0.47851562	Z: -1.06170654
        Accel-X: 8.45336914	Y: -2.31750488	Z: -3.80798340	|  Gyro-X: -2.37014771	Y: -0.23925781	Z: -0.45608521
        Accel-X: 8.39599609	Y: -2.33520508	Z: -3.89221191	|  Gyro-X: -3.49166870	Y: -0.65795898	Z: 0.34393311
        Accel-X: 8.34350586	Y: -2.32849121	Z: -3.84277344	|  Gyro-X: -2.68417358	Y: -1.45050049	Z: 0.97198486
        Accel-X: 8.34167480	Y: -2.23937988	Z: -3.77990723	|  Gyro-X: -0.34393311	Y: -2.29537964	Z: 1.76452637
        Accel-X: 8.29895020	Y: -2.33947754	Z: -3.69873047	|  Gyro-X: 0.84487915	Y: -3.25241089	Z: 2.22061157
        Accel-X: 8.24035645	Y: -2.27539062	Z: -3.79211426	|  Gyro-X: 2.97576904	Y: -4.53094482	Z: 0.96450806
        Accel-X: 8.36425781	Y: -2.29980469	Z: -3.78967285	|  Gyro-X: 3.70849609	Y: -6.29547119	Z: -1.01684570
