        Accel-X: -1.01013184	Y: 1.92382812	Z: 7.75451660	|  Gyro-X: 20.24719238	Y: 8.34411621	Z: -2.85614014
        Accel-X: -1.03393555	Y: 1.83898926	Z: 8.49304199	|  Gyro-X: 18.18359375	Y: 6.45996094	Z: -5.83190918
        Accel-X: -1.08154297	Y: 1.78466797	Z: 8.88854980	|  Gyro-X: 17.51815796	Y: 6.69921875	Z: -7.61886597
        Accel-X: -1.10534668	Y: 1.73828125	Z: 9.13085938	|  Gyro-X: 15.94802856	Y: 3.70849609	Z: -9.51797485
        Accel-X: -1.15051270	Y: 1.68334961	Z: 9.58312988	|  Gyro-X: 3.28979492	Y: 2.51220703	Z: -8.61328125
        Accel-X: -1.71203613	Y: 1.85607910	Z: 9.54345703	|  Gyro-X: -4.08233643	Y: 4.46365356	Z: -9.01702881
        Accel-X: -1.61437988	Y: 1.48437500	Z: 9.75097656	|  Gyro-X: -5.06179810	Y: 2.90847778	Z: -12.14233398
        Accel-X: -1.54174805	Y: 1.05041504	Z: 9.88159180	|  Gyro-X: -8.80020142	Y: 2.31033325	Z: -11.07315063
        Accel-X: -1.35498047	Y: 0.82519531	Z: 9.68200684	|  Gyro-X: -12.74047852	Y: 2.67669678	Z: -7.74597168
        Accel-X: -1.52160645	Y: 0.84655762	Z: 9.49584961	|  Gyro-X: -5.96649170	Y: 4.70291138	Z: -7.97027588
        Accel-X: -1.39404297	Y: 0.29235840	Z: 9.68383789	|  Gyro-X: -2.14584351	Y: 3.09539795	Z: -8.95721436
        Accel-X: -1.29211426	Y: 0.24230957	Z: 9.68139648	|  Gyro-X: -6.85623169	Y: 3.34213257	Z: -3.04306030
        Accel-X: -1.34216309	Y: 0.19409180	Z: 9.43969727	|  Gyro-X: -8.71047974	Y: 5.83938599	Z: 1.35330200
        Accel-X: -1.29394531	Y: 0.22399902	Z: 9.57824707	|  Gyro-X: -1.39816284	Y: 6.13098145	Z: 2.48977661
        Accel-X: -1.64916992	Y: 0.47119141	Z: 9.76135254	|  Gyro-X: -0.05981445	Y: 5.82443237	Z: 5.47302246
        Accel-X: -1.73461914	Y: 0.45410156	Z: 9.85229492	|  Gyro-X: 1.98135376	Y: 4.97207642	Z: 7.87307739
        Accel-X: -1.97631836	Y: 1.03637695	Z: 9.86328125	|  Gyro-X: 8.51608276	Y: 3.03558350	Z: 7.19268799
        Accel-X: -2.05749512	Y: 1.07177734	Z: 10.18127441	|  Gyro-X: 12.32177734	Y: 2.37014771	Z: 4.22439575
        Accel-X: -2.02575684	Y: 1.26892090	Z: 10.30456543	|  Gyro-X: 9.83200073	Y: 2.29537964	Z: 1.35330200
