        Accel-X: 1.78100586	Y: 3.03833008	Z: 0.15502930	|  Gyro-X: -44.68887329	Y: 56.48727417	Z: 4.81506348
        Accel-X: 0.44616699	Y: 3.30322266	Z: 1.72851562	|  Gyro-X: -36.13540649	Y: 42.83462524	Z: 12.09747314
        Accel-X: 0.05065918	Y: 3.36303711	Z: 4.03869629	|  Gyro-X: -10.62454224	Y: 32.18017578	Z: 7.67868042
        Accel-X: -0.21789551	Y: 2.94067383	Z: 5.15686035	|  Gyro-X: 26.60247803	Y: 11.05072021	Z: -3.75335693
        Accel-X: -0.87646484	Y: 3.51196289	Z: 5.69396973	|  Gyro-X: 20.23971558	Y: 1.08413696	Z: -3.85803223
        Accel-X: -0.93444824	Y: 2.16125488	Z: 7.43591309	|  Gyro-X: 6.06369019	Y: -2.85614014	Z: -5.68237305
        Accel-X: -1.28723145	Y: 1.89208984	Z: 8.19458008	|  Gyro-X: 16.36672974	Y: -2.51220703	Z: -9.06936646
        Accel-X: -2.14172363	Y: 1.86035156	Z: 9.63073730	|  Gyro-X: 21.07711792	Y: -2.54959106	Z: -11.30493164
        Accel-X: -2.46459961	Y: 1.20605469	Z: 10.12268066	|  Gyro-X: 8.03756714	Y: -1.45797729	Z: -7.68615723
        Accel-X: -2.64221191	Y: 1.66076660	Z: 9.84252930	|  Gyro-X: 3.91784668	Y: -2.46734619	Z: -6.85623169
        Accel-X: -2.71728516	Y: 0.99792480	Z: 10.68481445	|  Gyro-X: 3.15521240	Y: -5.31600952	Z: -11.61895752
        Accel-X: -2.80700684	Y: 0.75317383	Z: 10.84655762	|  Gyro-X: 6.34033203	Y: 0.96450806	Z: -9.80209351
        Accel-X: -2.85400391	Y: 0.82214355	Z: 10.69030762	|  Gyro-X: 4.12719727	Y: 4.56085205	Z: -6.09359741
        Accel-X: -2.75085449	Y: 0.56762695	Z: 10.19592285	|  Gyro-X: -4.02999878	Y: 7.25997925	Z: -2.34771729
        Accel-X: -2.97058105	Y: 1.06140137	Z: 9.60327148	|  Gyro-X: -4.57580566	Y: 8.29925537	Z: 0.74768066
        Accel-X: -3.15429688	Y: 1.14562988	Z: 9.18701172	|  Gyro-X: -1.21871948	Y: 6.05621338	Z: -0.94955444
        Accel-X: -2.96936035	Y: 0.92834473	Z: 8.98803711	|  Gyro-X: -1.53274536	Y: 3.56643677	Z: -3.03558350
