        Accel-X: -1.45996094	Y: 1.91772461	Z: 10.25268555	|  Gyro-X: -2.77389526	Y: -2.11593628	Z: -9.27871704
        Accel-X: -1.64123535	Y: 1.70349121	Z: 10.22583008	|  Gyro-X: -2.01126099	Y: -1.18133545	Z: -9.14413452
        Accel-X: -1.63574219	Y: 1.59301758	Z: 10.12145996	|  Gyro-X: -2.24304199	Y: 0.08224487	Z: -6.80389404
        Accel-X: -1.65710449	Y: 1.68151855	Z: 9.96276855	|  Gyro-X: 1.68228149	Y: 0.94955444	Z: -6.78894043
        Accel-X: -1.55883789	Y: 1.29089355	Z: 10.01647949	|  Gyro-X: 7.97775269	Y: -1.08413696	Z: -10.14602661
        Accel-X: -1.69555664	Y: 1.30310059	Z: 9.99145508	|  Gyro-X: 5.37582397	Y: -0.98693848	Z: -7.82073975
        Accel-X: -1.74560547	Y: 1.33117676	Z: 9.98535156	|  Gyro-X: -1.79443359	Y: 2.17575073	Z: -1.12152100
        Accel-X: -1.67968750	Y: 1.33972168	Z: 9.72595215	|  Gyro-X: 3.64868164	Y: 3.43933105	Z: -2.27294922
        Accel-X: -1.70349121	Y: 1.47521973	Z: 9.75891113	|  Gyro-X: 6.83380127	Y: 1.98883057	Z: -1.09909058
        Accel-X: -1.79626465	Y: 1.57165527	Z: 9.72534180	|  Gyro-X: 8.47122192	Y: 0.88973999	Z: -0.57571411
        Accel-X: -1.67114258	Y: 1.68701172	Z: 9.97558594	|  Gyro-X: 12.13485718	Y: -1.25610352	Z: -2.70660400
        Accel-X: -1.82067871	Y: 1.83227539	Z: 9.88342285	|  Gyro-X: 9.12918091	Y: -0.09719849	Z: -2.43743896
        Accel-X: -1.68579102	Y: 1.87377930	Z: 10.02502441	|  Gyro-X: 3.92532349	Y: 0.72525024	Z: -0.23925781
        Accel-X: -1.74255371	Y: 1.93664551	Z: 10.11840820	|  Gyro-X: 6.76651001	Y: 1.30844116	Z: -1.14395142
        Accel-X: -1.76391602	Y: 1.93481445	Z: 10.15747070	|  Gyro-X: 11.10305786	Y: 1.14395142	Z: -2.96081543
        Accel-X: -1.82983398	Y: 2.01721191	Z: 10.11596680	|  Gyro-X: 11.49932861	Y: 1.98883057	Z: -3.94775391
        Accel-X: -1.73645020	Y: 2.07885742	Z: 10.18310547	|  Gyro-X: 10.69931030	Y: 1.51779175	Z: -4.96459961
        Accel-X: -1.66687012	Y: 1.97082520	Z: 10.02746582	|  Gyro-X: 7.34222412	Y: 2.20565796	Z: -5.48797607
        Accel-X: -1.67297363	Y: 1.90734863	Z: 9.75708008	|  Gyro-X: 2.53463745	Y: 3.45428467	Z: -3.94027710
        Accel-X: -1.77734375	Y: 1.89758301	Z: 9.81628418	|  Gyro-X: 2.25051880	Y: 3.16268921	Z: -4.25430298
        Accel-X: -1.83288574	Y: 1.95007324	Z: 9.75952148	|  Gyro-X: 4.82254028	Y: 1.79443359	Z: -4.50851440
        Accel-X: -1.80297852	Y: 1.98181152	Z: 9.63012695	|  Gyro-X: 3.89541626	Y: 2.45986938	Z: -3.80569458
        Accel-X: -1.83105469	Y: 2.04711914	Z: 9.53247070	|  Gyro-X: 2.20565796	Y: 2.29537964	Z: -2.81875610
        Accel-X: -1.81579590	Y: 2.04345703	Z: 9.54895020	|  Gyro-X: 2.99072266	Y: 1.09909058	Z: -3.16268921
