Accel-X: 8.64135742	Y: -3.35998535	Z: 0.33325195	|  Gyro-X: -6.65435791	Y: 5.37582397	Z: -1.36825562
        Accel-X: 8.70056152	Y: -3.32214355	Z: 0.36926270	|  Gyro-X: -6.73660278	Y: 5.97396851	Z: -1.54022217
        Accel-X: 8.63281250	Y: -3.49609375	Z: 0.30761719	|  Gyro-X: -5.92163086	Y: 5.56274414	Z: -0.05981445
        Accel-X: 8.69812012	Y: -3.33679199	Z: 0.37841797	|  Gyro-X: -6.07864380	Y: 5.74218750	Z: -0.56076050
        Accel-X: 8.62548828	Y: -3.23913574	Z: 0.32104492	|  Gyro-X: -9.67498779	Y: 7.32727051	Z: -1.60003662
        Accel-X: 8.54858398	Y: -3.55529785	Z: 0.05126953	|  Gyro-X: -14.94613647	Y: 9.43572998	Z: -2.12341309
        Accel-X: 8.49060059	Y: -3.74755859	Z: 0.12573242	|  Gyro-X: -18.14620972	Y: 9.51049805	Z: -2.81875610
        Accel-X: 8.41613770	Y: -3.82446289	Z: 0.28198242	|  Gyro-X: -12.11242676	Y: 7.77587891	Z: -2.47482300
        Accel-X: 8.57360840	Y: -3.78417969	Z: 0.49621582	|  Gyro-X: -4.54589844	Y: 5.45806885	Z: -2.25799561
        Accel-X: 8.74023438	Y: -3.40209961	Z: 0.71655273	|  Gyro-X: 1.34582520	Y: 3.77578735	Z: -0.84487915
        Accel-X: 8.74572754	Y: -2.96081543	Z: 0.68420410	|  Gyro-X: 1.18133545	Y: 3.97766113	Z: -0.34393311
        Accel-X: 8.72680664	Y: -2.86804199	Z: 0.56823730	|  Gyro-X: -2.78884888	Y: 5.11413574	Z: 0.07476807
        Accel-X: 8.59558105	Y: -3.02978516	Z: 0.52307129	|  Gyro-X: -5.41320801	Y: 5.81695557	Z: -0.50842285
        Accel-X: 8.56872559	Y: -3.26171875	Z: 0.45410156	|  Gyro-X: -3.97766113	Y: 4.70291138	Z: -1.10656738
        Accel-X: 8.68286133	Y: -3.07067871	Z: 0.31433105	|  Gyro-X: -3.00567627	Y: 3.27484131	Z: -3.77578735
        Accel-X: 8.72375488	Y: -3.16101074	Z: 0.18676758	|  Gyro-X: -6.38519287	Y: 5.24871826	Z: -4.16458130
        Accel-X: 8.38134766	Y: -3.15673828	Z: 0.62866211	|  Gyro-X: -9.86190796	Y: 7.12539673	Z: -3.79821777
        Accel-X: 8.92822266	Y: -2.52563477	Z: 0.84167480	|  Gyro-X: -16.30691528	Y: 3.08792114	Z: -1.27105713
        Accel-X: 9.96765137	Y: -2.14782715	Z: 0.85998535	|  Gyro-X: -29.58572388	Y: 5.30105591	Z: 7.57400513
        Accel-X: 10.07019043	Y: -1.18530273	Z: 5.48156738	|  Gyro-X: -51.01425171	Y: 21.25656128	Z: 19.40231323
        Accel-X: 12.38342285	Y: -2.49450684	Z: 7.68249512	|  Gyro-X: -58.07235718	Y: 24.69589233	Z: 42.55050659
        Accel-X: 16.48010254	Y: -4.42871094	Z: 16.45019531	|  Gyro-X: -34.88677979	Y: 70.20721436	Z: 40.96542358
        Accel-X: 14.22241211	Y: -0.28259277	Z: 14.93774414	|  Gyro-X: 26.91650391	Y: 80.68969727	Z: -2.72155762
        Accel-X: 15.30151367	Y: -0.90637207	Z: 13.90075684	|  Gyro-X: 41.74301147	Y: 154.49325562	Z: -60.61447144
        Accel-X: 17.15026855	Y: -0.75805664	Z: 16.87561035	|  Gyro-X: 42.14675903	Y: 201.11862183	Z: -108.77258301
        Accel-X: 19.74182129	Y: 1.33789062	Z: 13.96667480	|  Gyro-X: 3.17764282	Y: 232.37915039	Z: -112.66052246
        Accel-X: 19.99511719	Y: -4.13269043	Z: 13.74755859	|  Gyro-X: -86.85058594	Y: 244.88037109	Z: -75.69519043
        Accel-X: 19.99511719	Y: -7.46643066	Z: 11.53930664	|  Gyro-X: -130.29083252	Y: 244.88037109	Z: -35.63446045
        Accel-X: 19.99511719	Y: -6.06079102	Z: 4.73388672	|  Gyro-X: -130.88150024	Y: 244.88037109	Z: -32.63626099
        Accel-X: 19.89685059	Y: -7.49816895	Z: 1.82800293	|  Gyro-X: -132.38433838	Y: 244.88037109	Z: 7.28988647
        Accel-X: 15.22583008	Y: -6.69067383	Z: -1.90124512	|  Gyro-X: -79.29153442	Y: 244.88037109	Z: 24.85290527
        Accel-X: 11.48071289	Y: -5.03601074	Z: -2.58972168	|  Gyro-X: 44.38232422	Y: 236.67083740	Z: 13.51806641
        Accel-X: 9.06127930	Y: -3.68835449	Z: -2.70507812	|  Gyro-X: 101.18362427	Y: 192.37075806	Z: 0.96450806
        Accel-X: 6.68334961	Y: -2.53479004	Z: -3.30139160	|  Gyro-X: 120.78033447	Y: 169.14031982	Z: -12.79281616
        Accel-X: 3.66455078	Y: -2.53784180	Z: -2.23876953	|  Gyro-X: 103.71078491	Y: 150.76232910	Z: -15.47698975
        Accel-X: 2.45178223	Y: -1.41418457	Z: -1.63513184	|  Gyro-X: 96.84707642	Y: 125.49072266	Z: -16.57608032
        Accel-X: 0.90637207	Y: -0.88867188	Z: -1.06201172	|  Gyro-X: 108.82492065	Y: 101.28829956	Z: -29.93713379
        Accel-X: -0.77697754	Y: -0.67077637	Z: -0.57067871	|  Gyro-X: 101.59484863	Y: 75.15686035	Z: -39.67193604
        Accel-X: -1.32568359	Y: -1.59179688	Z: 1.65649414	|  Gyro-X: 82.06542969	Y: 55.58258057	Z: -38.16162109
        Accel-X: -1.78894043	Y: -0.55053711	Z: 2.71789551	|  Gyro-X: 61.66122437	Y: 38.82705688	Z: -32.86056519
        Accel-X: -2.33581543	Y: -0.75805664	Z: 3.93249512	|  Gyro-X: 45.62347412	Y: 24.29214478	Z: -28.64364624
        Accel-X: -2.35229492	Y: -0.61096191	Z: 5.73913574	|  Gyro-X: 33.55590820	Y: 9.92172241	Z: -22.61734009
        Accel-X: -2.24243164	Y: 0.13610840	Z: 6.38122559	|  Gyro-X: 19.03594971	Y: 2.81875610	Z: -13.19656372
        Accel-X: -1.95739746	Y: -0.14465332	Z: 8.13842773	|  Gyro-X: 19.72381592	Y: 0.08972168	Z: -13.85452271
        Accel-X: -1.83349609	Y: -0.45959473	Z: 9.11132812	|  Gyro-X: 25.57815552	Y: -4.96459961	Z: -16.30691528
        Accel-X: -1.73034668	Y: -0.23925781	Z: 9.46655273	|  Gyro-X: 25.20431519	Y: -6.83380127	Z: -8.68057251
        Accel-X: -1.72973633	Y: 0.29052734	Z: 9.53002930	|  Gyro-X: 11.52175903	Y: -3.86550903	Z: -2.03369141
        Accel-X: -1.34826660	Y: -0.07690430	Z: 10.10559082	|  Gyro-X: 12.08251953	Y: -3.16268921	Z: -1.59255981
        Accel-X: -1.35131836	Y: 0.23315430	Z: 10.28991699	|  Gyro-X: 18.55743408	Y: -3.39447021	Z: -3.77578735
        Accel-X: -1.29455566	Y: 0.51513672	Z: 10.27587891	|  Gyro-X: 23.17810059	Y: -1.86920166	Z: -0.26916504
        Accel-X: -1.29638672	Y: 0.92407227	Z: 10.09094238	|  Gyro-X: 22.01171875	Y: -0.44860840	Z: 2.60940552
        Accel-X: -1.28295898	Y: 0.81665039	Z: 10.23681641	|  Gyro-X: 23.30520630	Y: -1.61499023	Z: -0.41122437
        Accel-X: -1.20544434	Y: 0.80688477	Z: 10.14709473	|  Gyro-X: 19.31259155	Y: -2.16079712	Z: -2.20565796
        Accel-X: -1.01013184	Y: 1.19323730	Z: 9.70092773	|  Gyro-X: 5.11413574	Y: 1.07666016	Z: 1.55517578
