        Accel-X: 4.06555176	Y: 11.29272461	Z: -1.34094238	|  Gyro-X: 52.03857422	Y: -60.49484253	Z: 73.51943970
        Accel-X: 0.31188965	Y: 9.80102539	Z: 0.54077148	|  Gyro-X: 40.38970947	Y: -43.44024658	Z: 35.83633423
        Accel-X: -2.81005859	Y: 8.08532715	Z: 0.73303223	|  Gyro-X: 48.63662720	Y: -19.76119995	Z: -2.48229980
        Accel-X: -8.39538574	Y: 8.56689453	Z: 0.57128906	|  Gyro-X: 72.11380005	Y: 15.76858521	Z: -41.45889282
        Accel-X: -10.96862793	Y: 6.98547363	Z: 0.48950195	|  Gyro-X: 53.08532715	Y: 26.07162476	Z: -43.61221313
        Accel-X: -13.01391602	Y: 6.59545898	Z: 0.34912109	|  Gyro-X: 32.88299561	Y: 35.82138062	Z: -48.12820435
        Accel-X: -13.82934570	Y: 3.74450684	Z: 0.40771484	|  Gyro-X: 4.65805054	Y: 38.55789185	Z: -42.24395752
        Accel-X: -14.27307129	Y: 2.54882812	Z: -0.47241211	|  Gyro-X: -4.32907104	Y: 38.55789185	Z: -34.07180786
        Accel-X: -14.34387207	Y: 1.56372070	Z: -0.40832520	|  Gyro-X: -1.62246704	Y: 33.06243896	Z: -27.99316406
        Accel-X: -13.70788574	Y: 1.71081543	Z: -0.71716309	|  Gyro-X: 0.24673462	Y: 24.68841553	Z: -22.84164429
        Accel-X: -12.97241211	Y: 1.78771973	Z: -1.05102539	|  Gyro-X: -13.92181396	Y: 15.95550537	Z: -15.74615479
        Accel-X: -12.42980957	Y: 1.00158691	Z: -1.52465820	|  Gyro-X: -14.79660034	Y: 11.06567383	Z: -11.89559937
        Accel-X: -11.68945312	Y: 1.15173340	Z: -1.25122070	|  Gyro-X: -8.03009033	Y: 4.95712280	Z: -11.70120239
        Accel-X: -10.94177246	Y: 1.35986328	Z: -0.86059570	|  Gyro-X: -5.65246582	Y: 0.83740234	Z: -11.85821533
        Accel-X: -10.86608887	Y: 1.46179199	Z: -0.80383301	|  Gyro-X: -7.19268799	Y: 0.89721680	Z: -11.72363281
        Accel-X: -11.37695312	Y: 1.44287109	Z: -1.00463867	|  Gyro-X: -12.74047852	Y: 0.26916504	Z: -10.01144409
        Accel-X: -11.48437500	Y: 1.25427246	Z: -1.10717773	|  Gyro-X: -14.22088623	Y: -2.68417358	Z: -9.33853149
        Accel-X: -11.52954102	Y: 0.84289551	Z: -0.49682617	|  Gyro-X: -9.27124023	Y: -3.58886719	Z: -6.93847656
        Accel-X: -11.63024902	Y: 1.24633789	Z: -0.60302734	|  Gyro-X: -1.20376587	Y: -2.63931274	Z: -5.60760498
        Accel-X: -11.48010254	Y: 1.58386230	Z: -0.62072754	|  Gyro-X: -6.90109253	Y: -3.31970215	Z: -4.50851440
        Accel-X: -11.27441406	Y: 1.29272461	Z: -0.67321777	|  Gyro-X: -15.42465210	Y: -4.39636230	Z: -4.01504517
        Accel-X: -11.23107910	Y: 0.99792480	Z: -0.65917969	|  Gyro-X: -16.89010620	Y: -4.83749390	Z: -3.64868164
        Accel-X: -11.28906250	Y: 1.04125977	Z: -0.63415527	|  Gyro-X: -11.56661987	Y: -4.66552734	Z: -3.67111206
        Accel-X: -11.00463867	Y: 1.43310547	Z: -0.80810547	|  Gyro-X: -10.48248291	Y: -5.55526733	Z: -4.74029541
        Accel-X: -10.73181152	Y: 1.14013672	Z: -0.82763672	|  Gyro-X: -13.80966187	Y: -6.89361572	Z: -4.39636230
        Accel-X: -10.81604004	Y: 1.20544434	Z: -0.62805176	|  Gyro-X: -14.25827026	Y: -5.63003540	Z: -3.82064819
        Accel-X: -10.80383301	Y: 1.10717773	Z: -0.44006348	|  Gyro-X: -13.18908691	Y: -4.66552734	Z: -3.46176147
        Accel-X: -10.91186523	Y: 0.98144531	Z: -0.12390137	|  Gyro-X: -7.73849487	Y: -3.64120483	Z: -4.41131592
        Accel-X: -11.11877441	Y: 1.47888184	Z: -0.22644043	|  Gyro-X: -1.58508301	Y: -2.36267090	Z: -6.02630615
        Accel-X: -11.03393555	Y: 1.74377441	Z: -0.38208008	|  Gyro-X: -6.48239136	Y: -1.25610352	Z: -7.05062866
        Accel-X: -11.02111816	Y: 1.21215820	Z: -0.21118164	|  Gyro-X: -17.31628418	Y: 0.54580688	Z: -5.29357910
        Accel-X: -11.04064941	Y: 1.05590820	Z: -0.30151367	|  Gyro-X: -11.26007080	Y: 1.78695679	Z: -6.39266968
        Accel-X: -11.04187012	Y: 1.43371582	Z: -0.66223145	|  Gyro-X: -7.36465454	Y: 2.05612183	Z: -7.44689941
        Accel-X: -11.02111816	Y: 1.19079590	Z: -0.75683594	|  Gyro-X: -11.93298340	Y: 0.82244873	Z: -6.55715942
        Accel-X: -11.07116699	Y: 0.94482422	Z: -0.70495605	|  Gyro-X: -11.44699097	Y: 1.08413696	Z: -5.86181641
        Accel-X: -11.02783203	Y: 1.01623535	Z: -0.70190430	|  Gyro-X: -8.93478394	Y: 0.82992554	Z: -4.78515625
        Accel-X: -10.96496582	Y: 1.15234375	Z: -0.62072754	|  Gyro-X: -6.60202026	Y: 0.89721680	Z: -4.93469238
        Accel-X: -10.96252441	Y: 1.32019043	Z: -0.57739258	|  Gyro-X: -6.09359741	Y: 1.02432251	Z: -6.04873657
        Accel-X: -10.94909668	Y: 1.48864746	Z: -0.50842285	|  Gyro-X: -10.86380005	Y: 1.60751343	Z: -7.00576782
        Accel-X: -10.78308105	Y: 1.20910645	Z: -0.62805176	|  Gyro-X: -14.39285278	Y: 1.42059326	Z: -7.46185303
        Accel-X: -10.80261230	Y: 1.12976074	Z: -0.61218262	|  Gyro-X: -12.65823364	Y: 1.77200317	Z: -8.93478394
        Accel-X: -10.73852539	Y: 1.21704102	Z: -0.86364746	|  Gyro-X: -11.30493164	Y: 2.78884888	Z: -10.70678711
        Accel-X: -11.01806641	Y: 1.39343262	Z: -0.75073242	|  Gyro-X: -17.59292603	Y: 3.49914551	Z: -9.11422729
        Accel-X: -11.31164551	Y: 1.15661621	Z: -0.62622070	|  Gyro-X: -24.19494629	Y: 3.82812500	Z: -7.75344849
        Accel-X: -11.55517578	Y: 0.79223633	Z: -0.60302734	|  Gyro-X: -22.34817505	Y: 2.84866333	Z: -6.65435791
        Accel-X: -11.56677246	Y: 0.72387695	Z: -0.92102051	|  Gyro-X: -11.69372559	Y: 0.78506470	Z: -6.34780884
        Accel-X: -11.64428711	Y: 1.21398926	Z: -0.86791992	|  Gyro-X: -11.57409668	Y: 0.00000000	Z: -6.32537842
        Accel-X: -11.34338379	Y: 1.09008789	Z: -0.52307129	|  Gyro-X: -17.37609863	Y: -1.51031494	Z: -5.45059204
        Accel-X: -11.17858887	Y: 0.86303711	Z: -0.37963867	|  Gyro-X: -18.55743408	Y: -2.13088989	Z: -4.94216919
        Accel-X: -11.09436035	Y: 0.73486328	Z: -0.39550781	|  Gyro-X: -9.80209351	Y: -1.53274536	Z: -5.35339355
        Accel-X: -10.95886230	Y: 0.97229004	Z: -0.49987793	|  Gyro-X: -5.77957153	Y: -1.94396973	Z: -5.94406128
        Accel-X: -10.90454102	Y: 1.14501953	Z: -0.52307129	|  Gyro-X: -5.69732666	Y: -1.07666016	Z: -5.53283691
        Accel-X: -10.98571777	Y: 1.23840332	Z: -0.42663574	|  Gyro-X: -11.78344727	Y: 0.57571411	Z: -4.53842163
        Accel-X: -11.01623535	Y: 0.83618164	Z: -0.50964355	|  Gyro-X: -12.10494995	Y: 1.17385864	Z: -5.09170532
        Accel-X: -10.97839355	Y: 0.81481934	Z: -0.58410645	|  Gyro-X: -7.09548950	Y: 0.95703125	Z: -5.04684448
        
